Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers
2008-01-01,1,"Agriculture, forestry and fishing",29051
2008-01-01,2,Mining,5042
2008-01-01,3,Manufacturing,40191
2008-01-01,4,"Electricity, gas, water and waste management",2567
2008-01-01,5,Construction,50733
2008-01-01,6,"Wholesale and retail trade, accommodation and food services",64640
2008-01-01,7,"Transport, communications and information services",33772
2008-01-01,8,Financial intermediation,15610
2008-01-01,9,Real estate and housing services,3544
2008-01-01,10,Business services,47842
2008-01-01,11,Personal services,46323
2008-01-01,12,Public administration,3386
2008-02-01,1,"Agriculture, forestry and fishing",29321
2008-02-01,2,Mining,6407
2008-02-01,3,Manufacturing,42186
2008-02-01,4,"Electricity, gas, water and waste management",2863
2008-02-01,5,Construction,52180
2008-02-01,6,"Wholesale and retail trade, accommodation and food services",67123
2008-02-01,7,"Transport, communications and information services",35399
2008-02-01,8,Financial intermediation,17487
2008-02-01,9,Real estate and housing services,3702
2008-02-01,10,Business services,50306
2008-02-01,11,Personal services,47144
2008-02-01,12,Public administration,3441
2008-03-01,1,"Agriculture, forestry and fishing",29806
2008-03-01,2,Mining,6566
2008-03-01,3,Manufacturing,44463
2008-03-01,4,"Electricity, gas, water and waste management",2922
2008-03-01,5,Construction,53291
2008-03-01,6,"Wholesale and retail trade, accommodation and food services",70290
2008-03-01,7,"Transport, communications and information services",36174
2008-03-01,8,Financial intermediation,17856
2008-03-01,9,Real estate and housing services,3747
2008-03-01,10,Business services,51615
2008-03-01,11,Personal services,50191
2008-03-01,12,Public administration,3450
2008-04-01,1,"Agriculture, forestry and fishing",27000
2008-04-01,2,Mining,6671
2008-04-01,3,Manufacturing,44338
2008-04-01,4,"Electricity, gas, water and waste management",2988
2008-04-01,5,Construction,53776
2008-04-01,6,"Wholesale and retail trade, accommodation and food services",70698
2008-04-01,7,"Transport, communications and information services",36265
2008-04-01,8,Financial intermediation,17989
2008-04-01,9,Real estate and housing services,3853
2008-04-01,10,Business services,51337
2008-04-01,11,Personal services,51324
2008-04-01,12,Public administration,3621
2008-05-01,1,"Agriculture, forestry and fishing",23608
2008-05-01,2,Mining,6889
2008-05-01,3,Manufacturing,43982
2008-05-01,4,"Electricity, gas, water and waste management",3035
2008-05-01,5,Construction,54110
2008-05-01,6,"Wholesale and retail trade, accommodation and food services",71137
2008-05-01,7,"Transport, communications and information services",36613
2008-05-01,8,Financial intermediation,18063
2008-05-01,9,Real estate and housing services,3837
2008-05-01,10,Business services,51964
2008-05-01,11,Personal services,52014
2008-05-01,12,Public administration,3760
2008-06-01,1,"Agriculture, forestry and fishing",23850
2008-06-01,2,Mining,7008
2008-06-01,3,Manufacturing,44464
2008-06-01,4,"Electricity, gas, water and waste management",3078
2008-06-01,5,Construction,54616
2008-06-01,6,"Wholesale and retail trade, accommodation and food services",71462
2008-06-01,7,"Transport, communications and information services",36792
2008-06-01,8,Financial intermediation,18284
2008-06-01,9,Real estate and housing services,3877
2008-06-01,10,Business services,52398
2008-06-01,11,Personal services,52791
2008-06-01,12,Public administration,3782
2008-07-01,1,"Agriculture, forestry and fishing",29101
2008-07-01,2,Mining,7366
2008-07-01,3,Manufacturing,46862
2008-07-01,4,"Electricity, gas, water and waste management",3295
2008-07-01,5,Construction,56817
2008-07-01,6,"Wholesale and retail trade, accommodation and food services",76945
2008-07-01,7,"Transport, communications and information services",40409
2008-07-01,8,Financial intermediation,18662
2008-07-01,9,Real estate and housing services,3977
2008-07-01,10,Business services,55267
2008-07-01,11,Personal services,56762
2008-07-01,12,Public administration,4555
2008-08-01,1,"Agriculture, forestry and fishing",28550
2008-08-01,2,Mining,6016
2008-08-01,3,Manufacturing,46077
2008-08-01,4,"Electricity, gas, water and waste management",3142
2008-08-01,5,Construction,56983
2008-08-01,6,"Wholesale and retail trade, accommodation and food services",76030
2008-08-01,7,"Transport, communications and information services",40030
2008-08-01,8,Financial intermediation,17148
2008-08-01,9,Real estate and housing services,3771
2008-08-01,10,Business services,54554
2008-08-01,11,Personal services,56725
2008-08-01,12,Public administration,4643
2008-09-01,1,"Agriculture, forestry and fishing",27653
2008-09-01,2,Mining,6278
2008-09-01,3,Manufacturing,46095
2008-09-01,4,"Electricity, gas, water and waste management",3193
2008-09-01,5,Construction,57415
2008-09-01,6,"Wholesale and retail trade, accommodation and food services",77489
2008-09-01,7,"Transport, communications and information services",40309
2008-09-01,8,Financial intermediation,17051
2008-09-01,9,Real estate and housing services,3809
2008-09-01,10,Business services,55196
2008-09-01,11,Personal services,57653
2008-09-01,12,Public administration,4684
2008-10-01,1,"Agriculture, forestry and fishing",30992
2008-10-01,2,Mining,7383
2008-10-01,3,Manufacturing,47550
2008-10-01,4,"Electricity, gas, water and waste management",3390
2008-10-01,5,Construction,58316
2008-10-01,6,"Wholesale and retail trade, accommodation and food services",79283
2008-10-01,7,"Transport, communications and information services",41559
2008-10-01,8,Financial intermediation,18755
2008-10-01,9,Real estate and housing services,3938
2008-10-01,10,Business services,56617
2008-10-01,11,Personal services,58600
2008-10-01,12,Public administration,4858
2008-11-01,1,"Agriculture, forestry and fishing",33774
2008-11-01,2,Mining,6526
2008-11-01,3,Manufacturing,47117
2008-11-01,4,"Electricity, gas, water and waste management",3304
2008-11-01,5,Construction,57763
2008-11-01,6,"Wholesale and retail trade, accommodation and food services",79335
2008-11-01,7,"Transport, communications and information services",41364
2008-11-01,8,Financial intermediation,17054
2008-11-01,9,Real estate and housing services,3835
2008-11-01,10,Business services,55995
2008-11-01,11,Personal services,58672
2008-11-01,12,Public administration,4916
2008-12-01,1,"Agriculture, forestry and fishing",35550
2008-12-01,2,Mining,6017
2008-12-01,3,Manufacturing,45982
2008-12-01,4,"Electricity, gas, water and waste management",3309
2008-12-01,5,Construction,56389
2008-12-01,6,"Wholesale and retail trade, accommodation and food services",78857
2008-12-01,7,"Transport, communications and information services",41689
2008-12-01,8,Financial intermediation,16573
2008-12-01,9,Real estate and housing services,3831
2008-12-01,10,Business services,56669
2008-12-01,11,Personal services,59241
2008-12-01,12,Public administration,4962
2009-01-01,1,"Agriculture, forestry and fishing",34355
2009-01-01,2,Mining,5842
2009-01-01,3,Manufacturing,46305
2009-01-01,4,"Electricity, gas, water and waste management",3328
2009-01-01,5,Construction,53750
2009-01-01,6,"Wholesale and retail trade, accommodation and food services",79154
2009-01-01,7,"Transport, communications and information services",41791
2009-01-01,8,Financial intermediation,16976
2009-01-01,9,Real estate and housing services,3962
2009-01-01,10,Business services,55924
2009-01-01,11,Personal services,57957
2009-01-01,12,Public administration,4960
2009-02-01,1,"Agriculture, forestry and fishing",34320
2009-02-01,2,Mining,6015
2009-02-01,3,Manufacturing,46942
2009-02-01,4,"Electricity, gas, water and waste management",3454
2009-02-01,5,Construction,53784
2009-02-01,6,"Wholesale and retail trade, accommodation and food services",80374
2009-02-01,7,"Transport, communications and information services",42459
2009-02-01,8,Financial intermediation,16793
2009-02-01,9,Real estate and housing services,4053
2009-02-01,10,Business services,56514
2009-02-01,11,Personal services,57782
2009-02-01,12,Public administration,5012
2009-03-01,1,"Agriculture, forestry and fishing",33542
2009-03-01,2,Mining,5805
2009-03-01,3,Manufacturing,47437
2009-03-01,4,"Electricity, gas, water and waste management",3404
2009-03-01,5,Construction,53644
2009-03-01,6,"Wholesale and retail trade, accommodation and food services",81135
2009-03-01,7,"Transport, communications and information services",42421
2009-03-01,8,Financial intermediation,17391
2009-03-01,9,Real estate and housing services,4141
2009-03-01,10,Business services,56525
2009-03-01,11,Personal services,59972
2009-03-01,12,Public administration,5022
2009-04-01,1,"Agriculture, forestry and fishing",29614
2009-04-01,2,Mining,5984
2009-04-01,3,Manufacturing,47203
2009-04-01,4,"Electricity, gas, water and waste management",3476
2009-04-01,5,Construction,52860
2009-04-01,6,"Wholesale and retail trade, accommodation and food services",81629
2009-04-01,7,"Transport, communications and information services",42213
2009-04-01,8,Financial intermediation,17495
2009-04-01,9,Real estate and housing services,4206
2009-04-01,10,Business services,56425
2009-04-01,11,Personal services,61131
2009-04-01,12,Public administration,5366
2009-05-01,1,"Agriculture, forestry and fishing",26605
2009-05-01,2,Mining,6015
2009-05-01,3,Manufacturing,46899
2009-05-01,4,"Electricity, gas, water and waste management",3473
2009-05-01,5,Construction,52967
2009-05-01,6,"Wholesale and retail trade, accommodation and food services",81646
2009-05-01,7,"Transport, communications and information services",42303
2009-05-01,8,Financial intermediation,17185
2009-05-01,9,Real estate and housing services,4180
2009-05-01,10,Business services,56384
2009-05-01,11,Personal services,61823
2009-05-01,12,Public administration,5656
2009-06-01,1,"Agriculture, forestry and fishing",27123
2009-06-01,2,Mining,6074
2009-06-01,3,Manufacturing,46703
2009-06-01,4,"Electricity, gas, water and waste management",3582
2009-06-01,5,Construction,52407
2009-06-01,6,"Wholesale and retail trade, accommodation and food services",81920
2009-06-01,7,"Transport, communications and information services",42271
2009-06-01,8,Financial intermediation,17737
2009-06-01,9,Real estate and housing services,4209
2009-06-01,10,Business services,56271
2009-06-01,11,Personal services,62434
2009-06-01,12,Public administration,5932
2009-07-01,1,"Agriculture, forestry and fishing",28685
2009-07-01,2,Mining,5958
2009-07-01,3,Manufacturing,47011
2009-07-01,4,"Electricity, gas, water and waste management",3601
2009-07-01,5,Construction,52478
2009-07-01,6,"Wholesale and retail trade, accommodation and food services",81182
2009-07-01,7,"Transport, communications and information services",42492
2009-07-01,8,Financial intermediation,18111
2009-07-01,9,Real estate and housing services,4210
2009-07-01,10,Business services,57417
2009-07-01,11,Personal services,62661
2009-07-01,12,Public administration,5911
2009-08-01,1,"Agriculture, forestry and fishing",28169
2009-08-01,2,Mining,6083
2009-08-01,3,Manufacturing,47234
2009-08-01,4,"Electricity, gas, water and waste management",3674
2009-08-01,5,Construction,52744
2009-08-01,6,"Wholesale and retail trade, accommodation and food services",82122
2009-08-01,7,"Transport, communications and information services",42813
2009-08-01,8,Financial intermediation,17906
2009-08-01,9,Real estate and housing services,4226
2009-08-01,10,Business services,58031
2009-08-01,11,Personal services,64037
2009-08-01,12,Public administration,6289
2009-09-01,1,"Agriculture, forestry and fishing",27659
2009-09-01,2,Mining,5910
2009-09-01,3,Manufacturing,46984
