Wage_Date,year,month,Count_Workers
2008-01-01,2008,1,340166
2008-02-01,2008,2,354984
2008-03-01,2008,3,367404
2008-04-01,2008,4,366631
2008-05-01,2008,5,366165
2008-06-01,2008,6,369359
2008-07-01,2008,7,397086
2008-08-01,2008,8,390930
2008-09-01,2008,9,394180
2008-10-01,2008,10,408345
2008-11-01,2008,11,406801
2008-12-01,2008,12,406194
2009-01-01,2009,1,401547
2009-02-01,2009,2,404940
2009-03-01,2009,3,407459
2009-04-01,2009,4,404502
2009-05-01,2009,5,402497
2009-06-01,2009,6,403559
2009-07-01,2009,7,406264
2009-08-01,2009,8,409760
2009-09-01,2009,9,412608
2009-10-01,2009,10,419148
2009-11-01,2009,11,427057
2009-12-01,2009,12,430243
2010-01-01,2010,1,431866
2010-02-01,2010,2,434962
2010-03-01,2010,3,437062
2010-04-01,2010,4,443594
2010-05-01,2010,5,443160
2010-06-01,2010,6,446871
2010-07-01,2010,7,449224
2010-08-01,2010,8,454615
2010-09-01,2010,9,455859
2010-10-01,2010,10,462256
2010-11-01,2010,11,470556
2010-12-01,2010,12,493861
2011-01-01,2011,1,488682
2011-02-01,2011,2,492689
2011-03-01,2011,3,500640
2011-04-01,2011,4,503622
2011-05-01,2011,5,503681
2011-06-01,2011,6,505539
2011-07-01,2011,7,507472
2011-08-01,2011,8,513150
2011-09-01,2011,9,516237
2011-10-01,2011,10,522358
2011-11-01,2011,11,532261
2011-12-01,2011,12,540232
2012-01-01,2012,1,516355
2012-02-01,2012,2,520021
2012-03-01,2012,3,527293
2012-04-01,2012,4,529661
2012-05-01,2012,5,530107
2012-06-01,2012,6,532166
2012-07-01,2012,7,524262
2012-08-01,2012,8,532472
2012-09-01,2012,9,531200
2012-10-01,2012,10,536345
2012-11-01,2012,11,525028
2012-12-01,2012,12,526340
2013-01-01,2013,1,543339
2013-02-01,2013,2,542489
2013-03-01,2013,3,555539
2013-04-01,2013,4,556079
2013-05-01,2013,5,553126
2013-06-01,2013,6,553668
2013-07-01,2013,7,547032
2013-08-01,2013,8,559277
2013-09-01,2013,9,534057
2013-10-01,2013,10,538445
2013-11-01,2013,11,545813
2013-12-01,2013,12,546337
2014-01-01,2014,1,539937
2014-02-01,2014,2,539844
2014-03-01,2014,3,549379
2014-04-01,2014,4,549922
2014-05-01,2014,5,548946
2014-06-01,2014,6,547702
2014-07-01,2014,7,576032
2014-08-01,2014,8,578184
