MIP_sector_id,MIP_sector_name,Count_Workers,Share
1,"Agriculture, forestry and fishing",207748,14.09
2,Mining,49500,3.36
3,Manufacturing,353255,23.96
4,"Electricity, gas, water and waste management",44277,3.0
5,Construction,397535,26.96
6,"Wholesale and retail trade, accommodation and food services",637332,43.23
7,"Transport, communications and information services",304087,20.63
8,Financial intermediation,195288,13.25
9,Real estate and housing services,45470,3.08
10,Business services,597649,40.54
11,Personal services,479503,32.52
12,Public administration,53279,3.61
