Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers,Total_Workers,Share
2008-01-01,1,"Agriculture, forestry and fishing",29051,340166,8.54
2008-01-01,2,Mining,5042,340166,1.48
2008-01-01,3,Manufacturing,40191,340166,11.82
2008-01-01,4,"Electricity, gas, water and waste management",2567,340166,0.75
2008-01-01,5,Construction,50733,340166,14.91
2008-01-01,6,"Wholesale and retail trade, accommodation and food services",64640,340166,19.0
2008-01-01,7,"Transport, communications and information services",33772,340166,9.93
2008-01-01,8,Financial intermediation,15610,340166,4.59
2008-01-01,9,Real estate and housing services,3544,340166,1.04
2008-01-01,10,Business services,47842,340166,14.06
2008-01-01,11,Personal services,46323,340166,13.62
2008-01-01,12,Public administration,3386,340166,1.0
2008-02-01,1,"Agriculture, forestry and fishing",29321,354984,8.26
2008-02-01,2,Mining,6407,354984,1.8
2008-02-01,3,Manufacturing,42186,354984,11.88
2008-02-01,4,"Electricity, gas, water and waste management",2863,354984,0.81
2008-02-01,5,Construction,52180,354984,14.7
2008-02-01,6,"Wholesale and retail trade, accommodation and food services",67123,354984,18.91
2008-02-01,7,"Transport, communications and information services",35399,354984,9.97
2008-02-01,8,Financial intermediation,17487,354984,4.93
2008-02-01,9,Real estate and housing services,3702,354984,1.04
2008-02-01,10,Business services,50306,354984,14.17
2008-02-01,11,Personal services,47144,354984,13.28
2008-02-01,12,Public administration,3441,354984,0.97
2008-03-01,1,"Agriculture, forestry and fishing",29806,367404,8.11
2008-03-01,2,Mining,6566,367404,1.79
2008-03-01,3,Manufacturing,44463,367404,12.1
2008-03-01,4,"Electricity, gas, water and waste management",2922,367404,0.8
2008-03-01,5,Construction,53291,367404,14.5
2008-03-01,6,"Wholesale and retail trade, accommodation and food services",70290,367404,19.13
2008-03-01,7,"Transport, communications and information services",36174,367404,9.85
2008-03-01,8,Financial intermediation,17856,367404,4.86
2008-03-01,9,Real estate and housing services,3747,367404,1.02
2008-03-01,10,Business services,51615,367404,14.05
2008-03-01,11,Personal services,50191,367404,13.66
2008-03-01,12,Public administration,3450,367404,0.94
2008-04-01,1,"Agriculture, forestry and fishing",27000,366631,7.36
2008-04-01,2,Mining,6671,366631,1.82
2008-04-01,3,Manufacturing,44338,366631,12.09
2008-04-01,4,"Electricity, gas, water and waste management",2988,366631,0.81
2008-04-01,5,Construction,53776,366631,14.67
2008-04-01,6,"Wholesale and retail trade, accommodation and food services",70698,366631,19.28
2008-04-01,7,"Transport, communications and information services",36265,366631,9.89
2008-04-01,8,Financial intermediation,17989,366631,4.91
2008-04-01,9,Real estate and housing services,3853,366631,1.05
2008-04-01,10,Business services,51337,366631,14.0
2008-04-01,11,Personal services,51324,366631,14.0
2008-04-01,12,Public administration,3621,366631,0.99
2008-05-01,1,"Agriculture, forestry and fishing",23608,366165,6.45
2008-05-01,2,Mining,6889,366165,1.88
2008-05-01,3,Manufacturing,43982,366165,12.01
2008-05-01,4,"Electricity, gas, water and waste management",3035,366165,0.83
2008-05-01,5,Construction,54110,366165,14.78
2008-05-01,6,"Wholesale and retail trade, accommodation and food services",71137,366165,19.43
2008-05-01,7,"Transport, communications and information services",36613,366165,10.0
2008-05-01,8,Financial intermediation,18063,366165,4.93
2008-05-01,9,Real estate and housing services,3837,366165,1.05
2008-05-01,10,Business services,51964,366165,14.19
2008-05-01,11,Personal services,52014,366165,14.21
2008-05-01,12,Public administration,3760,366165,1.03
2008-06-01,1,"Agriculture, forestry and fishing",23850,369359,6.46
2008-06-01,2,Mining,7008,369359,1.9
2008-06-01,3,Manufacturing,44464,369359,12.04
2008-06-01,4,"Electricity, gas, water and waste management",3078,369359,0.83
2008-06-01,5,Construction,54616,369359,14.79
2008-06-01,6,"Wholesale and retail trade, accommodation and food services",71462,369359,19.35
2008-06-01,7,"Transport, communications and information services",36792,369359,9.96
2008-06-01,8,Financial intermediation,18284,369359,4.95
2008-06-01,9,Real estate and housing services,3877,369359,1.05
2008-06-01,10,Business services,52398,369359,14.19
2008-06-01,11,Personal services,52791,369359,14.29
2008-06-01,12,Public administration,3782,369359,1.02
2008-07-01,1,"Agriculture, forestry and fishing",29101,397086,7.33
2008-07-01,2,Mining,7366,397086,1.86
2008-07-01,3,Manufacturing,46862,397086,11.8
2008-07-01,4,"Electricity, gas, water and waste management",3295,397086,0.83
2008-07-01,5,Construction,56817,397086,14.31
2008-07-01,6,"Wholesale and retail trade, accommodation and food services",76945,397086,19.38
2008-07-01,7,"Transport, communications and information services",40409,397086,10.18
2008-07-01,8,Financial intermediation,18662,397086,4.7
2008-07-01,9,Real estate and housing services,3977,397086,1.0
2008-07-01,10,Business services,55267,397086,13.92
2008-07-01,11,Personal services,56762,397086,14.29
2008-07-01,12,Public administration,4555,397086,1.15
2008-08-01,1,"Agriculture, forestry and fishing",28550,390930,7.3
2008-08-01,2,Mining,6016,390930,1.54
2008-08-01,3,Manufacturing,46077,390930,11.79
2008-08-01,4,"Electricity, gas, water and waste management",3142,390930,0.8
2008-08-01,5,Construction,56983,390930,14.58
2008-08-01,6,"Wholesale and retail trade, accommodation and food services",76030,390930,19.45
2008-08-01,7,"Transport, communications and information services",40030,390930,10.24
2008-08-01,8,Financial intermediation,17148,390930,4.39
2008-08-01,9,Real estate and housing services,3771,390930,0.96
2008-08-01,10,Business services,54554,390930,13.95
2008-08-01,11,Personal services,56725,390930,14.51
2008-08-01,12,Public administration,4643,390930,1.19
2008-09-01,1,"Agriculture, forestry and fishing",27653,394180,7.02
2008-09-01,2,Mining,6278,394180,1.59
2008-09-01,3,Manufacturing,46095,394180,11.69
2008-09-01,4,"Electricity, gas, water and waste management",3193,394180,0.81
2008-09-01,5,Construction,57415,394180,14.57
2008-09-01,6,"Wholesale and retail trade, accommodation and food services",77489,394180,19.66
2008-09-01,7,"Transport, communications and information services",40309,394180,10.23
2008-09-01,8,Financial intermediation,17051,394180,4.33
2008-09-01,9,Real estate and housing services,3809,394180,0.97
2008-09-01,10,Business services,55196,394180,14.0
2008-09-01,11,Personal services,57653,394180,14.63
2008-09-01,12,Public administration,4684,394180,1.19
2008-10-01,1,"Agriculture, forestry and fishing",30992,408345,7.59
2008-10-01,2,Mining,7383,408345,1.81
2008-10-01,3,Manufacturing,47550,408345,11.64
2008-10-01,4,"Electricity, gas, water and waste management",3390,408345,0.83
2008-10-01,5,Construction,58316,408345,14.28
2008-10-01,6,"Wholesale and retail trade, accommodation and food services",79283,408345,19.42
2008-10-01,7,"Transport, communications and information services",41559,408345,10.18
2008-10-01,8,Financial intermediation,18755,408345,4.59
2008-10-01,9,Real estate and housing services,3938,408345,0.96
2008-10-01,10,Business services,56617,408345,13.86
2008-10-01,11,Personal services,58600,408345,14.35
2008-10-01,12,Public administration,4858,408345,1.19
2008-11-01,1,"Agriculture, forestry and fishing",33774,406801,8.3
2008-11-01,2,Mining,6526,406801,1.6
2008-11-01,3,Manufacturing,47117,406801,11.58
2008-11-01,4,"Electricity, gas, water and waste management",3304,406801,0.81
2008-11-01,5,Construction,57763,406801,14.2
2008-11-01,6,"Wholesale and retail trade, accommodation and food services",79335,406801,19.5
2008-11-01,7,"Transport, communications and information services",41364,406801,10.17
2008-11-01,8,Financial intermediation,17054,406801,4.19
2008-11-01,9,Real estate and housing services,3835,406801,0.94
2008-11-01,10,Business services,55995,406801,13.76
2008-11-01,11,Personal services,58672,406801,14.42
2008-11-01,12,Public administration,4916,406801,1.21
2008-12-01,1,"Agriculture, forestry and fishing",35550,406194,8.75
2008-12-01,2,Mining,6017,406194,1.48
2008-12-01,3,Manufacturing,45982,406194,11.32
2008-12-01,4,"Electricity, gas, water and waste management",3309,406194,0.81
2008-12-01,5,Construction,56389,406194,13.88
2008-12-01,6,"Wholesale and retail trade, accommodation and food services",78857,406194,19.41
2008-12-01,7,"Transport, communications and information services",41689,406194,10.26
2008-12-01,8,Financial intermediation,16573,406194,4.08
2008-12-01,9,Real estate and housing services,3831,406194,0.94
2008-12-01,10,Business services,56669,406194,13.95
2008-12-01,11,Personal services,59241,406194,14.58
2008-12-01,12,Public administration,4962,406194,1.22
2009-01-01,1,"Agriculture, forestry and fishing",34355,401547,8.56
2009-01-01,2,Mining,5842,401547,1.45
2009-01-01,3,Manufacturing,46305,401547,11.53
2009-01-01,4,"Electricity, gas, water and waste management",3328,401547,0.83
