Wage_Date,MIP_sector_id,MIP_sector_name,Avg_Taxable_Income
2008-01-01,1,"Agriculture, forestry and fishing",315955.41
2008-01-01,2,Mining,759210.37
2008-01-01,3,Manufacturing,426793.7
2008-01-01,4,"Electricity, gas, water and waste management",520063.61
2008-01-01,5,Construction,395301.58
2008-01-01,6,"Wholesale and retail trade, accommodation and food services",376208.33
2008-01-01,7,"Transport, communications and information services",460247.88
2008-01-01,8,Financial intermediation,606435.59
2008-01-01,9,Real estate and housing services,428418.62
2008-01-01,10,Business services,408415.83
2008-01-01,11,Personal services,400745.92
2008-01-01,12,Public administration,346628.35
2008-02-01,1,"Agriculture, forestry and fishing",330158.45
2008-02-01,2,Mining,908677.05
2008-02-01,3,Manufacturing,456055.18
2008-02-01,4,"Electricity, gas, water and waste management",612334.74
2008-02-01,5,Construction,412952.2
2008-02-01,6,"Wholesale and retail trade, accommodation and food services",405243.59
2008-02-01,7,"Transport, communications and information services",498798.05
2008-02-01,8,Financial intermediation,723807.39
2008-02-01,9,Real estate and housing services,475530.38
2008-02-01,10,Business services,443293.58
2008-02-01,11,Personal services,417473.41
2008-02-01,12,Public administration,357813.37
2008-03-01,1,"Agriculture, forestry and fishing",334053.16
2008-03-01,2,Mining,938232.02
2008-03-01,3,Manufacturing,451683.38
2008-03-01,4,"Electricity, gas, water and waste management",622555.42
2008-03-01,5,Construction,416493.87
2008-03-01,6,"Wholesale and retail trade, accommodation and food services",401424.34
2008-03-01,7,"Transport, communications and information services",500503.96
2008-03-01,8,Financial intermediation,715003.8
2008-03-01,9,Real estate and housing services,476305.99
2008-03-01,10,Business services,448087.79
2008-03-01,11,Personal services,426341.87
2008-03-01,12,Public administration,371065.58
2008-04-01,1,"Agriculture, forestry and fishing",334387.18
2008-04-01,2,Mining,937724.84
2008-04-01,3,Manufacturing,458339.21
2008-04-01,4,"Electricity, gas, water and waste management",601393.87
2008-04-01,5,Construction,416072.17
2008-04-01,6,"Wholesale and retail trade, accommodation and food services",405161.64
2008-04-01,7,"Transport, communications and information services",502374.05
2008-04-01,8,Financial intermediation,709604.72
2008-04-01,9,Real estate and housing services,482434.97
2008-04-01,10,Business services,451569.66
2008-04-01,11,Personal services,428411.62
2008-04-01,12,Public administration,364752.42
2008-05-01,1,"Agriculture, forestry and fishing",341593.61
2008-05-01,2,Mining,942442.79
2008-05-01,3,Manufacturing,456490.47
2008-05-01,4,"Electricity, gas, water and waste management",599068.21
2008-05-01,5,Construction,418753.12
2008-05-01,6,"Wholesale and retail trade, accommodation and food services",403310.1
2008-05-01,7,"Transport, communications and information services",498801.35
2008-05-01,8,Financial intermediation,765555.08
2008-05-01,9,Real estate and housing services,478723.37
2008-05-01,10,Business services,456300.36
2008-05-01,11,Personal services,429360.65
2008-05-01,12,Public administration,360464.81
2008-06-01,1,"Agriculture, forestry and fishing",340928.63
2008-06-01,2,Mining,923834.62
2008-06-01,3,Manufacturing,456313.38
2008-06-01,4,"Electricity, gas, water and waste management",602448.17
