Wage_Date,year,month,Avg_Taxable_Income
2008-01-01,2008,1,413692.89
2008-02-01,2008,2,449381.6
2008-03-01,2008,3,451073.1
2008-04-01,2008,4,453950.66
2008-05-01,2008,5,458738.54
2008-06-01,2008,6,457736.04
2008-07-01,2008,7,454924.79
2008-08-01,2008,8,419587.28
2008-09-01,2008,9,440316.83
2008-10-01,2008,10,443755.6
2008-11-01,2008,11,424058.17
2008-12-01,2008,12,454825.36
2009-01-01,2009,1,433151.01
2009-02-01,2009,2,428354.27
2009-03-01,2009,3,430598.14
2009-04-01,2009,4,434466.82
2009-05-01,2009,5,431168.77
2009-06-01,2009,6,430935.16
2009-07-01,2009,7,436658.73
2009-08-01,2009,8,437618.39
2009-09-01,2009,9,455224.52
2009-10-01,2009,10,438545.92
2009-11-01,2009,11,439029.52
2009-12-01,2009,12,472916.4
2010-01-01,2010,1,460677.09
2010-02-01,2010,2,457077.31
2010-03-01,2010,3,460445.11
2010-04-01,2010,4,468277.45
2010-05-01,2010,5,464280.5
2010-06-01,2010,6,464070.29
2010-07-01,2010,7,471170.22
2010-08-01,2010,8,472603.82
2010-09-01,2010,9,501032.6
2010-10-01,2010,10,479607.52
2010-11-01,2010,11,482001.86
2010-12-01,2010,12,576821.03
2011-01-01,2011,1,550381.46
2011-02-01,2011,2,543899.38
2011-03-01,2011,3,551610.28
2011-04-01,2011,4,552545.76
2011-05-01,2011,5,554299.97
2011-06-01,2011,6,556365.08
2011-07-01,2011,7,567805.67
2011-08-01,2011,8,571376.71
2011-09-01,2011,9,602262.84
2011-10-01,2011,10,572854.08
2011-11-01,2011,11,577100.53
2011-12-01,2011,12,626989.89
2012-01-01,2012,1,541520.21
2012-02-01,2012,2,538325.96
2012-03-01,2012,3,542903.61
2012-04-01,2012,4,548620.24
2012-05-01,2012,5,546115.83
2012-06-01,2012,6,547930.72
2012-07-01,2012,7,646393.32
2012-08-01,2012,8,643948.07
2012-09-01,2012,9,681102.03
2012-10-01,2012,10,652359.84
2012-11-01,2012,11,591583.51
2012-12-01,2012,12,633531.9
2013-01-01,2013,1,681091.45
2013-02-01,2013,2,672731.31
2013-03-01,2013,3,677054.31
2013-04-01,2013,4,680708.37
2013-05-01,2013,5,677030.24
2013-06-01,2013,6,676721.53
2013-07-01,2013,7,695724.57
2013-08-01,2013,8,696445.95
2013-09-01,2013,9,662589.59
2013-10-01,2013,10,637326.0
2013-11-01,2013,11,639364.86
2013-12-01,2013,12,680418.63
2014-01-01,2014,1,658597.59
2014-02-01,2014,2,654591.61
2014-03-01,2014,3,654127.57
2014-04-01,2014,4,659164.14
2014-05-01,2014,5,657779.96
2014-06-01,2014,6,657640.36
2014-07-01,2014,7,648233.52
2014-08-01,2014,8,648928.63
2014-09-01,2014,9,681036.06
2014-10-01,2014,10,652101.66
2014-11-01,2014,11,659131.62
2014-12-01,2014,12,699929.38
2015-01-01,2015,1,674559.39
2015-02-01,2015,2,669269.07
2015-03-01,2015,3,674045.61
2015-04-01,2015,4,677545.58
2015-05-01,2015,5,673016.84
2015-06-01,2015,6,674276.66
2015-07-01,2015,7,712929.77
2015-08-01,2015,8,708841.06
2015-09-01,2015,9,742907.38
2015-10-01,2015,10,713369.01
2015-11-01,2015,11,715792.97
2015-12-01,2015,12,767349.38
2016-01-01,2016,1,719243.74
2016-02-01,2016,2,713041.38
2016-03-01,2016,3,720109.98
2016-04-01,2016,4,719110.11
2016-05-01,2016,5,714552.23
2016-06-01,2016,6,715125.05
2016-07-01,2016,7,752674.54
2016-08-01,2016,8,750331.57
2016-09-01,2016,9,783323.16
2016-10-01,2016,10,751605.36
2016-11-01,2016,11,760437.14
2016-12-01,2016,12,808259.9
2017-01-01,2017,1,757063.88
2017-02-01,2017,2,750285.49
2017-03-01,2017,3,755218.24
2017-04-01,2017,4,759113.03
2017-05-01,2017,5,755192.61
2017-06-01,2017,6,753424.96
2017-07-01,2017,7,760511.07
2017-08-01,2017,8,761490.01
2017-09-01,2017,9,796491.12
2017-10-01,2017,10,764489.68
2017-11-01,2017,11,770746.77
2017-12-01,2017,12,815542.65
2018-01-01,2018,1,790742.42
2018-02-01,2018,2,783438.23
2018-03-01,2018,3,789308.0
2018-04-01,2018,4,788774.24
2018-05-01,2018,5,787079.16
2018-06-01,2018,6,785220.85
2018-07-01,2018,7,792328.13
2018-08-01,2018,8,819677.9
2018-09-01,2018,9,862570.79
2018-10-01,2018,10,830273.28
2018-11-01,2018,11,840061.27
2018-12-01,2018,12,977654.26
2019-01-01,2019,1,938040.7
2019-02-01,2019,2,922532.71
2019-03-01,2019,3,914468.21
2019-04-01,2019,4,914376.07
2019-05-01,2019,5,911405.04
2019-06-01,2019,6,831832.74
2019-07-01,2019,7,916498.88
2019-08-01,2019,8,915246.93
2019-09-01,2019,9,966354.23
2019-10-01,2019,10,923063.88
2019-11-01,2019,11,934871.82
2019-12-01,2019,12,995393.72
2020-01-01,2020,1,992570.19
2020-02-01,2020,2,977693.93
2020-03-01,2020,3,996775.06
2020-04-01,2020,4,997390.85
2020-05-01,2020,5,984796.69
2020-06-01,2020,6,984985.95
2020-07-01,2020,7,988917.27
2020-08-01,2020,8,989209.65
2020-09-01,2020,9,1034817.36
2020-10-01,2020,10,980470.38
2020-11-01,2020,11,982972.89
2020-12-01,2020,12,1043437.73
2021-01-01,2021,1,1005060.25
2021-02-01,2021,2,990969.62
2021-03-01,2021,3,1016592.69
2021-04-01,2021,4,1005827.68
2021-05-01,2021,5,1005585.75
2021-06-01,2021,6,1012938.13
