Wage_Date,MIP_sector_id,MIP_sector_name,Real_Avg_Wage
2008-01-01,1,"Agriculture, forestry and fishing",582431.11
2008-01-01,2,Mining,1399525.78
2008-01-01,3,Manufacturing,786750.03
2008-01-01,4,"Electricity, gas, water and waste management",958683.47
2008-01-01,5,Construction,728697.56
2008-01-01,6,"Wholesale and retail trade, accommodation and food services",693501.14
2008-01-01,7,"Transport, communications and information services",848419.34
2008-01-01,8,Financial intermediation,1117901.28
2008-01-01,9,Real estate and housing services,789745.41
2008-01-01,10,Business services,752872.33
2008-01-01,11,Personal services,738733.64
2008-01-01,12,Public administration,638973.5
2008-02-01,1,"Agriculture, forestry and fishing",606224.15
2008-02-01,2,Mining,1668477.58
2008-02-01,3,Manufacturing,837390.85
2008-02-01,4,"Electricity, gas, water and waste management",1124345.33
2008-02-01,5,Construction,758246.82
2008-02-01,6,"Wholesale and retail trade, accommodation and food services",744092.58
2008-02-01,7,"Transport, communications and information services",915873.66
2008-02-01,8,Financial intermediation,1329027.08
2008-02-01,9,Real estate and housing services,873150.47
2008-02-01,10,Business services,813958.5
2008-02-01,11,Personal services,766548.51
2008-02-01,12,Public administration,657003.05
2008-03-01,1,"Agriculture, forestry and fishing",608352.9
2008-03-01,2,Mining,1708638.72
2008-03-01,3,Manufacturing,822572.35
2008-03-01,4,"Electricity, gas, water and waste management",1133751.86
2008-03-01,5,Construction,758487.82
2008-03-01,6,"Wholesale and retail trade, accommodation and food services",731044.29
2008-03-01,7,"Transport, communications and information services",911480.78
2008-03-01,8,Financial intermediation,1302112.0
2008-03-01,9,Real estate and housing services,867413.22
2008-03-01,10,Business services,816024.33
2008-03-01,11,Personal services,776422.25
2008-03-01,12,Public administration,675757.17
2008-04-01,1,"Agriculture, forestry and fishing",606779.55
2008-04-01,2,Mining,1701597.09
2008-04-01,3,Manufacturing,831703.11
2008-04-01,4,"Electricity, gas, water and waste management",1091290.34
2008-04-01,5,Construction,755005.26
