Wage_Date,Real_Avg_Wage
2008-01-01,762600.05
2008-02-01,825137.09
2008-03-01,821460.95
2008-04-01,823739.64
2008-05-01,822919.92
2008-06-01,809099.08
2008-07-01,795122.96
2008-08-01,726585.53
2008-09-01,754465.08
2008-10-01,753695.74
2008-11-01,721124.31
2008-12-01,782672.7
2009-01-01,751103.31
2009-02-01,745501.75
2009-03-01,746479.71
2009-04-01,754362.45
2009-05-01,750512.95
2009-06-01,747515.73
2009-07-01,760794.36
2009-08-01,765221.93
2009-09-01,788265.66
2009-10-01,759403.31
2009-11-01,763721.34
2009-12-01,825190.01
2010-01-01,799647.79
2010-02-01,791201.85
2010-03-01,796342.29
2010-04-01,806124.03
2010-05-01,796364.5
2010-06-01,796003.93
2010-07-01,803085.42
2010-08-01,806216.0
2010-09-01,851372.31
2010-10-01,814136.01
2010-11-01,817645.22
2010-12-01,977331.46
2011-01-01,930012.6
2011-02-01,917044.98
2011-03-01,922888.21
2011-04-01,921523.95
2011-05-01,920764.07
2011-06-01,922661.82
2011-07-01,940387.0
2011-08-01,944892.86
2011-09-01,990889.84
2011-10-01,938028.62
2011-11-01,942051.14
2011-12-01,1017180.23
2012-01-01,877808.73
2012-02-01,869249.09
2012-03-01,875227.49
2012-04-01,884015.86
2012-05-01,879696.9
2012-06-01,885186.95
2012-07-01,1044422.88
2012-08-01,1038123.61
2012-09-01,1089763.24
2012-10-01,1037963.15
2012-11-01,945474.69
2012-12-01,1012840.77
2013-01-01,1086790.25
2013-02-01,1072252.64
2013-03-01,1075030.66
2013-04-01,1086005.7
2013-05-01,1080309.95
2013-06-01,1072968.98
2013-07-01,1100133.73
2013-08-01,1098668.48
2013-09-01,1039682.39
2013-10-01,998630.52
2013-11-01,998071.91
2013-12-01,1055894.84
2014-01-01,1020132.58
2014-02-01,1009082.18
2014-03-01,1000042.16
2014-04-01,1001464.81
2014-05-01,996032.65
2014-06-01,995218.46
2014-07-01,978761.16
2014-08-01,976713.77
2014-09-01,1016471.73
2014-10-01,963222.55
2014-11-01,973462.73
2014-12-01,1038008.86
2015-01-01,999495.32
2015-02-01,988288.64
2015-03-01,989061.79
2015-04-01,988540.38
2015-05-01,980216.78
2015-06-01,977212.54
2015-07-01,1028907.16
2015-08-01,1016113.9
2015-09-01,1059631.12
2015-10-01,1013308.25
2015-11-01,1017040.31
2015-12-01,1090139.76
2016-01-01,1017030.17
2016-02-01,1005558.29
2016-03-01,1011674.61
2016-04-01,1006874.98
2016-05-01,998256.81
2016-06-01,994610.64
2016-07-01,1044365.94
2016-08-01,1040537.47
2016-09-01,1083734.31
2016-10-01,1038128.95
2016-11-01,1049747.56
2016-12-01,1118079.81
2017-01-01,1041639.9
2017-02-01,1029763.23
2017-03-01,1032565.27
2017-04-01,1035483.6
2017-05-01,1028872.76
2017-06-01,1030395.19
2017-07-01,1037673.71
2017-08-01,1036887.27
2017-09-01,1086173.63
2017-10-01,1036455.64
2017-11-01,1043947.95
2017-12-01,1103128.16
2018-01-01,1064686.17
2018-02-01,1054283.71
2018-03-01,1060042.97
2018-04-01,1055922.68
2018-05-01,1050840.01
2018-06-01,1047240.4
2018-07-01,1052927.75
2018-08-01,1087394.4
2018-09-01,1140514.07
2018-10-01,1093760.09
2018-11-01,1106654.28
2018-12-01,1289271.08
2019-01-01,1235727.44
2019-02-01,1214657.95
2019-03-01,1198359.59
2019-04-01,1195106.61
2019-05-01,1184104.25
2019-06-01,1080161.98
2019-07-01,1187482.35
2019-08-01,1183713.05
2019-09-01,1249649.85
2019-10-01,1184022.43
2019-11-01,1198092.81
2019-12-01,1274511.8
2020-01-01,1263615.77
2020-02-01,1239155.8
2020-03-01,1259190.33
2020-04-01,1260445.91
2020-05-01,1245159.56
2020-06-01,1246344.36
2020-07-01,1250053.43
2020-08-01,1248686.76
2020-09-01,1298064.93
2020-10-01,1221465.53
2020-11-01,1226263.59
2020-12-01,1297324.05
2021-01-01,1240968.34
2021-02-01,1221308.38
2021-03-01,1248118.71
2021-04-01,1230370.25
2021-05-01,1226772.91
2021-06-01,1234688.11
2021-07-01,1244916.08
2021-08-01,1230871.33
2021-09-01,1272883.62
2021-10-01,1213505.08
2021-11-01,1222896.2
2021-12-01,1311319.51
2022-01-01,1246413.38
2022-02-01,1228383.68
2022-03-01,1233960.17
2022-04-01,1214564.73
2022-05-01,1232705.76
2022-06-01,1225923.77
2022-07-01,1229454.22
2022-08-01,1224985.75
2022-09-01,1277011.98
2022-10-01,1223858.23
2022-11-01,1226655.71
2022-12-01,1199714.96
2023-01-01,1153143.23
2023-02-01,1142869.35
2023-03-01,1142371.35
2023-04-01,1146113.56
2023-05-01,1199487.63
2023-06-01,1203187.05
2023-07-01,1202277.31
2023-08-01,1202342.3
2023-09-01,1224017.98
2023-10-01,1178268.65
2023-11-01,1174735.84
2023-12-01,1255915.96
2024-01-01,1208739.5
2024-02-01,1190656.76
2024-03-01,1197457.46
2024-04-01,1194298.21
2024-05-01,1196740.75
2024-06-01,1199321.28
2024-07-01,1235738.09
2024-08-01,1230364.75
2024-09-01,1283711.32
2024-10-01,1228906.25
2024-11-01,1240218.53
2024-12-01,1440684.09
2025-01-01,1390713.75
2025-02-01,1369257.75
2025-03-01,1384184.56
