index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Avg_Taxable_Income,year,month,Avg_Taxable_Income_sa,Avg_Taxable_Income_trend
0,2008-01-01,2008-01-01,1,"Agriculture, forestry and fishing",315955.41,2008,1,321687.0747712418,
1,2008-02-01,2008-02-01,1,"Agriculture, forestry and fishing",330158.45,2008,2,338636.4047972835,
2,2008-03-01,2008-03-01,1,"Agriculture, forestry and fishing",334053.16,2008,3,335267.36505770014,
3,2008-04-01,2008-04-01,1,"Agriculture, forestry and fishing",334387.18,2008,4,340680.1874014502,
4,2008-05-01,2008-05-01,1,"Agriculture, forestry and fishing",341593.61,2008,5,342799.9001879085,
5,2008-06-01,2008-06-01,1,"Agriculture, forestry and fishing",340928.63,2008,6,353648.03820874187,
6,2008-07-01,2008-07-01,1,"Agriculture, forestry and fishing",323489.12,2008,7,325460.7607271242,327269.27958333335
7,2008-08-01,2008-08-01,1,"Agriculture, forestry and fishing",312401.26,2008,8,313096.07692810457,327192.9004166666
8,2008-09-01,2008-09-01,1,"Agriculture, forestry and fishing",326075.34,2008,9,302874.6669035948,326495.53375
9,2008-10-01,2008-10-01,1,"Agriculture, forestry and fishing",320017.73,2008,10,327474.7720108251,325602.8104166666
10,2008-11-01,2008-11-01,1,"Agriculture, forestry and fishing",312991.93,2008,11,319330.6500837418,324301.40541666665
11,2008-12-01,2008-12-01,1,"Agriculture, forestry and fishing",332177.17,2008,12,303273.09292228345,322560.07458333333
12,2009-01-01,2009-01-01,1,"Agriculture, forestry and fishing",321960.14,2009,1,327691.80477124185,321457.65833333327
13,2009-02-01,2009-02-01,1,"Agriculture, forestry and fishing",322320.62,2009,2,330798.5747972835,321661.1704166666
14,2009-03-01,2009-03-01,1,"Agriculture, forestry and fishing",325154.19,2009,3,326368.39505770017,322262.97375
15,2009-04-01,2009-04-01,1,"Agriculture, forestry and fishing",321860.79,2009,4,328153.79740145017,322523.92458333337
16,2009-05-01,2009-05-01,1,"Agriculture, forestry and fishing",322886.28,2009,5,324092.57018790854,322775.6641666666
17,2009-06-01,2009-06-01,1,"Agriculture, forestry and fishing",317844.02,2009,6,330563.4282087419,323279.35041666665
18,2009-07-01,2009-07-01,1,"Agriculture, forestry and fishing",320115.74,2009,7,322087.38072712417,323874.56958333333
19,2009-08-01,2009-08-01,1,"Agriculture, forestry and fishing",320658.93,2009,8,321353.74692810455,324468.66541666666
20,2009-09-01,2009-09-01,1,"Agriculture, forestry and fishing",332260.95,2009,9,309060.2769035948,325191.7216666666
21,2009-10-01,2009-10-01,1,"Agriculture, forestry and fishing",320094.94,2009,10,327551.98201082513,326322.13375000004
22,2009-11-01,2009-11-01,1,"Agriculture, forestry and fishing",318956.47,2009,11,325295.1900837418,327567.10333333333
23,2009-12-01,2009-12-01,1,"Agriculture, forestry and fishing",338301.1,2009,12,309397.02292228345,328827.3875
24,2010-01-01,2010-01-01,1,"Agriculture, forestry and fishing",330121.47,2010,1,335853.1347712418,330199.5083333333
25,2010-02-01,2010-02-01,1,"Agriculture, forestry and fishing",328417.59,2010,2,336895.54479728354,331650.47124999994
26,2010-03-01,2010-03-01,1,"Agriculture, forestry and fishing",336410.57,2010,3,337624.7750577002,333437.78374999994
27,2010-04-01,2010-04-01,1,"Agriculture, forestry and fishing",337734.3,2010,4,344027.3074014502,335350.8875
