index,date,Wage_Date,year,month,Avg_Taxable_Income,Avg_Taxable_Income_sa,Avg_Taxable_Income_trend
0,2008-01-01,2008-01-01,2008,1,413692.89,408772.7423978759,
1,2008-02-01,2008-02-01,2008,2,449381.6,457337.6184135008,
2,2008-03-01,2008-03-01,2008,3,451073.1,455551.0301062091,
3,2008-04-01,2008-04-01,2008,4,453950.66,461075.00932495913,
4,2008-05-01,2008-05-01,2008,5,458738.54,467506.74218954245,
5,2008-06-01,2008-06-01,2008,6,457736.04,475542.9614603758,
6,2008-07-01,2008-07-01,2008,7,454924.79,452823.54872140515,444314.16000000003
7,2008-08-01,2008-08-01,2008,8,419587.28,423119.29727532686,444248.77625
8,2008-09-01,2008-09-01,2008,9,440316.83,415451.1899223856,442519.51416666666
9,2008-10-01,2008-10-01,2008,10,443755.6,452372.4557312091,440854.56416666665
10,2008-11-01,2008-11-01,2008,11,424058.17,436107.5400541258,438893.99708333326
11,2008-12-01,2008-12-01,2008,12,454825.36,416380.72440308414,436628.5533333333
12,2009-01-01,2009-01-01,2009,1,433151.01,428230.86239787587,434750.76416666666
13,2009-02-01,2009-02-01,2009,2,428354.27,436310.2884135008,434740.9745833333
14,2009-03-01,2009-03-01,2009,3,430598.14,435076.07010620914,436113.4245833333
15,2009-04-01,2009-04-01,2009,4,434466.82,441591.16932495916,436517.5083333332
16,2009-05-01,2009-05-01,2009,5,431168.77,439936.9721895425,436924.24458333326
17,2009-06-01,2009-06-01,2009,6,430935.16,448742.0814603758,438301.8441666666
18,2009-07-01,2009-07-01,2009,7,436658.73,434557.48872140516,440202.55749999994
19,2009-08-01,2009-08-01,2009,8,437618.39,441150.40727532684,442546.2708333334
20,2009-09-01,2009-09-01,2009,9,455224.52,430358.8799223856,444986.6879166666
21,2009-10-01,2009-10-01,2009,10,438545.92,447162.7757312091,447639.0879166667
22,2009-11-01,2009-11-01,2009,11,439029.52,451078.89005412586,450427.51958333334
23,2009-12-01,2009-12-01,2009,12,472916.4,434471.7644030842,453187.80541666667
24,2010-01-01,2010-01-01,2010,1,460677.09,455756.9423978759,456006.4145833334
25,2010-02-01,2010-02-01,2010,2,457077.31,465033.3284135008,458902.1195833333
26,2010-03-01,2010-03-01,2010,3,460445.11,464923.0401062091,462268.51583333337
