index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Real_Avg_Wage,year,month,Real_Avg_Wage_sa,Real_Avg_Wage_trend
0,2008-01-01,2008-01-01,1,"Agriculture, forestry and fishing",582431.11,2008,1,589207.9417095588,
1,2008-02-01,2008-02-01,1,"Agriculture, forestry and fishing",606224.15,2008,2,615451.1083762255,
2,2008-03-01,2008-03-01,1,"Agriculture, forestry and fishing",608352.9,2008,3,609225.9262668506,
3,2008-04-01,2008-04-01,1,"Agriculture, forestry and fishing",606779.55,2008,4,614950.0590012255,
4,2008-05-01,2008-05-01,1,"Agriculture, forestry and fishing",612776.47,2008,5,615871.1119439338,
5,2008-06-01,2008-06-01,1,"Agriculture, forestry and fishing",602629.06,2008,6,619495.1257460172,
6,2008-07-01,2008-07-01,1,"Agriculture, forestry and fishing",565398.13,2008,7,567456.0539935662,576634.8091666667
7,2008-08-01,2008-08-01,1,"Agriculture, forestry and fishing",540975.0,2008,8,540948.9456112132,573743.1583333333
8,2008-09-01,2008-09-01,1,"Agriculture, forestry and fishing",558716.92,2008,9,528588.194410233,569996.0162500001
9,2008-10-01,2008-10-01,1,"Agriculture, forestry and fishing",543533.43,2008,10,555946.8103553923,566137.52
10,2008-11-01,2008-11-01,1,"Agriculture, forestry and fishing",532252.66,2008,11,542207.9447564338,562025.8716666667
11,2008-12-01,2008-12-01,1,"Agriculture, forestry and fishing",571617.21,2008,12,532337.3678293504,557774.6000000001
12,2009-01-01,2009-01-01,1,"Agriculture, forestry and fishing",558293.35,2009,1,565070.1817095588,555318.6433333333
13,2009-02-01,2009-02-01,1,"Agriculture, forestry and fishing",560962.29,2009,2,570189.2483762255,555821.6991666666
14,2009-03-01,2009-03-01,1,"Agriculture, forestry and fishing",563683.35,2009,3,564556.3762668505,557336.5454166665
15,2009-04-01,2009-04-01,1,"Agriculture, forestry and fishing",558845.19,2009,4,567015.6990012254,558477.4141666667
16,2009-05-01,2009-05-01,1,"Agriculture, forestry and fishing",562031.27,2009,5,565125.9119439338,559866.9587499999
