date,Wage_Date,Real_Avg_Wage,year,month,Real_Avg_Wage_sa,Real_Avg_Wage_trend
2008-01-01,2008-01-01,762600.05,2008,1,754772.3178366269,
2008-02-01,2008-02-01,825137.09,2008,2,833374.7306230852,
2008-03-01,2008-03-01,821460.95,2008,3,828041.6054668351,
2008-04-01,2008-04-01,823739.64,2008,4,833410.7595032935,
2008-05-01,2008-05-01,822919.92,2008,5,836079.0916126686,
2008-06-01,2008-06-01,809099.08,2008,6,832085.9464303767,
2008-07-01,2008-07-01,795122.96,2008,7,790743.7550716145,782739.5566666666
2008-08-01,2008-08-01,726585.53,2008,8,729678.530267693,778942.3866666665
2008-09-01,2008-09-01,754465.08,2008,9,722154.2338706341,772500.0291666667
2008-10-01,2008-10-01,753695.74,2008,10,769095.0436699601,766485.0945833335
2008-11-01,2008-11-01,721124.31,2008,11,740978.7991907935,760577.4212499999
2008-12-01,2008-12-01,782672.7,2008,12,728208.2364564184,754994.49125
2009-01-01,2009-01-01,751103.31,2009,1,743275.5778366269,750998.16
2009-02-01,2009-02-01,745501.75,2009,2,753739.3906230852,751177.6516666667
2009-03-01,2009-03-01,746479.71,2009,3,753060.3654668351,754195.8591666666
2009-04-01,2009-04-01,754362.45,2009,4,764033.5695032935,755842.0320833334
2009-05-01,2009-05-01,750512.95,2009,5,763672.1216126685,757854.72375
2009-06-01,2009-06-01,747515.73,2009,6,770502.5964303768,761401.1545833333
2009-07-01,2009-07-01,760794.36,2009,7,756415.1550716145,765195.3958333333
2009-08-01,2009-08-01,765221.93,2009,8,768314.930267693,769122.2533333332
2009-09-01,2009-09-01,788265.66,2009,9,755954.8138706342,773104.0316666665
2009-10-01,2009-10-01,759403.31,2009,10,774802.6136699602,777338.3716666667
2009-11-01,2009-11-01,763721.34,2009,11,783575.8291907934,781405.5854166668
2009-12-01,2009-12-01,825190.01,2009,12,770725.5464564185,785336.4083333334
2010-01-01,2010-01-01,799647.79,2010,1,791820.0578366269,789118.8774999998
2010-02-01,2010-02-01,791201.85,2010,2,799439.4906230852,792589.09125
2010-03-01,2010-03-01,796342.29,2010,3,802922.9454668352,796926.6212499999
2010-04-01,2010-04-01,806124.03,2010,4,815795.1495032936,801836.5941666666
2010-05-01,2010-05-01,796364.5,2010,5,809523.6716126685,806363.9516666665
2010-06-01,2010-06-01,796003.93,2010,6,818990.7964303768,814950.0070833332
2010-07-01,2010-07-01,803085.42,2010,7,798706.2150716146,826721.10125
2010-08-01,2010-08-01,806216.0,2010,8,809309.000267693,837396.4320833334
2010-09-01,2010-09-01,851372.31,2010,9,819061.4638706342,847912.6425
2010-10-01,2010-10-01,814136.01,2010,10,829535.3136699601,857993.7191666667
2010-11-01,2010-11-01,817645.22,2010,11,837499.7091907935,867985.3645833333
2010-12-01,2010-12-01,977331.46,2010,12,922866.9964564184,878446.0920833333
2011-01-01,2011-01-01,930012.6,2011,1,922184.8678366268,889444.4033333331
2011-02-01,2011-02-01,917044.98,2011,2,925282.6206230852,900943.5049999999
2011-03-01,2011-03-01,922888.21,2011,3,929468.8654668351,912534.9379166666
2011-04-01,2011-04-01,921523.95,2011,4,931195.0695032935,923510.3604166666
2011-05-01,2011-05-01,920764.07,2011,5,933923.2416126685,933856.1325
2011-06-01,2011-06-01,922661.82,2011,6,945648.6864303767,940700.0779166664
2011-07-01,2011-07-01,940387.0,2011,7,936007.7950716146,940185.2820833331
2011-08-01,2011-08-01,944892.86,2011,8,947985.860267693,936018.6254166665
2011-09-01,2011-09-01,990889.84,2011,9,958578.9938706341,932041.2666666667
2011-10-01,2011-10-01,938028.62,2011,10,953427.9236699601,928492.56625
2011-11-01,2011-11-01,942051.14,2011,11,961905.6291907935,925218.5970833333
2011-12-01,2011-12-01,1017180.23,2011,12,962715.7664564184,921946.0120833331
2012-01-01,2012-01-01,877808.73,2012,1,869980.9978366268,924719.3874999998
2012-02-01,2012-02-01,869249.09,2012,2,877486.7306230852,932938.8304166663
2012-03-01,2012-03-01,875227.49,2012,3,881808.1454668351,940943.1699999998
2012-04-01,2012-04-01,884015.86,2012,4,893686.9795032935,949226.8337499998
2012-05-01,2012-05-01,879696.9,2012,5,892856.0716126686,953533.4204166667
2012-06-01,2012-06-01,885186.95,2012,6,908173.8164303767,953495.2575
2012-07-01,2012-07-01,1044422.88,2012,7,1040043.6750716146,962022.01
2012-08-01,2012-08-01,1038123.61,2012,8,1041216.610267693,979188.0545833333
2012-09-01,2012-09-01,1089763.24,2012,9,1057452.3938706343,995971.6679166666
2012-10-01,2012-10-01,1037963.15,2012,10,1053362.4536699601,1012713.0433333333
2012-11-01,2012-11-01,945474.69,2012,11,965329.1791907934,1029488.1637499998
2012-12-01,2012-12-01,1012840.77,2012,12,958376.3064564185,1045671.292083333
2013-01-01,2013-01-01,1086790.25,2013,1,1078962.5178366269,1055816.8287499999
2013-02-01,2013-02-01,1072252.64,2013,2,1080490.280623085,1060660.8170833332
2013-03-01,2013-03-01,1075030.66,2013,3,1081611.3154668352,1061096.8179166666
2013-04-01,2013-04-01,1086005.7,2013,4,1095676.8195032934,1057371.2562499999
2013-05-01,2013-05-01,1080309.95,2013,5,1093469.1216126685,1057923.9474999998
2013-06-01,2013-06-01,1072968.98,2013,6,1095955.8464303769,1061909.4179166665
2013-07-01,2013-07-01,1100133.73,2013,7,1095754.5250716144,1060925.934583333
2013-08-01,2013-08-01,1098668.48,2013,8,1101761.480267693,1055516.4291666667
2013-09-01,2013-09-01,1039682.39,2013,9,1007371.5438706342,1049759.8058333332
2013-10-01,2013-10-01,998630.52,2013,10,1014029.8236699601,1043112.7479166667
2013-11-01,2013-11-01,998071.91,2013,11,1017926.3991907935,1036078.6566666667
2013-12-01,2013-12-01,1055894.84,2013,12,1001430.3764564185,1029327.4974999999
2014-01-01,2014-01-01,1020132.58,2014,1,1012304.8478366268,1021030.7020833334
2014-02-01,2014-02-01,1009082.18,2014,2,1017319.8206230853,1010892.0654166668
2014-03-01,2014-03-01,1000042.16,2014,3,1006622.8154668352,1004843.5083333335
2014-04-01,2014-04-01,1001464.81,2014,4,1011135.9295032936,1002401.0654166669
2014-05-01,2014-05-01,996032.65,2014,5,1009191.8216126686,999900.3508333336
2014-06-01,2014-06-01,995218.46,2014,6,1018205.3264303767,998129.7191666669
2014-07-01,2014-07-01,978761.16,2014,7,974381.9550716146,996524.5841666667
2014-08-01,2014-08-01,976713.77,2014,8,979806.770267693,994798.3008333332
2014-09-01,2014-09-01,1016471.73,2014,9,984160.8838706341,993474.3879166665
2014-10-01,2014-10-01,963222.55,2014,10,978621.8536699602,992478.354583333
2014-11-01,2014-11-01,973462.73,2014,11,993317.2191907935,991280.8420833331
2014-12-01,2014-12-01,1038008.86,2014,12,983544.3964564184,989871.6008333332
2015-01-01,2015-01-01,999495.32,2015,1,991667.5878366268,991210.7708333334
2015-02-01,2015-02-01,988288.64,2015,2,996526.2806230852,994941.8595833334
2015-03-01,2015-03-01,989061.79,2015,3,995642.4454668352,998381.8395833332
2015-04-01,2015-04-01,988540.38,2015,4,998211.4995032935,1002267.0516666666
2015-05-01,2015-05-01,980216.78,2015,5,993375.9516126686,1006169.6883333332
2015-06-01,2015-06-01,977212.54,2015,6,1000199.4064303768,1010157.5416666665
2015-07-01,2015-07-01,1028907.16,2015,7,1024527.9550716146,1013060.2812499999
2015-08-01,2015-08-01,1016113.9,2015,8,1019206.900267693,1014510.4687499999
2015-09-01,2015-09-01,1059631.12,2015,9,1027320.2738706343,1016172.2383333333
2015-10-01,2015-10-01,1013308.25,2015,10,1028707.5536699601,1017878.3808333332
2015-11-01,2015-11-01,1017040.31,2015,11,1036894.7991907935,1019393.9904166665
2015-12-01,2015-12-01,1090139.76,2015,12,1035675.2964564185,1020870.5791666666
2016-01-01,2016-01-01,1017030.17,2016,1,1009202.4378366269,1022239.6158333332
2016-02-01,2016-02-01,1005558.29,2016,2,1013795.9306230852,1023901.3804166666
2016-03-01,2016-03-01,1011674.61,2016,3,1018255.2654668351,1025923.3287499999
2016-04-01,2016-04-01,1006874.98,2016,4,1016546.0995032935,1027961.8241666666
2016-05-01,2016-05-01,998256.81,2016,5,1011415.9816126686,1030358.8220833333
2016-06-01,2016-06-01,994610.64,2016,6,1017597.5064303768,1032885.7929166667
2016-07-01,2016-07-01,1044365.94,2016,7,1039986.7350716145,1035075.3670833333
2016-08-01,2016-08-01,1040537.47,2016,8,1043630.4702676929,1037109.3116666666
2016-09-01,2016-09-01,1083734.31,2016,9,1051423.4638706343,1038988.2949999999
2016-10-01,2016-10-01,1038128.95,2016,10,1053528.2536699602,1041050.765
2016-11-01,2016-11-01,1049747.56,2016,11,1069602.0491907937,1043518.4554166667
2016-12-01,2016-12-01,1118079.81,2016,12,1063615.3464564185,1046285.1429166667
2017-01-01,2017-01-01,1041639.9,2017,1,1033812.1678366269,1047497.3229166667
2017-02-01,2017-02-01,1029763.23,2017,2,1038000.8706230852,1047066.3883333335
2017-03-01,2017-03-01,1032565.27,2017,3,1039145.9254668351,1047015.9350000002
2017-04-01,2017-04-01,1035483.6,2017,4,1045154.7195032935,1047047.8520833333
