Wage_Date,MIP_sector_id,MIP_sector_name,Avg_Taxable_Income,year,month,Avg_Taxable_Income_MA3
2008-01-01,1,"Agriculture, forestry and fishing",315955.41,2008,1,
2008-02-01,1,"Agriculture, forestry and fishing",330158.45,2008,2,
2008-03-01,1,"Agriculture, forestry and fishing",334053.16,2008,3,326722.34
2008-04-01,1,"Agriculture, forestry and fishing",334387.18,2008,4,332866.26333333337
2008-05-01,1,"Agriculture, forestry and fishing",341593.61,2008,5,336677.98333333334
2008-06-01,1,"Agriculture, forestry and fishing",340928.63,2008,6,338969.8066666667
2008-07-01,1,"Agriculture, forestry and fishing",323489.12,2008,7,335337.12
2008-08-01,1,"Agriculture, forestry and fishing",312401.26,2008,8,325606.33666666667
2008-09-01,1,"Agriculture, forestry and fishing",326075.34,2008,9,320655.24
2008-10-01,1,"Agriculture, forestry and fishing",320017.73,2008,10,319498.11000000004
2008-11-01,1,"Agriculture, forestry and fishing",312991.93,2008,11,319695.0
2008-12-01,1,"Agriculture, forestry and fishing",332177.17,2008,12,321728.9433333333
2009-01-01,1,"Agriculture, forestry and fishing",321960.14,2009,1,322376.41333333333
2009-02-01,1,"Agriculture, forestry and fishing",322320.62,2009,2,325485.9766666666
2009-03-01,1,"Agriculture, forestry and fishing",325154.19,2009,3,323144.98333333334
2009-04-01,1,"Agriculture, forestry and fishing",321860.79,2009,4,323111.8666666667
2009-05-01,1,"Agriculture, forestry and fishing",322886.28,2009,5,323300.42
2009-06-01,1,"Agriculture, forestry and fishing",317844.02,2009,6,320863.6966666667
2009-07-01,1,"Agriculture, forestry and fishing",320115.74,2009,7,320282.01333333337
2009-08-01,1,"Agriculture, forestry and fishing",320658.93,2009,8,319539.5633333333
2009-09-01,1,"Agriculture, forestry and fishing",332260.95,2009,9,324345.2066666666
2009-10-01,1,"Agriculture, forestry and fishing",320094.94,2009,10,324338.2733333333
2009-11-01,1,"Agriculture, forestry and fishing",318956.47,2009,11,323770.7866666667
2009-12-01,1,"Agriculture, forestry and fishing",338301.1,2009,12,325784.17
2010-01-01,1,"Agriculture, forestry and fishing",330121.47,2010,1,329126.3466666666
2010-02-01,1,"Agriculture, forestry and fishing",328417.59,2010,2,332280.0533333333
2010-03-01,1,"Agriculture, forestry and fishing",336410.57,2010,3,331649.87666666665
2010-04-01,1,"Agriculture, forestry and fishing",337734.3,2010,4,334187.48666666663
2010-05-01,1,"Agriculture, forestry and fishing",336892.04,2010,5,337012.3033333333
2010-06-01,1,"Agriculture, forestry and fishing",334085.08,2010,6,336237.13999999996
2010-07-01,1,"Agriculture, forestry and fishing",336805.58,2010,7,335927.56666666665
2010-08-01,1,"Agriculture, forestry and fishing",338792.2,2010,8,336560.95333333337
2010-09-01,1,"Agriculture, forestry and fishing",357023.18,2010,9,344206.98666666663
2010-10-01,1,"Agriculture, forestry and fishing",341247.2,2010,10,345687.5266666667
2010-11-01,1,"Agriculture, forestry and fishing",345381.12,2010,11,347883.8333333333
2010-12-01,1,"Agriculture, forestry and fishing",381116.44,2010,12,355914.92
2011-01-01,1,"Agriculture, forestry and fishing",369148.83,2011,1,365215.4633333334
2011-02-01,1,"Agriculture, forestry and fishing",367788.54,2011,2,372684.60333333333
2011-03-01,1,"Agriculture, forestry and fishing",383038.57,2011,3,373325.3133333333
2011-04-01,1,"Agriculture, forestry and fishing",376685.04,2011,4,375837.3833333333
2011-05-01,1,"Agriculture, forestry and fishing",379496.5,2011,5,379740.0366666666
2011-06-01,1,"Agriculture, forestry and fishing",377046.92,2011,6,377742.82
2011-07-01,1,"Agriculture, forestry and fishing",387640.87,2011,7,381394.76333333337
2011-08-01,1,"Agriculture, forestry and fishing",388519.23,2011,8,384402.34
2011-09-01,1,"Agriculture, forestry and fishing",408303.16,2011,9,394821.08666666667
2011-10-01,1,"Agriculture, forestry and fishing",388792.2,2011,10,395204.8633333333
2011-11-01,1,"Agriculture, forestry and fishing",395591.83,2011,11,397562.39666666667
2011-12-01,1,"Agriculture, forestry and fishing",419720.57,2011,12,401368.2
2012-01-01,1,"Agriculture, forestry and fishing",384832.62,2012,1,400048.34
2012-02-01,1,"Agriculture, forestry and fishing",390382.26,2012,2,398311.81666666665
2012-03-01,1,"Agriculture, forestry and fishing",399227.23,2012,3,391480.7033333333
2012-04-01,1,"Agriculture, forestry and fishing",392702.63,2012,4,394104.04000000004
2012-05-01,1,"Agriculture, forestry and fishing",395014.77,2012,5,395648.21
2012-06-01,1,"Agriculture, forestry and fishing",392402.27,2012,6,393373.2233333334
2012-07-01,1,"Agriculture, forestry and fishing",455037.7,2012,7,414151.58
2012-08-01,1,"Agriculture, forestry and fishing",458916.89,2012,8,435452.2866666666
2012-09-01,1,"Agriculture, forestry and fishing",486571.79,2012,9,466842.12666666665
2012-10-01,1,"Agriculture, forestry and fishing",456382.71,2012,10,467290.4633333334
2012-11-01,1,"Agriculture, forestry and fishing",445791.6,2012,11,462915.3666666667
2012-12-01,1,"Agriculture, forestry and fishing",465857.52,2012,12,456010.61000000004
2013-01-01,1,"Agriculture, forestry and fishing",470013.45,2013,1,460554.19
2013-02-01,1,"Agriculture, forestry and fishing",472521.33,2013,2,469464.10000000003
2013-03-01,1,"Agriculture, forestry and fishing",482355.48,2013,3,474963.42
2013-04-01,1,"Agriculture, forestry and fishing",484429.76,2013,4,479768.8566666667
2013-05-01,1,"Agriculture, forestry and fishing",483386.64,2013,5,483390.62666666665
2013-06-01,1,"Agriculture, forestry and fishing",477319.08,2013,6,481711.82666666666
2013-07-01,1,"Agriculture, forestry and fishing",489470.49,2013,7,483392.07
2013-08-01,1,"Agriculture, forestry and fishing",493648.9,2013,8,486812.8233333333
2013-09-01,1,"Agriculture, forestry and fishing",497068.61,2013,9,493396.0
2013-10-01,1,"Agriculture, forestry and fishing",475801.15,2013,10,488839.5533333333
2013-11-01,1,"Agriculture, forestry and fishing",479641.6,2013,11,484170.45333333337
2013-12-01,1,"Agriculture, forestry and fishing",503604.64,2013,12,486349.12999999995
2014-01-01,1,"Agriculture, forestry and fishing",483412.66,2014,1,488886.3
2014-02-01,1,"Agriculture, forestry and fishing",490053.8,2014,2,492357.03333333327
2014-03-01,1,"Agriculture, forestry and fishing",501707.95,2014,3,491724.8033333334
2014-04-01,1,"Agriculture, forestry and fishing",499003.82,2014,4,496921.8566666667
2014-05-01,1,"Agriculture, forestry and fishing",498869.61,2014,5,499860.45999999996
2014-06-01,1,"Agriculture, forestry and fishing",495123.64,2014,6,497665.69
2014-07-01,1,"Agriculture, forestry and fishing",470290.87,2014,7,488094.7066666666
2014-08-01,1,"Agriculture, forestry and fishing",474730.32,2014,8,480048.2766666667
2014-09-01,1,"Agriculture, forestry and fishing",494543.96,2014,9,479855.05
2014-10-01,1,"Agriculture, forestry and fishing",477766.56,2014,10,482346.9466666667
2014-11-01,1,"Agriculture, forestry and fishing",482745.34,2014,11,485018.62000000005
2014-12-01,1,"Agriculture, forestry and fishing",510884.77,2014,12,490465.5566666667
2015-01-01,1,"Agriculture, forestry and fishing",487116.38,2015,1,493582.16333333333
2015-02-01,1,"Agriculture, forestry and fishing",492497.81,2015,2,496832.98666666663
2015-03-01,1,"Agriculture, forestry and fishing",505607.97,2015,3,495074.0533333333
2015-04-01,1,"Agriculture, forestry and fishing",500546.75,2015,4,499550.8433333333
2015-05-01,1,"Agriculture, forestry and fishing",499685.63,2015,5,501946.7833333334
2015-06-01,1,"Agriculture, forestry and fishing",495573.41,2015,6,498601.93
2015-07-01,1,"Agriculture, forestry and fishing",540097.92,2015,7,511785.6533333333
2015-08-01,1,"Agriculture, forestry and fishing",543610.17,2015,8,526427.1666666666
2015-09-01,1,"Agriculture, forestry and fishing",573189.11,2015,9,552299.0666666668
2015-10-01,1,"Agriculture, forestry and fishing",549037.56,2015,10,555278.9466666667
2015-11-01,1,"Agriculture, forestry and fishing",552158.67,2015,11,558128.4466666667
2015-12-01,1,"Agriculture, forestry and fishing",584850.42,2015,12,562015.5499999999
2016-01-01,1,"Agriculture, forestry and fishing",527323.84,2016,1,554777.6433333333
2016-02-01,1,"Agriculture, forestry and fishing",528590.3,2016,2,546921.5199999999
2016-03-01,1,"Agriculture, forestry and fishing",547836.58,2016,3,534583.5733333332
2016-04-01,1,"Agriculture, forestry and fishing",536041.58,2016,4,537489.4866666667
2016-05-01,1,"Agriculture, forestry and fishing",536352.05,2016,5,540076.7366666666
2016-06-01,1,"Agriculture, forestry and fishing",529377.25,2016,6,533923.6266666666
2016-07-01,1,"Agriculture, forestry and fishing",575924.63,2016,7,547217.9766666666
2016-08-01,1,"Agriculture, forestry and fishing",579901.26,2016,8,561734.38
2016-09-01,1,"Agriculture, forestry and fishing",607355.67,2016,9,587727.1866666666
2016-10-01,1,"Agriculture, forestry and fishing",576610.69,2016,10,587955.8733333333
2016-11-01,1,"Agriculture, forestry and fishing",591969.85,2016,11,591978.7366666667
2016-12-01,1,"Agriculture, forestry and fishing",617776.89,2016,12,595452.4766666667
