index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Avg_Taxable_Income,year,month,Avg_Taxable_Income_MA3,Avg_Taxable_Income_MA3_sa,Avg_Taxable_Income_MA3_trend
0,2008-03-01,2008-03-01,1,"Agriculture, forestry and fishing",334053.16,2008,3,326722.34,331912.35552632256,
1,2008-04-01,2008-04-01,1,"Agriculture, forestry and fishing",334387.18,2008,4,332866.26333333337,338243.3930697253,
2,2008-05-01,2008-05-01,1,"Agriculture, forestry and fishing",341593.61,2008,5,336677.98333333334,339631.2248666003,
3,2008-06-01,2008-06-01,1,"Agriculture, forestry and fishing",340928.63,2008,6,338969.8066666667,345758.11591694754,
4,2008-07-01,2008-07-01,1,"Agriculture, forestry and fishing",323489.12,2008,7,335337.12,340662.0161339614,
5,2008-08-01,2008-08-01,1,"Agriculture, forestry and fishing",312401.26,2008,8,325606.33666666667,330481.7778093086,
6,2008-09-01,2008-09-01,1,"Agriculture, forestry and fishing",326075.34,2008,9,320655.24,313859.2421705219,326985.9045833333
7,2008-10-01,2008-10-01,1,"Agriculture, forestry and fishing",320017.73,2008,10,319498.11000000004,314205.15449333645,326430.41486111115
8,2008-11-01,2008-11-01,1,"Agriculture, forestry and fishing",312991.93,2008,11,319695.0,316674.1862988919,325466.5831944445
9,2008-12-01,2008-12-01,1,"Agriculture, forestry and fishing",332177.17,2008,12,321728.9433333333,316741.5789898641,324154.76347222226
10,2009-01-01,2009-01-01,1,"Agriculture, forestry and fishing",321960.14,2009,1,322376.41333333333,316813.9232433364,322773.04611111106
11,2009-02-01,2009-02-01,1,"Agriculture, forestry and fishing",322320.62,2009,2,325485.9766666666,320636.5648145169,321892.96777777775
12,2009-03-01,2009-03-01,1,"Agriculture, forestry and fishing",325154.19,2009,3,323144.98333333334,328334.99885965587,321793.9341666666
13,2009-04-01,2009-04-01,1,"Agriculture, forestry and fishing",321860.79,2009,4,323111.8666666667,328488.99640305864,322149.35624999995
14,2009-05-01,2009-05-01,1,"Agriculture, forestry and fishing",322886.28,2009,5,323300.42,326253.66153326695,322520.8541666666
15,2009-06-01,2009-06-01,1,"Agriculture, forestry and fishing",317844.02,2009,6,320863.6966666667,327652.00591694756,322859.6463888888
16,2009-07-01,2009-07-01,1,"Agriculture, forestry and fishing",320115.74,2009,7,320282.01333333337,325606.90946729475,323309.86138888885
17,2009-08-01,2009-08-01,1,"Agriculture, forestry and fishing",320658.93,2009,8,319539.5633333333,324415.00447597523,323874.1951388889
18,2009-09-01,2009-09-01,1,"Agriculture, forestry and fishing",332260.95,2009,9,324345.2066666666,317549.2088371885,324511.65222222224
19,2009-10-01,2009-10-01,1,"Agriculture, forestry and fishing",320094.94,2009,10,324338.2733333333,319045.3178266697,325327.50694444444
20,2009-11-01,2009-11-01,1,"Agriculture, forestry and fishing",318956.47,2009,11,323770.7866666667,320749.9729655586,326360.31958333333
21,2009-12-01,2009-12-01,1,"Agriculture, forestry and fishing",338301.1,2009,12,325784.17,320796.8056565308,327572.2081944445
22,2010-01-01,2010-01-01,1,"Agriculture, forestry and fishing",330121.47,2010,1,329126.3466666666,323563.85657666967,328864.66638888884
23,2010-02-01,2010-02-01,1,"Agriculture, forestry and fishing",328417.59,2010,2,332280.0533333333,327430.6414811836,330225.7890277778
