Wage_Date,year,month,Avg_Taxable_Income,Avg_Taxable_Income_MA3
2008-01-01,2008,1,413692.89,
2008-02-01,2008,2,449381.6,
2008-03-01,2008,3,451073.1,438049.1966666666
2008-04-01,2008,4,453950.66,451468.4533333333
2008-05-01,2008,5,458738.54,454587.4333333333
2008-06-01,2008,6,457736.04,456808.41333333333
2008-07-01,2008,7,454924.79,457133.12333333335
2008-08-01,2008,8,419587.28,444082.7033333333
2008-09-01,2008,9,440316.83,438276.3
2008-10-01,2008,10,443755.6,434553.23666666663
2008-11-01,2008,11,424058.17,436043.5333333334
2008-12-01,2008,12,454825.36,440879.70999999996
2009-01-01,2009,1,433151.01,437344.8466666667
2009-02-01,2009,2,428354.27,438776.88000000006
2009-03-01,2009,3,430598.14,430701.13999999996
2009-04-01,2009,4,434466.82,431139.74333333335
2009-05-01,2009,5,431168.77,432077.91
2009-06-01,2009,6,430935.16,432190.25
2009-07-01,2009,7,436658.73,432920.88666666666
2009-08-01,2009,8,437618.39,435070.75999999995
2009-09-01,2009,9,455224.52,443167.2133333334
2009-10-01,2009,10,438545.92,443796.2766666667
2009-11-01,2009,11,439029.52,444266.6533333333
2009-12-01,2009,12,472916.4,450163.9466666667
2010-01-01,2010,1,460677.09,457541.0033333334
2010-02-01,2010,2,457077.31,463556.93333333335
2010-03-01,2010,3,460445.11,459399.83666666667
2010-04-01,2010,4,468277.45,461933.29000000004
2010-05-01,2010,5,464280.5,464334.35333333333
2010-06-01,2010,6,464070.29,465542.74666666664
2010-07-01,2010,7,471170.22,466507.00333333336
2010-08-01,2010,8,472603.82,469281.44333333336
2010-09-01,2010,9,501032.6,481602.2133333333
2010-10-01,2010,10,479607.52,484414.64666666667
2010-11-01,2010,11,482001.86,487547.32666666666
2010-12-01,2010,12,576821.03,512810.1366666667
2011-01-01,2011,1,550381.46,536401.4500000001
2011-02-01,2011,2,543899.38,557033.9566666667
2011-03-01,2011,3,551610.28,548630.3733333333
2011-04-01,2011,4,552545.76,549351.8066666668
2011-05-01,2011,5,554299.97,552818.67
2011-06-01,2011,6,556365.08,554403.6033333334
2011-07-01,2011,7,567805.67,559490.24
2011-08-01,2011,8,571376.71,565182.4866666667
2011-09-01,2011,9,602262.84,580481.7399999999
2011-10-01,2011,10,572854.08,582164.5433333333
2011-11-01,2011,11,577100.53,584072.4833333333
2011-12-01,2011,12,626989.89,592314.8333333334
2012-01-01,2012,1,541520.21,581870.21
2012-02-01,2012,2,538325.96,568945.3533333334
2012-03-01,2012,3,542903.61,540916.5933333333
2012-04-01,2012,4,548620.24,543283.2699999999
2012-05-01,2012,5,546115.83,545879.8933333334
2012-06-01,2012,6,547930.72,547555.5966666667
2012-07-01,2012,7,646393.32,580146.6233333333
2012-08-01,2012,8,643948.07,612757.37
2012-09-01,2012,9,681102.03,657147.8066666666
2012-10-01,2012,10,652359.84,659136.6466666666
2012-11-01,2012,11,591583.51,641681.7933333333
2012-12-01,2012,12,633531.9,625825.0833333334
2013-01-01,2013,1,681091.45,635402.2866666666
2013-02-01,2013,2,672731.31,662451.5533333333
2013-03-01,2013,3,677054.31,676959.0233333334
2013-04-01,2013,4,680708.37,676831.33
2013-05-01,2013,5,677030.24,678264.3066666668
2013-06-01,2013,6,676721.53,678153.38
2013-07-01,2013,7,695724.57,683158.7799999999
2013-08-01,2013,8,696445.95,689630.6833333332
2013-09-01,2013,9,662589.59,684920.0366666666
2013-10-01,2013,10,637326.0,665453.8466666667
2013-11-01,2013,11,639364.86,646426.8166666665
2013-12-01,2013,12,680418.63,652369.83
2014-01-01,2014,1,658597.59,659460.36
2014-02-01,2014,2,654591.61,664535.9433333334
2014-03-01,2014,3,654127.57,655772.2566666667
2014-04-01,2014,4,659164.14,655961.1066666667
2014-05-01,2014,5,657779.96,657023.89
2014-06-01,2014,6,657640.36,658194.82
2014-07-01,2014,7,648233.52,654551.2799999999
2014-08-01,2014,8,648928.63,651600.8366666667
2014-09-01,2014,9,681036.06,659399.4033333333
2014-10-01,2014,10,652101.66,660688.7833333333
2014-11-01,2014,11,659131.62,664089.78
2014-12-01,2014,12,699929.38,670387.5533333333
2015-01-01,2015,1,674559.39,677873.4633333333
2015-02-01,2015,2,669269.07,681252.6133333333
2015-03-01,2015,3,674045.61,672624.6900000001
2015-04-01,2015,4,677545.58,673620.0866666666
2015-05-01,2015,5,673016.84,674869.3433333334
2015-06-01,2015,6,674276.66,674946.36
2015-07-01,2015,7,712929.77,686741.09
2015-08-01,2015,8,708841.06,698682.4966666667
2015-09-01,2015,9,742907.38,721559.4033333333
2015-10-01,2015,10,713369.01,721705.8166666668
2015-11-01,2015,11,715792.97,724023.12
2015-12-01,2015,12,767349.38,732170.4533333333
2016-01-01,2016,1,719243.74,734128.6966666667
2016-02-01,2016,2,713041.38,733211.5
2016-03-01,2016,3,720109.98,717465.0333333333
2016-04-01,2016,4,719110.11,717420.4899999999
2016-05-01,2016,5,714552.23,717924.1066666666
2016-06-01,2016,6,715125.05,716262.4633333334
2016-07-01,2016,7,752674.54,727450.6066666668
2016-08-01,2016,8,750331.57,739377.0533333333
2016-09-01,2016,9,783323.16,762109.7566666667
2016-10-01,2016,10,751605.36,761753.3633333333
2016-11-01,2016,11,760437.14,765121.8866666667
2016-12-01,2016,12,808259.9,773434.1333333333
2017-01-01,2017,1,757063.88,775253.64
2017-02-01,2017,2,750285.49,771869.7566666667
2017-03-01,2017,3,755218.24,754189.2033333333
2017-04-01,2017,4,759113.03,754872.2533333334
2017-05-01,2017,5,755192.61,756507.96
