index,date,Wage_Date,year,month,Avg_Taxable_Income,Avg_Taxable_Income_MA3,Avg_Taxable_Income_MA3_sa,Avg_Taxable_Income_MA3_trend
0,2008-03-01,2008-03-01,2008,3,451073.1,438049.1966666666,440677.99259689025,
1,2008-04-01,2008-04-01,2008,4,453950.66,451468.4533333333,458112.0815725847,
2,2008-05-01,2008-05-01,2008,5,458738.54,454587.4333333333,461501.78949793195,
3,2008-06-01,2008-06-01,2008,6,457736.04,456808.41333333333,468165.7666159875,
4,2008-07-01,2008-07-01,2008,7,454924.79,457133.12333333335,465613.345122932,
5,2008-08-01,2008-08-01,2008,8,419587.28,444082.7033333333,450398.1191159875,
6,2008-09-01,2008-09-01,2008,9,440316.83,438276.3,430588.8742640676,443694.15013888886
7,2008-10-01,2008-10-01,2008,10,443755.6,434553.23666666663,429410.2679875153,442540.9515277777
8,2008-11-01,2008-11-01,2008,11,424058.17,436043.5333333334,434329.09893369593,440756.02513888886
9,2008-12-01,2008-12-01,2008,12,454825.36,440879.70999999996,435077.7690205014,438792.3715277777
10,2009-01-01,2009-01-01,2009,1,433151.01,437344.8466666667,427030.5712427237,436757.7715277778
11,2009-02-01,2009-02-01,2009,2,428354.27,438776.88000000006,427098.15402918204,435373.4306944444
12,2009-03-01,2009-03-01,2009,3,430598.14,430701.13999999996,433329.9359302236,435201.7211111111
13,2009-04-01,2009-04-01,2009,4,434466.82,431139.74333333335,437783.3715725847,435790.6358333333
14,2009-05-01,2009-05-01,2009,5,431168.77,432077.91,438992.26616459864,436518.39249999996
15,2009-06-01,2009-06-01,2009,6,430935.16,432190.25,443547.6032826542,437247.8656944444
16,2009-07-01,2009-07-01,2009,7,436658.73,432920.88666666666,441401.1084562653,438476.2154166666
17,2009-08-01,2009-08-01,2009,8,437618.39,435070.75999999995,441386.17578265414,440350.2241666666
18,2009-09-01,2009-09-01,2009,9,455224.52,443167.2133333334,435479.787597401,442578.50541666674
19,2009-10-01,2009-10-01,2009,10,438545.92,443796.2766666667,438653.30798751535,445057.3488888889
20,2009-11-01,2009-11-01,2009,11,439029.52,444266.6533333333,442552.21893369587,447684.4318055556
21,2009-12-01,2009-12-01,2009,12,472916.4,450163.9466666667,444362.00568716816,450418.1376388889
22,2010-01-01,2010-01-01,2010,1,460677.09,457541.0033333334,447226.7279093904,453207.2465277778
23,2010-02-01,2010-02-01,2010,2,457077.31,463556.93333333335,451878.2073625153,456032.11319444445
24,2010-03-01,2010-03-01,2010,3,460445.11,459399.83666666667,462028.6325968903,459059.0166666667
25,2010-04-01,2010-04-01,2010,4,468277.45,461933.29000000004,468576.9182392514,462352.9070833333
26,2010-05-01,2010-05-01,2010,5,464280.5,464334.35333333333,471248.709497932,465848.7005555556
27,2010-06-01,2010-06-01,2010,6,464070.29,465542.74666666664,476900.09994932084,470262.3198611111
28,2010-07-01,2010-07-01,2010,7,471170.22,466507.00333333336,474987.225122932,476158.42972222227
29,2010-08-01,2010-08-01,2010,8,472603.82,469281.44333333336,475596.85911598755,483339.15763888886
30,2010-09-01,2010-09-01,2010,9,501032.6,481602.2133333333,473914.78759740095,490951.9726388889
31,2010-10-01,2010-10-01,2010,10,479607.52,484414.64666666667,479271.67798751534,498312.34986111114
32,2010-11-01,2010-11-01,2010,11,482001.86,487547.32666666666,485832.8922670292,505641.63458333333
33,2010-12-01,2010-12-01,2010,12,576821.03,512810.1366666667,507008.19568716816,513031.0168055556
34,2011-01-01,2011-01-01,2011,1,550381.46,536401.4500000001,526087.1745760571,520607.8540277778
35,2011-02-01,2011-02-01,2011,2,543899.38,557033.9566666667,545355.2306958487,528478.0323611111
36,2011-03-01,2011-03-01,2011,3,551610.28,548630.3733333333,551259.169263557,536593.8894444443
37,2011-04-01,2011-04-01,2011,4,552545.76,549351.8066666668,555995.4349059182,544786.7820833334
38,2011-05-01,2011-05-01,2011,5,554299.97,552818.67,559733.0261645988,552881.5759722221
39,2011-06-01,2011-06-01,2011,6,556365.08,554403.6033333334,565760.9566159876,560216.1531944445
40,2011-07-01,2011-07-01,2011,7,567805.67,559490.24,567970.4617895986,565423.3805555556
41,2011-08-01,2011-08-01,2011,8,571376.71,565182.4866666667,571497.9024493209,567814.2204166666
42,2011-09-01,2011-09-01,2011,9,602262.84,580481.7399999999,572794.3142640674,567989.1211111111
43,2011-10-01,2011-10-01,2011,10,572854.08,582164.5433333333,577021.5746541821,567414.8579166665
44,2011-11-01,2011-11-01,2011,11,577100.53,584072.4833333333,582358.0489336958,566872.8865277778
45,2011-12-01,2011-12-01,2011,12,626989.89,592314.8333333334,586512.8923538348,566298.4372222222
46,2012-01-01,2012-01-01,2012,1,541520.21,581870.21,571555.934576057,566873.78625
47,2012-02-01,2012-02-01,2012,2,538325.96,568945.3533333334,557266.6273625154,569716.7556944445
48,2012-03-01,2012-03-01,2012,3,542903.61,540916.5933333333,543545.3892635569,574893.4619444445
49,2012-04-01,2012-04-01,2012,4,548620.24,543283.2699999999,549926.8982392513,581295.052361111
50,2012-05-01,2012-05-01,2012,5,546115.83,545879.8933333334,552794.2494979321,586902.6112500001
51,2012-06-01,2012-06-01,2012,6,547930.72,547555.5966666667,558912.9499493209,590699.2595833334
52,2012-07-01,2012-07-01,2012,7,646393.32,580146.6233333333,588626.8451229319,594326.0231944445
53,2012-08-01,2012-08-01,2012,8,643948.07,612757.37,619072.7857826542,600452.6180555555
54,2012-09-01,2012-09-01,2012,9,681102.03,657147.8066666666,649460.3809307342,610017.1443055555
55,2012-10-01,2012-10-01,2012,10,652359.84,659136.6466666666,653993.6779875153,621250.081388889
56,2012-11-01,2012-11-01,2012,11,591583.51,641681.7933333333,639967.3589336958,632330.6011111111
57,2012-12-01,2012-12-01,2012,12,633531.9,625825.0833333334,620023.1423538348,643288.192638889
58,2013-01-01,2013-01-01,2013,1,681091.45,635402.2866666666,625088.0112427237,653021.9401388889
59,2013-02-01,2013-02-01,2013,2,672731.31,662451.5533333333,650772.8273625154,660517.1680555554
60,2013-03-01,2013-03-01,2013,3,677054.31,676959.0233333334,679587.8192635571,664877.3990277777
61,2013-04-01,2013-04-01,2013,4,680708.37,676831.33,683474.9582392514,666297.7919444444
62,2013-05-01,2013-05-01,2013,5,677030.24,678264.3066666668,685178.6628312655,666758.7179166668
63,2013-06-01,2013-06-01,2013,6,676721.53,678153.38,689510.7332826542,668062.4583333334
64,2013-07-01,2013-07-01,2013,7,695724.57,683158.7799999999,691639.0017895985,670170.9091666666
65,2013-08-01,2013-08-01,2013,8,696445.95,689630.6833333332,695946.0991159874,671260.1784722221
66,2013-09-01,2013-09-01,2013,9,662589.59,684920.0366666666,677232.6109307342,670464.2461111111
67,2013-10-01,2013-10-01,2013,10,637326.0,665453.8466666667,660310.8779875154,668711.8715277778
68,2013-11-01,2013-11-01,2013,11,639364.86,646426.8166666665,644712.382267029,666957.2615277776
69,2013-12-01,2013-12-01,2013,12,680418.63,652369.83,646567.8890205014,665240.6375000001
70,2014-01-01,2014-01-01,2014,1,658597.59,659460.36,649146.084576057,663217.0516666666
71,2014-02-01,2014-02-01,2014,2,654591.61,664535.9433333334,652857.2173625154,660440.4955555554
72,2014-03-01,2014-03-01,2014,3,654127.57,655772.2566666667,658401.0525968904,657792.5588888889
73,2014-04-01,2014-04-01,2014,4,659164.14,655961.1066666667,662604.7349059181,656530.6548611111
74,2014-05-01,2014-05-01,2014,5,657779.96,657023.89,663938.2461645987,657068.067361111
75,2014-06-01,2014-06-01,2014,6,657640.36,658194.82,669552.1732826541,658554.762638889
76,2014-07-01,2014-07-01,2014,7,648233.52,654551.2799999999,663031.5017895985,660072.71375
77,2014-08-01,2014-08-01,2014,8,648928.63,651600.8366666667,657916.2524493209,661536.4543055556
78,2014-09-01,2014-09-01,2014,9,681036.06,659399.4033333333,651711.9775974009,662935.1669444444
79,2014-10-01,2014-10-01,2014,10,652101.66,660688.7833333333,655545.8146541821,664373.1425
80,2014-11-01,2014-11-01,2014,11,659131.62,664089.78,662375.3456003625,665852.4938888887
81,2014-12-01,2014-12-01,2014,12,699929.38,670387.5533333333,664585.6123538348,667294.0352777778
82,2015-01-01,2015-01-01,2015,1,674559.39,677873.4633333333,667559.1879093903,669333.2581944445
83,2015-02-01,2015-02-01,2015,2,669269.07,681252.6133333333,669573.8873625153,672636.2361111111
84,2015-03-01,2015-03-01,2015,3,674045.61,672624.6900000001,675253.4859302237,677187.9719444445
85,2015-04-01,2015-04-01,2015,4,677545.58,673620.0866666666,680263.714905918,682320.3483333333
86,2015-05-01,2015-05-01,2015,5,673016.84,674869.3433333334,681783.6994979321,687359.9472222222
87,2015-06-01,2015-06-01,2015,6,674276.66,674946.36,686303.7132826542,692431.4572222224
88,2015-07-01,2015-07-01,2015,7,712929.77,686741.09,695221.3117895985,697349.7127777778
89,2015-08-01,2015-08-01,2015,8,708841.06,698682.4966666667,704997.9124493209,701858.6344444443
90,2015-09-01,2015-09-01,2015,9,742907.38,721559.4033333333,713871.9775974009,705891.9356944446
91,2015-10-01,2015-10-01,2015,10,713369.01,721705.8166666668,716562.8479875155,709585.3001388889
92,2015-11-01,2015-11-01,2015,11,715792.97,724023.12,722308.6856003625,713204.2654166666
93,2015-12-01,2015-12-01,2015,12,767349.38,732170.4533333333,726368.5123538347,716719.7181944444
94,2016-01-01,2016-01-01,2016,1,719243.74,734128.6966666667,723814.4212427237,720137.4523611111
95,2016-02-01,2016-02-01,2016,2,713041.38,733211.5,721532.774029182,723529.2887500001
96,2016-03-01,2016-03-01,2016,3,720109.98,717465.0333333333,720093.829263557,726914.4933333333
97,2016-04-01,2016-04-01,2016,4,719110.11,717420.4899999999,724064.1182392513,730272.7391666666
98,2016-05-01,2016-05-01,2016,5,714552.23,717924.1066666666,724838.4628312653,733653.8355555556
99,2016-06-01,2016-06-01,2016,6,715125.05,716262.4633333334,727619.8166159876,737085.6041666666
100,2016-07-01,2016-07-01,2016,7,752674.54,727450.6066666668,735930.8284562654,740518.463472222
101,2016-08-01,2016-08-01,2016,8,750331.57,739377.0533333333,745692.4691159875,743842.7634722221
102,2016-09-01,2016-09-01,2016,9,783323.16,762109.7566666667,754422.3309307343,746983.6979166665
103,2016-10-01,2016-10-01,2016,10,751605.36,761753.3633333333,756610.394654182,750074.3618055555
104,2016-11-01,2016-11-01,2016,11,760437.14,765121.8866666667,763407.4522670292,753242.5125000001
105,2016-12-01,2016-12-01,2016,12,808259.9,773434.1333333333,767632.1923538347,756502.1620833332
106,2017-01-01,2017-01-01,2017,1,757063.88,775253.64,764939.3645760571,759359.3847222222
107,2017-02-01,2017-02-01,2017,2,750285.49,771869.7566666667,760191.0306958487,761360.3805555556
108,2017-03-01,2017-03-01,2017,3,755218.24,754189.2033333333,756817.9992635569,762602.8501388889
109,2017-04-01,2017-04-01,2017,4,759113.03,754872.2533333334,761515.8815725849,763566.3730555555
110,2017-05-01,2017-05-01,2017,5,755192.61,756507.96,763422.3161645987,764588.2151388889
111,2017-06-01,2017-06-01,2017,6,753424.96,755910.2000000001,767267.5532826543,765516.5291666666
112,2017-07-01,2017-07-01,2017,7,760511.07,756376.2133333333,764856.4351229318,766651.9127777778
113,2017-08-01,2017-08-01,2017,8,761490.01,758475.3466666667,764790.7624493209,768393.3704166667
114,2017-09-01,2017-09-01,2017,9,796491.12,772830.7333333334,765143.307597401,770824.4130555555
115,2017-10-01,2017-10-01,2017,10,764489.68,774156.9366666666,769013.9679875154,773571.9790277778
116,2017-11-01,2017-11-01,2017,11,770746.77,777242.5233333333,775528.0889336958,776246.1627777778
117,2017-12-01,2017-12-01,2017,12,815542.65,783593.0333333333,777791.0923538348,778870.9012499999
118,2018-01-01,2018-01-01,2018,1,790742.42,792343.9466666667,782029.6712427237,781493.7227777779
119,2018-02-01,2018-02-01,2018,2,783438.23,796574.4333333332,784895.7073625153,784511.7830555555
120,2018-03-01,2018-03-01,2018,3,789308.0,787829.5499999999,790458.3459302236,788371.3033333332
121,2018-04-01,2018-04-01,2018,4,788774.24,787173.4900000001,793817.1182392515,793178.7447222222
122,2018-05-01,2018-05-01,2018,5,787079.16,788387.1333333334,795301.4894979321,798612.479861111
123,2018-06-01,2018-06-01,2018,6,785220.85,787024.75,798382.1032826542,805534.5281944444
124,2018-07-01,2018-07-01,2018,7,792328.13,788209.3799999999,796689.6017895985,814922.5018055554
125,2018-08-01,2018-08-01,2018,8,819677.9,799075.6266666666,805391.0424493208,826411.7901388888
126,2018-09-01,2018-09-01,2018,9,862570.79,824858.94,817171.5142640675,838357.0309722221
127,2018-10-01,2018-10-01,2018,10,830273.28,837507.3233333334,832364.3546541821,849487.7183333334
128,2018-11-01,2018-11-01,2018,11,840061.27,844301.7800000001,842587.3456003626,860111.9466666665
129,2018-12-01,2018-12-01,2018,12,977654.26,882662.9366666666,876860.9956871681,869440.1066666666
130,2019-01-01,2019-01-01,2019,1,938040.7,918585.41,908271.1345760571,877657.4416666665
131,2019-02-01,2019-02-01,2019,2,922532.71,946075.89,934397.164029182,885455.499861111
132,2019-03-01,2019-03-01,2019,3,914468.21,925013.8733333334,927642.6692635571,893648.2066666667
133,2019-04-01,2019-04-01,2019,4,914376.07,917125.6633333332,923769.2915725847,902199.1273611111
134,2019-05-01,2019-05-01,2019,5,911405.04,913416.44,920330.7961645987,910303.6781944445
135,2019-06-01,2019-06-01,2019,6,831832.74,885871.2833333332,897228.6366159874,917202.6393055554
