Wage_Date,Real_Avg_Wage,year,month,Real_Avg_Wage_MA3
2008-01-01,762600.05,2008,1,
2008-02-01,825137.09,2008,2,
2008-03-01,821460.95,2008,3,803066.0299999999
2008-04-01,823739.64,2008,4,823445.8933333332
2008-05-01,822919.92,2008,5,822706.8366666668
2008-06-01,809099.08,2008,6,818586.2133333333
2008-07-01,795122.96,2008,7,809047.32
2008-08-01,726585.53,2008,8,776935.8566666668
2008-09-01,754465.08,2008,9,758724.5233333333
2008-10-01,753695.74,2008,10,744915.4500000001
2008-11-01,721124.31,2008,11,743095.0433333333
2008-12-01,782672.7,2008,12,752497.5833333334
2009-01-01,751103.31,2009,1,751633.4400000001
2009-02-01,745501.75,2009,2,759759.2533333334
2009-03-01,746479.71,2009,3,747694.9233333333
2009-04-01,754362.45,2009,4,748781.3033333332
2009-05-01,750512.95,2009,5,750451.7033333333
2009-06-01,747515.73,2009,6,750797.0433333333
2009-07-01,760794.36,2009,7,752941.0133333333
2009-08-01,765221.93,2009,8,757844.0066666667
2009-09-01,788265.66,2009,9,771427.3166666668
2009-10-01,759403.31,2009,10,770963.6333333334
2009-11-01,763721.34,2009,11,770463.4366666666
2009-12-01,825190.01,2009,12,782771.5533333333
2010-01-01,799647.79,2010,1,796186.38
2010-02-01,791201.85,2010,2,805346.5500000002
2010-03-01,796342.29,2010,3,795730.6433333332
2010-04-01,806124.03,2010,4,797889.39
2010-05-01,796364.5,2010,5,799610.2733333334
2010-06-01,796003.93,2010,6,799497.4866666667
2010-07-01,803085.42,2010,7,798484.6166666667
2010-08-01,806216.0,2010,8,801768.4500000001
2010-09-01,851372.31,2010,9,820224.5766666667
2010-10-01,814136.01,2010,10,823908.1066666668
2010-11-01,817645.22,2010,11,827717.8466666667
2010-12-01,977331.46,2010,12,869704.23
2011-01-01,930012.6,2011,1,908329.7599999999
2011-02-01,917044.98,2011,2,941463.0133333333
2011-03-01,922888.21,2011,3,923315.2633333333
2011-04-01,921523.95,2011,4,920485.7133333333
2011-05-01,920764.07,2011,5,921725.4099999998
2011-06-01,922661.82,2011,6,921649.9466666667
2011-07-01,940387.0,2011,7,927937.63
2011-08-01,944892.86,2011,8,935980.5599999999
2011-09-01,990889.84,2011,9,958723.2333333334
2011-10-01,938028.62,2011,10,957937.1066666668
2011-11-01,942051.14,2011,11,956989.8666666667
2011-12-01,1017180.23,2011,12,965753.3300000001
