index,date,Wage_Date,Real_Avg_Wage,year,month,Real_Avg_Wage_MA3,Real_Avg_Wage_MA3_sa,Real_Avg_Wage_MA3_trend
0,2008-03-01,2008-03-01,821460.95,2008,3,803066.0299999999,805569.6242000272,
1,2008-04-01,2008-04-01,823739.64,2008,4,823445.8933333332,831782.4380889159,
2,2008-05-01,2008-05-01,822919.92,2008,5,822706.8366666668,832683.8917521107,
3,2008-06-01,2008-06-01,809099.08,2008,6,818586.2133333333,834032.0054066244,
4,2008-07-01,2008-07-01,795122.96,2008,7,809047.32,820001.0313875272,
5,2008-08-01,2008-08-01,726585.53,2008,8,776935.8566666668,783532.4539222496,
6,2008-09-01,2008-09-01,754465.08,2008,9,758724.5233333333,747698.9126278255,778060.6575000001
7,2008-10-01,2008-10-01,753695.74,2008,10,744915.4500000001,739489.1998771105,772642.5034722225
8,2008-11-01,2008-11-01,721124.31,2008,11,743095.0433333333,743781.0348250273,766520.8483333335
9,2008-12-01,2008-12-01,782672.7,2008,12,752497.5833333334,746267.432663569,760685.6690277777
10,2009-01-01,2009-01-01,751103.31,2009,1,751633.4400000001,737660.9440524578,755523.3574999999
11,2009-02-01,2009-02-01,745501.75,2009,2,759759.2533333334,741914.4745298884,752390.1009722222
12,2009-03-01,2009-03-01,746479.71,2009,3,747694.9233333333,750198.5175333605,752123.8902777777
13,2009-04-01,2009-04-01,754362.45,2009,4,748781.3033333332,757117.8480889159,753738.5143055554
14,2009-05-01,2009-05-01,750512.95,2009,5,750451.7033333333,760428.7584187771,755964.2049999998
15,2009-06-01,2009-06-01,747515.73,2009,6,750797.0433333333,766242.8354066245,758365.9701388888
16,2009-07-01,2009-07-01,760794.36,2009,7,752941.0133333333,763894.7247208606,761483.7580555554
17,2009-08-01,2009-08-01,765221.93,2009,8,757844.0066666667,764440.6039222495,765239.6012499998
18,2009-09-01,2009-09-01,788265.66,2009,9,771427.3166666668,760401.705961159,769140.5602777777
19,2009-10-01,2009-10-01,759403.31,2009,10,770963.6333333334,765537.3832104439,773188.2188888888
20,2009-11-01,2009-11-01,763721.34,2009,11,770463.4366666666,771149.4281583606,777282.6629166666
21,2009-12-01,2009-12-01,825190.01,2009,12,782771.5533333333,776541.402663569,781360.1218055555
22,2010-01-01,2010-01-01,799647.79,2010,1,796186.38,782213.8840524578,785286.9570833333
23,2010-02-01,2010-02-01,791201.85,2010,2,805346.5500000002,787501.7711965551,789014.7923611113
24,2010-03-01,2010-03-01,796342.29,2010,3,795730.6433333332,798234.2375333605,792878.1966666668
25,2010-04-01,2010-04-01,806124.03,2010,4,797889.39,806225.9347555827,797117.4355555555
26,2010-05-01,2010-05-01,796364.5,2010,5,799610.2733333334,809587.3284187773,801709.0556944443
27,2010-06-01,2010-06-01,796003.93,2010,6,799497.4866666667,814943.2787399578,807716.8509722222
28,2010-07-01,2010-07-01,803085.42,2010,7,798484.6166666667,809438.328054194,816011.6866666668
29,2010-08-01,2010-08-01,806216.0,2010,8,801768.4500000001,808365.0472555829,826355.8468055555
30,2010-09-01,2010-09-01,851372.31,2010,9,820224.5766666667,809198.9659611589,837343.3919444445
31,2010-10-01,2010-10-01,814136.01,2010,10,823908.1066666668,818481.8565437773,847767.5979166667
32,2010-11-01,2010-11-01,817645.22,2010,11,827717.8466666667,828403.8381583607,857963.90875
33,2010-12-01,2010-12-01,977331.46,2010,12,869704.23,863474.0793302356,868141.7252777776
34,2011-01-01,2011-01-01,930012.6,2011,1,908329.7599999999,894357.2640524576,878625.2866666665
35,2011-02-01,2011-02-01,917044.98,2011,2,941463.0133333333,923618.2345298883,889611.3334722221
36,2011-03-01,2011-03-01,922888.21,2011,3,923315.2633333333,925818.8575333606,900974.2820833332
37,2011-04-01,2011-04-01,921523.95,2011,4,920485.7133333333,928822.258088916,912329.6011111111
38,2011-05-01,2011-05-01,920764.07,2011,5,921725.4099999998,931702.4650854437,923300.4769444445
39,2011-06-01,2011-06-01,922661.82,2011,6,921649.9466666667,937095.7387399578,932688.8569444445
40,2011-07-01,2011-07-01,940387.0,2011,7,927937.63,938891.3413875273,938247.1641666668
41,2011-08-01,2011-08-01,944892.86,2011,8,935980.5599999999,942577.1572555827,938967.9951388891
42,2011-09-01,2011-09-01,990889.84,2011,9,958723.2333333334,947697.6226278256,936081.7247222222
43,2011-10-01,2011-10-01,938028.62,2011,10,957937.1066666668,952510.8565437773,932184.1527777778
44,2011-11-01,2011-11-01,942051.14,2011,11,956989.8666666667,957675.8581583607,928584.1433333333
45,2011-12-01,2011-12-01,1017180.23,2011,12,965753.3300000001,959523.1793302357,925219.0584722222
46,2012-01-01,2012-01-01,877808.73,2012,1,945680.0333333333,931707.5373857911,923961.3322222224
47,2012-02-01,2012-02-01,869249.09,2012,2,921412.6833333332,903567.9045298882,926534.7433333334
48,2012-03-01,2012-03-01,875227.49,2012,3,874095.1033333332,876598.6975333604,932867.1293055556
49,2012-04-01,2012-04-01,884015.86,2012,4,876164.1466666666,884500.6914222493,941036.2780555555
50,2012-05-01,2012-05-01,879696.9,2012,5,879646.75,889623.8050854439,947901.1413888887
51,2012-06-01,2012-06-01,885186.95,2012,6,882966.57,898412.3620732911,952085.1705555555
52,2012-07-01,2012-07-01,1044422.88,2012,7,936435.5766666667,947389.288054194,956350.2293055553
53,2012-08-01,2012-08-01,1038123.61,2012,8,989244.48,995841.0772555828,964901.7740277777
54,2012-09-01,2012-09-01,1089763.24,2012,9,1057436.5766666667,1046410.9659611589,979060.5774999999
55,2012-10-01,2012-10-01,1037963.15,2012,10,1055283.3333333333,1049857.0832104438,995957.588611111
