index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers,year,month,Count_Workers_sa,Count_Workers_trend,Monthly_Emp_Growth,Annual_Emp_Growth
0,2008-01-01,2008-01-01,1,"Agriculture, forestry and fishing",29051,2008,1,25820.529360702614,,,
1,2008-02-01,2008-02-01,1,"Agriculture, forestry and fishing",29321,2008,2,26851.617902369282,,3.9932897085988017,
2,2008-03-01,2008-03-01,1,"Agriculture, forestry and fishing",29806,2008,3,27350.34446486928,,1.8573426909072488,
3,2008-04-01,2008-04-01,1,"Agriculture, forestry and fishing",27000,2008,4,26720.123110702614,,-2.3042538092204468,
4,2008-05-01,2008-05-01,1,"Agriculture, forestry and fishing",23608,2008,5,26433.433006535946,,-1.0729370631224255,
5,2008-06-01,2008-06-01,1,"Agriculture, forestry and fishing",23850,2008,6,26609.44081903595,,0.6658530220289061,
6,2008-07-01,2008-07-01,1,"Agriculture, forestry and fishing",29101,2008,7,30935.90512663399,29242.333333333336,16.25913275300004,
7,2008-08-01,2008-08-01,1,"Agriculture, forestry and fishing",28550,2008,8,30734.206597222223,29671.625,-0.6519884535012843,
8,2008-09-01,2008-09-01,1,"Agriculture, forestry and fishing",27653,2008,9,30834.98600898693,30035.583333333332,0.3279063392962689,
9,2008-10-01,2008-10-01,1,"Agriculture, forestry and fishing",30992,2008,10,32204.427798202614,30300.166666666668,4.441194780554003,
10,2008-11-01,2008-11-01,1,"Agriculture, forestry and fishing",33774,2008,11,32435.508527369282,30533.958333333336,0.717543347190186,
11,2008-12-01,2008-12-01,1,"Agriculture, forestry and fishing",35550,2008,12,31325.477277369282,30795.208333333332,-3.422271764487206,
12,2009-01-01,2009-01-01,1,"Agriculture, forestry and fishing",34355,2009,1,31124.529360702614,30914.249999999996,-0.6414839744894762,20.541794189829375
13,2009-02-01,2009-02-01,1,"Agriculture, forestry and fishing",34320,2009,2,31850.617902369282,30881.041666666664,2.3328498665859954,18.617127720854796
14,2009-03-01,2009-03-01,1,"Agriculture, forestry and fishing",33542,2009,3,31086.34446486928,30865.416666666664,-2.3995560771935653,13.659791396041765
15,2009-04-01,2009-04-01,1,"Agriculture, forestry and fishing",29614,2009,4,29334.123110702614,30803.708333333336,-5.636627221148027,9.782889057696643
16,2009-05-01,2009-05-01,1,"Agriculture, forestry and fishing",26605,2009,5,29430.433006535946,30696.458333333332,0.32832035056875597,11.337914372525738
17,2009-06-01,2009-06-01,1,"Agriculture, forestry and fishing",27123,2009,6,29882.44081903595,30641.041666666668,1.535851723281212,12.300145734962431
18,2009-07-01,2009-07-01,1,"Agriculture, forestry and fishing",28685,2009,7,30519.90512663399,30613.125000000004,2.1332404252331294,-1.3447157867116921
19,2009-08-01,2009-08-01,1,"Agriculture, forestry and fishing",28169,2009,8,30353.206597222223,30545.666666666664,-0.5461960930746579,-1.2396610883537051
20,2009-09-01,2009-09-01,1,"Agriculture, forestry and fishing",27659,2009,9,30840.98600898693,30499.166666666668,1.6070111413182486,0.019458416482653895
21,2009-10-01,2009-10-01,1,"Agriculture, forestry and fishing",29505,2009,10,30717.427798202614,30581.958333333332,-0.4006298979815748,-4.617377490194041
22,2009-11-01,2009-11-01,1,"Agriculture, forestry and fishing",32687,2009,11,31348.508527369282,30740.374999999996,2.0544712705521384,-3.3512654783345974
23,2009-12-01,2009-12-01,1,"Agriculture, forestry and fishing",35307,2009,12,31082.477277369282,30850.375,-0.8486249027373605,-0.7757264090451743
24,2010-01-01,2010-01-01,1,"Agriculture, forestry and fishing",33928,2010,1,30697.529360702614,30927.958333333332,-1.2384724461680596,-1.3719082947455719
25,2010-02-01,2010-02-01,1,"Agriculture, forestry and fishing",33128,2010,2,30658.617902369282,31052.458333333336,-0.1267576223353828,-3.742470565732192
26,2010-03-01,2010-03-01,1,"Agriculture, forestry and fishing",33618,2010,3,31162.34446486928,31196.958333333336,1.6430178428267217,0.2444803379370919
27,2010-04-01,2010-04-01,1,"Agriculture, forestry and fishing",31525,2010,4,31245.123110702614,31342.375000000007,0.265636771734723,6.514597326765736
28,2010-05-01,2010-05-01,1,"Agriculture, forestry and fishing",28496,2010,5,31321.433006535946,31496.208333333336,0.24422978127807138,6.425321705528564
29,2010-06-01,2010-06-01,1,"Agriculture, forestry and fishing",27872,2010,6,30631.44081903595,31668.875,-2.2029393973002853,2.506488691923936
30,2010-07-01,2010-07-01,1,"Agriculture, forestry and fishing",29798,2010,7,31632.90512663399,31858.041666666664,3.2693999394755036,3.646800327137023
31,2010-08-01,2010-08-01,1,"Agriculture, forestry and fishing",30044,2010,8,32228.206597222223,32067.416666666668,1.881905781985882,6.177271564354547
32,2010-09-01,2010-09-01,1,"Agriculture, forestry and fishing",29252,2010,9,32433.98600898693,32301.124999999996,0.6385071758303829,5.165204509141841
33,2010-10-01,2010-10-01,1,"Agriculture, forestry and fishing",31402,2010,10,32614.427798202614,32521.875,0.5563355338615628,6.175647298537812
34,2010-11-01,2010-11-01,1,"Agriculture, forestry and fishing",34482,2010,11,33143.50852736928,32724.833333333332,1.6222290712573084,5.725950242362732
35,2010-12-01,2010-12-01,1,"Agriculture, forestry and fishing",37656,2010,12,33431.47727736928,32948.916666666664,0.8688541521251425,7.55731269112927
36,2011-01-01,2011-01-01,1,"Agriculture, forestry and fishing",36119,2011,1,32888.52936070261,33169.875,-1.6240619945149914,7.137382211627763
37,2011-02-01,2011-02-01,1,"Agriculture, forestry and fishing",35962,2011,2,33492.61790236928,33347.291666666664,1.8367757799121254,9.243730454597522
38,2011-03-01,2011-03-01,1,"Agriculture, forestry and fishing",36393,2011,3,33937.34446486928,33514.70833333333,1.3278345807317127,8.904978260311536
39,2011-04-01,2011-04-01,1,"Agriculture, forestry and fishing",34048,2011,4,33768.12311070262,33696.33333333333,-0.49862874315884653,8.074860166371955
40,2011-05-01,2011-05-01,1,"Agriculture, forestry and fishing",30844,2011,5,33669.433006535946,33880.58333333333,-0.29225818634672773,7.496464160851235
41,2011-06-01,2011-06-01,1,"Agriculture, forestry and fishing",30902,2011,6,33661.440819035946,34033.83333333333,-0.023737220340025456,9.891797182837703
42,2011-07-01,2011-07-01,1,"Agriculture, forestry and fishing",32071,2011,7,33905.90512663399,34148.0,0.7262443366945703,7.185555644986263
43,2011-08-01,2011-08-01,1,"Agriculture, forestry and fishing",32029,2011,8,34213.20659722222,34243.70833333333,0.9063361365535094,6.159200928577535
44,2011-09-01,2011-09-01,1,"Agriculture, forestry and fishing",31285,2011,9,34466.986008986925,34318.45833333333,0.7417586277496335,6.268116411706792
45,2011-10-01,2011-10-01,1,"Agriculture, forestry and fishing",33728,2011,10,34940.42779820261,34361.5,1.3736094855878678,7.1318129951315035
46,2011-11-01,2011-11-01,1,"Agriculture, forestry and fishing",36578,2011,11,35239.50852736928,34412.99999999999,0.8559732894342531,6.324013639863035
47,2011-12-01,2011-12-01,1,"Agriculture, forestry and fishing",39238,2011,12,35013.47727736928,34479.83333333333,-0.6414143086713286,4.7320672875885705
