date,Wage_Date,Real_Avg_Wage,year,month,Real_Avg_Wage_sa,Real_Avg_Wage_trend,Real_Wage_Growth_SA,Real_Wage_Growth_SA_Annual
2008-01-01,2008-01-01,762600.05,2008,1,754772.3178366269,,,
2008-02-01,2008-02-01,825137.09,2008,2,833374.7306230852,,10.41405612380608,
2008-03-01,2008-03-01,821460.95,2008,3,828041.6054668351,,-0.6399432284517115,
2008-04-01,2008-04-01,823739.64,2008,4,833410.7595032935,,0.6484159734257977,
2008-05-01,2008-05-01,822919.92,2008,5,836079.0916126686,,0.3201701056709805,
2008-06-01,2008-06-01,809099.08,2008,6,832085.9464303767,,-0.4776037604994676,
2008-07-01,2008-07-01,795122.96,2008,7,790743.7550716145,782739.5566666666,-4.968500133444021,
2008-08-01,2008-08-01,726585.53,2008,8,729678.530267693,778942.3866666665,-7.7225048458828605,
2008-09-01,2008-09-01,754465.08,2008,9,722154.2338706341,772500.0291666667,-1.0311796338996704,
2008-10-01,2008-10-01,753695.74,2008,10,769095.0436699601,766485.0945833335,6.500108646837188,
2008-11-01,2008-11-01,721124.31,2008,11,740978.7991907935,760577.4212499999,-3.65575681582887,
2008-12-01,2008-12-01,782672.7,2008,12,728208.2364564184,754994.49125,-1.7234720815658355,
2009-01-01,2009-01-01,751103.31,2009,1,743275.5778366269,750998.16,2.0690979071492865,-1.5232063667825813
2009-02-01,2009-02-01,745501.75,2009,2,753739.3906230852,751177.6516666667,1.4077972018015528,-9.555766100618312
2009-03-01,2009-03-01,746479.71,2009,3,753060.3654668351,754195.8591666666,-0.09008752424213284,-9.055250304449004
2009-04-01,2009-04-01,754362.45,2009,4,764033.5695032935,755842.0320833334,1.4571479976450474,-8.324489360006382
2009-05-01,2009-05-01,750512.95,2009,5,763672.1216126685,757854.72375,-0.04730785466140475,-8.660301486589994
2009-06-01,2009-06-01,747515.73,2009,6,770502.5964303768,761401.1545833333,0.8944250581367497,-7.4010804129297725
2009-07-01,2009-07-01,760794.36,2009,7,756415.1550716145,765195.3958333333,-1.828344436998297,-4.341305230654779
