index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Avg_Taxable_Income,year,month,Avg_Taxable_Income_sa,Avg_Taxable_Income_trend,Nominal_Wage_Growth_SA,Nominal_Wage_Growth_SA_Annual,Nominal_Wage_Growth_SA_Annual_cycle
0,2008-01-01,2008-01-01,1,"Agriculture, forestry and fishing",315955.41,2008,1,321687.0747712418,,,,
1,2008-02-01,2008-02-01,1,"Agriculture, forestry and fishing",330158.45,2008,2,338636.4047972835,,5.268887485794926,,
2,2008-03-01,2008-03-01,1,"Agriculture, forestry and fishing",334053.16,2008,3,335267.36505770014,,-0.9948840974732698,,
3,2008-04-01,2008-04-01,1,"Agriculture, forestry and fishing",334387.18,2008,4,340680.1874014502,,1.6144793403373603,,
4,2008-05-01,2008-05-01,1,"Agriculture, forestry and fishing",341593.61,2008,5,342799.9001879085,,0.6222001938611443,,
5,2008-06-01,2008-06-01,1,"Agriculture, forestry and fishing",340928.63,2008,6,353648.03820874187,,3.1645686054420974,,
6,2008-07-01,2008-07-01,1,"Agriculture, forestry and fishing",323489.12,2008,7,325460.7607271242,327269.27958333335,-7.970432304499331,,
7,2008-08-01,2008-08-01,1,"Agriculture, forestry and fishing",312401.26,2008,8,313096.07692810457,327192.9004166666,-3.799131966445113,,
8,2008-09-01,2008-09-01,1,"Agriculture, forestry and fishing",326075.34,2008,9,302874.6669035948,326495.53375,-3.2646241130823483,,
9,2008-10-01,2008-10-01,1,"Agriculture, forestry and fishing",320017.73,2008,10,327474.7720108251,325602.8104166666,8.122206244162555,,
10,2008-11-01,2008-11-01,1,"Agriculture, forestry and fishing",312991.93,2008,11,319330.6500837418,324301.40541666665,-2.4869463614174525,,
11,2008-12-01,2008-12-01,1,"Agriculture, forestry and fishing",332177.17,2008,12,303273.09292228345,322560.07458333333,-5.028504829476088,,
12,2009-01-01,2009-01-01,1,"Agriculture, forestry and fishing",321960.14,2009,1,327691.80477124185,321457.65833333327,8.051723815543355,1.8666370118445519,0.32923368757171545
13,2009-02-01,2009-02-01,1,"Agriculture, forestry and fishing",322320.62,2009,2,330798.5747972835,321661.1704166666,0.9480768151069352,-2.3145266985373114,-4.108156725416298
14,2009-03-01,2009-03-01,1,"Agriculture, forestry and fishing",325154.19,2009,3,326368.39505770017,322262.97375,-1.3392378556341122,-2.654290553590999,-4.704149823459527
15,2009-04-01,2009-04-01,1,"Agriculture, forestry and fishing",321860.79,2009,4,328153.79740145017,322523.92458333337,0.5470512374319725,-3.676876573171306,-5.982938468055993
16,2009-05-01,2009-05-01,1,"Agriculture, forestry and fishing",322886.28,2009,5,324092.57018790854,322775.6641666666,-1.2375987252627452,-5.457215707981645,-8.019388154099993
17,2009-06-01,2009-06-01,1,"Agriculture, forestry and fishing",317844.02,2009,6,330563.4282087419,323279.35041666665,1.9966079497229838,-6.52756625398675,-9.34564555709847
18,2009-07-01,2009-07-01,1,"Agriculture, forestry and fishing",320115.74,2009,7,322087.38072712417,323874.56958333333,-2.5641213631973025,-1.0364936136889158,-4.110102581100916
19,2009-08-01,2009-08-01,1,"Agriculture, forestry and fishing",320658.93,2009,8,321353.74692810455,324468.66541666666,-0.227774772598488,2.6374236563482034,-0.6910921727555479
20,2009-09-01,2009-09-01,1,"Agriculture, forestry and fishing",332260.95,2009,9,309060.2769035948,325191.7216666666,-3.8255256526572023,2.0423002237981436,-1.5402223407189113
21,2009-10-01,2009-10-01,1,"Agriculture, forestry and fishing",320094.94,2009,10,327551.98201082513,326322.13375000004,5.98320343607226,0.023577388733153626,-3.811769128747504
22,2009-11-01,2009-11-01,1,"Agriculture, forestry and fishing",318956.47,2009,11,325295.1900837418,327567.10333333333,-0.6889874129989981,1.8678257155822164,-2.218867431809449
23,2009-12-01,2009-12-01,1,"Agriculture, forestry and fishing",338301.1,2009,12,309397.02292228345,328827.3875,-4.887304714639528,2.019279040217814,-2.3169594616305345
24,2010-01-01,2010-01-01,1,"Agriculture, forestry and fishing",330121.47,2010,1,335853.1347712418,330199.5083333333,8.550861801796916,2.4905505359517077,-2.0930909716065935
25,2010-02-01,2010-02-01,1,"Agriculture, forestry and fishing",328417.59,2010,2,336895.54479728354,331650.47124999994,0.31037674451117603,1.8431064897230343,-2.9854367237324615
26,2010-03-01,2010-03-01,1,"Agriculture, forestry and fishing",336410.57,2010,3,337624.7750577002,333437.78374999994,0.2164558931331051,3.4489797941402722,-1.6215887239403317
27,2010-04-01,2010-04-01,1,"Agriculture, forestry and fishing",337734.3,2010,4,344027.3074014502,335350.8875,1.8963455340787139,4.837216611752626,-0.4721026724444828
28,2010-05-01,2010-05-01,1,"Agriculture, forestry and fishing",336892.04,2010,5,338098.3301879085,337333.25875,-1.7234030805069467,4.321530725582323,-1.2228541367274968
29,2010-06-01,2010-06-01,1,"Agriculture, forestry and fishing",334085.08,2010,6,346804.4882087419,340218.25833333336,2.5750372727350257,4.913144835170402,-0.8622061249856108
30,2010-07-01,2010-07-01,1,"Agriculture, forestry and fishing",336805.58,2010,7,338777.2207271242,343628.37083333335,-2.3146377150650044,5.181773952870206,-0.8200198969998524
31,2010-08-01,2010-08-01,1,"Agriculture, forestry and fishing",338792.2,2010,8,339487.01692810457,346894.96708333335,0.20951709783110228,5.642775344411,-0.5805078063502842
32,2010-09-01,2010-09-01,1,"Agriculture, forestry and fishing",357023.18,2010,9,333822.50690359477,350478.2566666667,-1.6685498243101948,8.012103738496323,1.5727215836713233
33,2010-10-01,2010-10-01,1,"Agriculture, forestry and fishing",341247.2,2010,10,348704.24201082514,354044.03750000003,4.457978356602577,6.457680356610074,-0.1919693182195461
34,2010-11-01,2010-11-01,1,"Agriculture, forestry and fishing",345381.12,2010,11,351719.8400837418,357442.17083333334,0.8648010863094191,8.123283345566046,1.269626686825088
35,2010-12-01,2010-12-01,1,"Agriculture, forestry and fishing",381116.44,2010,12,352212.3629222835,361007.43333333335,0.14003271422629027,13.838316734791167,6.78734416151108
36,2011-01-01,2011-01-01,1,"Agriculture, forestry and fishing",369148.83,2011,1,374880.49477124185,364915.64708333334,6.435927365207261,11.620364962971852,4.3791882813015555
37,2011-02-01,2011-02-01,1,"Agriculture, forestry and fishing",367788.54,2011,2,376266.4947972835,369105.74374999997,0.369717828847671,11.686396750568552,4.2624961319509485
38,2011-03-01,2011-03-01,1,"Agriculture, forestry and fishing",383038.57,2011,3,384252.7750577002,373314.36916666664,2.1225063540986744,13.810597872158903,6.211788063297845
39,2011-04-01,2011-04-01,1,"Agriculture, forestry and fishing",376685.04,2011,4,382978.04740145017,377432.0766666666,-0.33174195191136846,11.32199077282776,3.5563882060573953
40,2011-05-01,2011-05-01,1,"Agriculture, forestry and fishing",379496.5,2011,5,380702.7901879085,381505.23124999995,-0.5940959877412166,12.601203909028857,4.677178771850181
41,2011-06-01,2011-06-01,1,"Agriculture, forestry and fishing",377046.92,2011,6,389766.32820874185,385205.84958333324,2.380738532638471,12.387913496131354,4.314062289945188
42,2011-07-01,2011-07-01,1,"Agriculture, forestry and fishing",387640.87,2011,7,389612.5107271242,387467.84624999994,-0.03946402510565106,15.005521885707429,6.790631336472046
43,2011-08-01,2011-08-01,1,"Agriculture, forestry and fishing",388519.23,2011,8,389214.04692810454,389062.7425,-0.10227181829350895,14.647697119601787,6.3007108903152425
44,2011-09-01,2011-09-01,1,"Agriculture, forestry and fishing",408303.16,2011,9,385102.48690359475,390678.675,-1.056375035012358,15.361450752872452,6.891417046725852
