index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Avg_Taxable_Income,year,month,Avg_Taxable_Income_sa,Avg_Taxable_Income_trend,Avg_Taxable_Income_sa_cycle
0,2008-01-01,2008-01-01,1,"Agriculture, forestry and fishing",315955.41,2008,1,321687.0747712418,,21310.031546685204
1,2008-02-01,2008-02-01,1,"Agriculture, forestry and fishing",330158.45,2008,2,338636.4047972835,,36394.67664620362
2,2008-03-01,2008-03-01,1,"Agriculture, forestry and fishing",334053.16,2008,3,335267.36505770014,,31160.787550841167
3,2008-04-01,2008-04-01,1,"Agriculture, forestry and fishing",334387.18,2008,4,340680.1874014502,,34708.150857178436
4,2008-05-01,2008-05-01,1,"Agriculture, forestry and fishing",341593.61,2008,5,342799.9001879085,,34961.109234036994
5,2008-06-01,2008-06-01,1,"Agriculture, forestry and fishing",340928.63,2008,6,353648.03820874187,,43940.24397272413
6,2008-07-01,2008-07-01,1,"Agriculture, forestry and fishing",323489.12,2008,7,325460.7607271242,327269.27958333335,13880.491074408928
7,2008-08-01,2008-08-01,1,"Agriculture, forestry and fishing",312401.26,2008,8,313096.07692810457,327192.9004166666,-361.7025829567574
8,2008-09-01,2008-09-01,1,"Agriculture, forestry and fishing",326075.34,2008,9,302874.6669035948,326495.53375,-12467.32631711301
9,2008-10-01,2008-10-01,1,"Agriculture, forestry and fishing",320017.73,2008,10,327474.7720108251,325602.8104166666,10240.194610433537
10,2008-11-01,2008-11-01,1,"Agriculture, forestry and fishing",312991.93,2008,11,319330.6500837418,324301.40541666665,193.54761339788092
11,2008-12-01,2008-12-01,1,"Agriculture, forestry and fishing",332177.17,2008,12,303273.09292228345,322560.07458333333,-17778.124942359864
12,2009-01-01,2009-01-01,1,"Agriculture, forestry and fishing",321960.14,2009,1,327691.80477124185,321457.65833333327,4713.230260450742
13,2009-02-01,2009-02-01,1,"Agriculture, forestry and fishing",322320.62,2009,2,330798.5747972835,321661.1704166666,5877.888637884404
14,2009-03-01,2009-03-01,1,"Agriculture, forestry and fishing",325154.19,2009,3,326368.39505770017,322262.97375,-510.70787089609075
15,2009-04-01,2009-04-01,1,"Agriculture, forestry and fishing",321860.79,2009,4,328153.79740145017,322523.92458333337,-701.6228891402716
16,2009-05-01,2009-05-01,1,"Agriculture, forestry and fishing",322886.28,2009,5,324092.57018790854,322775.6641666666,-6758.6595890340395
17,2009-06-01,2009-06-01,1,"Agriculture, forestry and fishing",317844.02,2009,6,330563.4282087419,323279.35041666665,-2304.689296714787
18,2009-07-01,2009-07-01,1,"Agriculture, forestry and fishing",320115.74,2009,7,322087.38072712417,323874.56958333333,-12820.236716661311
19,2009-08-01,2009-08-01,1,"Agriculture, forestry and fishing",320658.93,2009,8,321353.74692810455,324468.66541666666,-15617.49884838087
20,2009-09-01,2009-09-01,1,"Agriculture, forestry and fishing",332260.95,2009,9,309060.2769035948,325191.7216666666,-30000.142862938403
21,2009-10-01,2009-10-01,1,"Agriculture, forestry and fishing",320094.94,2009,10,327551.98201082513,326322.13375000004,-13624.454160688212
22,2009-11-01,2009-11-01,1,"Agriculture, forestry and fishing",318956.47,2009,11,325295.1900837418,327567.10333333333,-18025.170182684844
23,2009-12-01,2009-12-01,1,"Agriculture, forestry and fishing",338301.1,2009,12,309397.02292228345,328827.3875,-36096.12927702902
24,2010-01-01,2010-01-01,1,"Agriculture, forestry and fishing",330121.47,2010,1,335853.1347712418,330199.5083333333,-11842.498263865244
25,2010-02-01,2010-02-01,1,"Agriculture, forestry and fishing",328417.59,2010,2,336895.54479728354,331650.47124999994,-13032.800521947152
26,2010-03-01,2010-03-01,1,"Agriculture, forestry and fishing",336410.57,2010,3,337624.7750577002,333437.78374999994,-14566.965162102075
27,2010-04-01,2010-04-01,1,"Agriculture, forestry and fishing",337734.3,2010,4,344027.3074014502,335350.8875,-10458.860941758088
28,2010-05-01,2010-05-01,1,"Agriculture, forestry and fishing",336892.04,2010,5,338098.3301879085,337333.25875,-18713.537708504242
29,2010-06-01,2010-06-01,1,"Agriculture, forestry and fishing",334085.08,2010,6,346804.4882087419,340218.25833333336,-12364.508176550095
30,2010-07-01,2010-07-01,1,"Agriculture, forestry and fishing",336805.58,2010,7,338777.2207271242,343628.37083333335,-22780.346194017213
31,2010-08-01,2010-08-01,1,"Agriculture, forestry and fishing",338792.2,2010,8,339487.01692810457,346894.96708333335,-24490.480281996017
32,2010-09-01,2010-09-01,1,"Agriculture, forestry and fishing",357023.18,2010,9,333822.50690359477,350478.2566666667,-32606.022280438163
33,2010-10-01,2010-10-01,1,"Agriculture, forestry and fishing",341247.2,2010,10,348704.24201082514,354044.03750000003,-20205.973794221354
34,2010-11-01,2010-11-01,1,"Agriculture, forestry and fishing",345381.12,2010,11,351719.8400837418,357442.17083333334,-19702.018361829512
35,2010-12-01,2010-12-01,1,"Agriculture, forestry and fishing",381116.44,2010,12,352212.3629222835,361007.43333333335,-21750.239645462367
36,2011-01-01,2011-01-01,1,"Agriculture, forestry and fishing",369148.83,2011,1,374880.49477124185,364915.64708333334,-1650.9468407199602
37,2011-02-01,2011-02-01,1,"Agriculture, forestry and fishing",367788.54,2011,2,376266.4947972835,369105.74374999997,-2860.706395404355
38,2011-03-01,2011-03-01,1,"Agriculture, forestry and fishing",383038.57,2011,3,384252.7750577002,373314.36916666664,2504.0808720947243
39,2011-04-01,2011-04-01,1,"Agriculture, forestry and fishing",376685.04,2011,4,382978.04740145017,377432.0766666666,-1416.663991593814
40,2011-05-01,2011-05-01,1,"Agriculture, forestry and fishing",379496.5,2011,5,380702.7901879085,381505.23124999995,-6361.272751036275
41,2011-06-01,2011-06-01,1,"Agriculture, forestry and fishing",377046.92,2011,6,389766.32820874185,385205.84958333324,10.780192541948054
42,2011-07-01,2011-07-01,1,"Agriculture, forestry and fishing",387640.87,2011,7,389612.5107271242,387467.84624999994,-2855.406006682606
43,2011-08-01,2011-08-01,1,"Agriculture, forestry and fishing",388519.23,2011,8,389214.04692810454,389062.7425,-5985.872355839179
44,2011-09-01,2011-09-01,1,"Agriculture, forestry and fishing",408303.16,2011,9,385102.48690359475,390678.675,-12847.796922740468
45,2011-10-01,2011-10-01,1,"Agriculture, forestry and fishing",388792.2,2011,10,396249.24201082514,392020.6020833333,-4468.450322593853
