index,date,Wage_Date,year,month,Avg_Taxable_Income,Avg_Taxable_Income_sa,Avg_Taxable_Income_trend,Avg_Taxable_Income_sa_cycle
0,2008-01-01,2008-01-01,2008,1,413692.89,408772.7423978759,,1677.728715827223
1,2008-02-01,2008-02-01,2008,2,449381.6,457337.6184135008,,47100.810088778555
2,2008-03-01,2008-03-01,2008,3,451073.1,455551.0301062091,,42172.414193375735
3,2008-04-01,2008-04-01,2008,4,453950.66,461075.00932495913,,44554.19650096289
4,2008-05-01,2008-05-01,2008,5,458738.54,467506.74218954245,,47842.64134928718
5,2008-06-01,2008-06-01,2008,6,457736.04,475542.9614603758,,52733.435934340465
6,2008-07-01,2008-07-01,2008,7,454924.79,452823.54872140515,444314.16000000003,26865.04711946036
7,2008-08-01,2008-08-01,2008,8,419587.28,423119.29727532686,444248.77625,-5993.553407060914
8,2008-09-01,2008-09-01,2008,9,440316.83,415451.1899223856,442519.51416666666,-16823.411751413136
9,2008-10-01,2008-10-01,2008,10,443755.6,452372.4557312091,440854.56416666665,16926.71849515097
10,2008-11-01,2008-11-01,2008,11,424058.17,436107.5400541258,438893.99708333326,-2520.570164644392
11,2008-12-01,2008-12-01,2008,12,454825.36,416380.72440308414,436628.5533333333,-25442.979675850947
12,2009-01-01,2009-01-01,2009,1,433151.01,428230.86239787587,434750.76416666666,-16803.620426833106
13,2009-02-01,2009-02-01,2009,2,428354.27,436310.2884135008,434740.9745833333,-11951.92573146004
14,2009-03-01,2009-03-01,2009,3,430598.14,435076.07010620914,436113.4245833333,-16432.465964785195
15,2009-04-01,2009-04-01,2009,4,434466.82,441591.16932495916,436517.5083333332,-13183.825087504869
16,2009-05-01,2009-05-01,2009,5,431168.77,439936.9721895425,436924.24458333326,-18126.035995763203
17,2009-06-01,2009-06-01,2009,6,430935.16,448742.0814603758,438301.8441666666,-12631.81321803364
18,2009-07-01,2009-07-01,2009,7,436658.73,434557.48872140516,440202.55749999994,-30151.34259787161
19,2009-08-01,2009-08-01,2009,8,437618.39,441150.40727532684,442546.2708333334,-26918.490792387573
20,2009-09-01,2009-09-01,2009,9,455224.52,430358.8799223856,444986.6879166666,-41096.06231189519
21,2009-10-01,2009-10-01,2009,10,438545.92,447162.7757312091,447639.0879166667,-27704.827693921106
22,2009-11-01,2009-11-01,2009,11,439029.52,451078.89005412586,450427.51958333334,-27228.314093044668
23,2009-12-01,2009-12-01,2009,12,472916.4,434471.7644030842,453187.80541666667,-47302.08873240673
24,2010-01-01,2010-01-01,2010,1,460677.09,455756.9423978759,456006.4145833334,-29510.50663228857
25,2010-02-01,2010-02-01,2010,2,457077.31,465033.3284135008,458902.1195833333,-23754.197072510957
26,2010-03-01,2010-03-01,2010,3,460445.11,464923.0401062091,462268.51583333337,-27410.34834711789
27,2010-04-01,2010-04-01,2010,4,468277.45,475401.79932495917,465888.0858333334,-20502.361268887704
28,2010-05-01,2010-05-01,2010,5,464280.5,473048.70218954247,469389.5,-26450.050880164024
29,2010-06-01,2010-06-01,2010,6,464070.29,481877.2114603758,475509.37374999997,-21238.70738543314
30,2010-07-01,2010-07-01,2010,7,471170.22,469068.97872140515,483576.41541666666,-37685.22807575326
31,2010-08-01,2010-08-01,2010,8,472603.82,476135.83727532683,490931.68374999997,-34276.16464451747
32,2010-09-01,2010-09-01,2010,9,501032.6,476166.9599223856,498347.8187499999,-37920.43850648939
33,2010-10-01,2010-10-01,2010,10,479607.52,488224.3757312091,505657.54708333325,-29553.85033147043
34,2010-11-01,2010-11-01,2010,11,482001.86,494051.23005412583,512919.53791666665,-27430.791909585532
35,2010-12-01,2010-12-01,2010,12,576821.03,538376.3944030842,520515.96541666664,13180.299167629331
36,2011-01-01,2011-01-01,2011,1,550381.46,545461.3123978758,528388.05875,16543.769073826028
37,2011-02-01,2011-02-01,2011,2,543899.38,551855.3984135009,536530.0729166665,19211.83303802577
38,2011-03-01,2011-03-01,2011,3,551610.28,556088.2101062092,544863.5366666666,19716.721917960327
39,2011-04-01,2011-04-01,2011,4,552545.76,559670.1093249591,552966.7366666667,19571.322524617543
40,2011-05-01,2011-05-01,2011,5,554299.97,563068.1721895424,560814.4545833333,19245.083804618567
41,2011-06-01,2011-06-01,2011,6,556365.08,574172.0014603758,566867.2683333333,26629.830331918085
42,2011-07-01,2011-07-01,2011,7,567805.67,565704.4287214052,568588.4187499998,14450.467007982894
43,2011-08-01,2011-08-01,2011,8,571376.71,574908.7272753267,567986.9741666666,19952.13497594383
44,2011-09-01,2011-09-01,2011,9,602262.84,577397.1999223856,567391.9704166666,18748.89337596367
45,2011-10-01,2011-10-01,2011,10,572854.08,581470.9357312091,566865.6291666665,19143.433664928423
46,2011-11-01,2011-11-01,2011,11,577100.53,589149.9000541258,566361.0599999999,23157.178916038596
47,2011-12-01,2011-12-01,2011,12,626989.89,588545.2544030842,565668.6224999999,18902.600650434848
48,2012-01-01,2012-01-01,2012,1,541520.21,536600.0623978758,568591.67625,-36676.10618483508
49,2012-02-01,2012-02-01,2012,2,538325.96,546281.9784135008,574889.9683333333,-30610.30174091505
50,2012-03-01,2012-03-01,2012,3,542903.61,547381.5401062091,581198.7412499998,-33108.17989305302
51,2012-04-01,2012-04-01,2012,4,548620.24,555744.5893249591,587796.4474999999,-28322.39413318853
52,2012-05-01,2012-05-01,2012,5,546115.83,554884.0321895424,591712.6449999999,-32738.27821807668
53,2012-06-01,2012-06-01,2012,6,547930.72,565737.6414603759,592588.6862499999,-25416.080726855784
54,2012-07-01,2012-07-01,2012,7,646393.32,644292.0787214051,598676.7383333333,49633.09119503631
55,2012-08-01,2012-08-01,2012,8,643948.07,647480.0872753267,610092.4295833334,49344.40823264676
56,2012-09-01,2012-09-01,2012,9,681102.03,656236.3899223857,621282.2649999999,54654.63759718847
57,2012-10-01,2012-10-01,2012,10,652359.84,660976.6957312091,632375.5495833333,55981.152024365496
58,2012-11-01,2012-11-01,2012,11,591583.51,603632.8800541258,643333.9887500001,-4742.9311842988245
59,2012-12-01,2012-12-01,2012,12,633531.9,595087.2644030842,654155.0395833334,-16634.48052099545
60,2013-01-01,2013-01-01,2013,1,681091.45,676171.3023978758,661576.7920833334,61138.804226619075
61,2013-02-01,2013-02-01,2013,2,672731.31,680687.3284135009,665819.6725,62380.232378570014
