date,Wage_Date,year,month,Count_Workers,Count_Workers_sa,Count_Workers_trend,Monthly_Emp_Growth,Annual_Emp_Growth,Annual_Emp_Growth_cycle
2008-01-01,2008-01-01,2008,1,340166,338453.54106668715,,,,
2008-02-01,2008-02-01,2008,2,354984,353716.46294168715,,4.5096062008677995,,
2008-03-01,2008-03-01,2008,3,367404,361082.55408752046,,2.0824846784266438,,
2008-04-01,2008-04-01,2008,4,366631,363330.0957541871,,0.622445377441827,,
2008-05-01,2008-05-01,2008,5,366165,368306.5619000204,,1.3696817863390498,,
2008-06-01,2008-06-01,2008,6,369359,373502.2494000204,,1.4106964245210518,,
2008-07-01,2008-07-01,2008,7,397086,402091.82966962823,383244.62499999994,7.654459997371643,,
2008-08-01,2008-08-01,2008,8,390930,396188.93506178516,387883.6666666666,-1.4680463944500177,,
2008-09-01,2008-09-01,2008,9,394180,400157.71202256944,391634.12499999994,1.001738466059221,,
2008-10-01,2008-10-01,2008,10,408345,409136.5723166871,394881.0416666666,2.2438303759621636,,
2008-11-01,2008-11-01,2008,11,406801,403455.5749208538,397972.8333333333,-1.388533262540026,,
2008-12-01,2008-12-01,2008,12,406194,398822.9108583538,400911.6666666667,-1.1482463870796211,,
2009-01-01,2009-01-01,2009,1,401547,399834.54106668715,402719.0833333334,0.2536539854633979,18.13572397752099,7.437140105092954
2009-02-01,2009-02-01,2009,2,404940,403672.46294168715,403886.0833333333,0.9598775195262199,14.123176395167004,3.5182227739396907
2009-03-01,2009-03-01,2009,3,407459,401137.55408752046,405438.5,-0.6279617974666918,11.093031094017158,0.5816503386502507
2009-04-01,2009-04-01,2009,4,404502,401201.0957541871,406656.4583333333,0.015840368476882638,10.423303888820111,0.005354081852315673
2009-05-01,2009-05-01,2009,5,402497,404638.5619000204,407950.5833333333,0.856793807945988,9.864608388341068,-0.4601414078526176
2009-06-01,2009-06-01,2009,6,403559,407702.2494000204,409796.625,0.7571417527815871,9.1565713606645,-1.0752984238561485
2009-07-01,2009-07-01,2009,7,406264,411269.82966962823,412061.9583333333,0.8750455203173191,2.282563166613194,-7.856832116337738
2009-08-01,2009-08-01,2009,8,409760,415018.93506178516,414576.1666666666,0.9115926143107966,4.752782910775499,-5.29462059465555
2009-09-01,2009-09-01,2009,9,412608,418585.71202256944,417060.5416666666,0.859425115206669,4.605184267687101,-5.350726774515805
2009-10-01,2009-10-01,2009,10,419148,419939.5723166871,419922.8333333332,0.3234368147866151,2.6404386043587635,-7.224455025595679
2009-11-01,2009-11-01,2009,11,427057,423711.5749208538,423245.95833333326,0.898225090661886,5.020627117117815,-4.753658601783753
2009-12-01,2009-12-01,2009,12,430243,422871.9108583538,426744.91666666657,-0.19816878088753098,6.029994602928235,-3.653971412080213
2010-01-01,2010-01-01,2010,1,431866,430153.54106668715,430339.5833333333,1.7219470060219733,7.582886640837572,-2.0108899039371604
2010-02-01,2010-02-01,2010,2,434962,433694.46294168715,433998.5416666666,0.8231762700870116,7.437217733709245,-2.0663134067669695
2010-03-01,2010-03-01,2010,3,437062,430740.55408752046,437669.62499999994,-0.6811036585827601,7.379762801650136,-2.0332653166127486
2010-04-01,2010-04-01,2010,4,443594,440293.0957541871,441267.91666666657,2.2177019498205164,9.743742081888861,0.4216922313804172
2010-05-01,2010-05-01,2010,5,443160,445301.5619000204,444876.54166666657,1.1375300212814299,10.04921523274076,0.8188522119297534
2010-06-01,2010-06-01,2010,6,446871,451014.2494000204,449339.74999999994,1.2828806338843757,10.623439057238082,1.4857014906713175
2010-07-01,2010-07-01,2010,7,449224,454229.82966962823,454357.83333333326,0.7129664470436392,10.445696936852777,1.401747193376762
2010-08-01,2010-08-01,2010,8,454615,459873.93506178516,459130.45833333326,1.242565992696254,10.807940604763555,1.8591533337784316
2010-09-01,2010-09-01,2010,9,455859,461836.71202256944,464184.8333333333,0.42680761207321005,10.332650818637589,1.4806021341465634
2010-10-01,2010-10-01,2010,10,462256,463047.5723166871,469335.0833333333,0.2621836381986098,10.265286446377386,1.5117395816677952
2010-11-01,2010-11-01,2010,11,470556,467210.5749208538,474357.9583333333,0.8990442565844026,10.266181660986074,1.6130755442302025
2010-12-01,2010-12-01,2010,12,493861,486489.9108583538,479324.1666666667,4.126476790634714,15.044271886223637,6.493709475821452
2011-01-01,2011-01-01,2011,1,488682,486969.54106668715,484195.6666666667,0.09858995996179232,13.2083069359626,4.7625427739712
2011-02-01,2011-02-01,2011,2,492689,491421.46294168715,489061.625,0.9142095140587836,13.310522714181339,4.971912820531953
2011-03-01,2011-03-01,2011,3,500640,494318.55408752046,494016.3333333333,0.5895328886311058,14.760161168173136,6.531126292655895
2011-04-01,2011-04-01,2011,4,503622,500321.0957541871,499036.3333333333,1.214306365203499,13.633645537224881,5.516632795963963
2011-05-01,2011-05-01,2011,5,503681,505822.5619000204,504111.625,1.0995870836788102,13.591014534457946,5.588447015418579
2011-06-01,2011-06-01,2011,6,505539,509682.2494000204,508614.7916666666,0.7630516688504008,13.008014730808481,5.1222489271858676
2011-07-01,2011-07-01,2011,7,507472,512477.82966962823,511699.95833333326,0.5484947284114083,12.823464289512888,5.0567469789990565
2011-08-01,2011-08-01,2011,8,513150,518408.93506178516,513991.83333333326,1.1573389225403963,12.728488295849093,5.0829170171072295
2011-09-01,2011-09-01,2011,9,516237,522214.71202256944,516241.20833333326,0.7341264209365317,13.073451812780391,5.55093584733543
2011-10-01,2011-10-01,2011,10,522358,523149.5723166871,518436.7083333332,0.17901837550629018,12.979659886629346,5.581881038829263
2011-11-01,2011-11-01,2011,11,532261,528915.5749208537,520622.74999999994,1.1021709486701337,13.20710688332618,5.93547664904687
2011-12-01,2011-12-01,2011,12,540232,532860.9108583538,522833.2916666665,0.7459292417491215,9.531749572809002,2.3873660693845373
2012-01-01,2012-01-01,2012,1,516355,514642.54106668715,524642.3333333333,-3.418972835203804,5.6826962810411885,-1.3337015511671177
2012-02-01,2012-02-01,2012,2,520021,518753.46294168715,526147.0,0.7987916946157192,5.561824637529766,-1.3262261811083125
2012-03-01,2012-03-01,2012,3,527293,520971.55408752046,527575.5416666666,0.42758098100303954,5.391867203770984,-1.3678425660430156
2012-04-01,2012-04-01,2012,4,529661,526360.0957541871,528781.7916666667,1.0343255067168933,5.204457741432766,-1.4272740181768073
2012-05-01,2012-05-01,2012,5,530107,532248.5619000205,529063.2083333334,1.118714392168374,5.224361661673638,-1.2801016458838879
2012-06-01,2012-06-01,2012,6,532166,536309.2494000205,528183.0,0.7629306663608837,5.224235301767788,-1.1540046185059856
2012-07-01,2012-07-01,2012,7,524262,529267.8296696283,528728.5,-1.312940199757795,3.276239288404703,-2.9771479386420197
2012-08-01,2012-08-01,2012,8,532472,537730.9350617852,530789.0,1.599021311656057,3.727173413339635,-2.403048539468525
2012-09-01,2012-09-01,2012,9,531200,537177.7120225694,532902.0833333334,-0.1028810141176284,2.8652965256469543,-3.1437413250224022
2012-10-01,2012-10-01,2012,10,536345,537136.5723166871,535179.75,-0.007658490842332721,2.673613960546839,-3.216496171153545
2012-11-01,2012-11-01,2012,11,525028,521682.5749208538,537239.625,-2.8771076467907886,-1.367515033203981,-7.141204782911983
2012-12-01,2012-12-01,2012,12,526340,518968.9108583538,539094.6666666667,-0.5201753313136215,-2.607059312649196,-8.267062152504876
2013-01-01,2013-01-01,2013,1,543339,541626.5410666871,540939.3333333334,4.365893550513178,5.2432509648485,-0.3059694705696243
2013-02-01,2013-02-01,2013,2,542489,541221.4629416871,543004.9583333334,-0.07478919408236973,4.331151810070044,-1.110297970540186
2013-03-01,2013-03-01,2013,3,555539,549217.5540875205,544240.875,1.4774157518388842,5.42179314367226,0.08499738490090536
2013-04-01,2013-04-01,2013,4,556079,552778.0957541871,544447.4166666666,0.6482934932009243,5.018997491089694,-0.2163571950371912
2013-05-01,2013-05-01,2013,5,553126,555267.5619000205,545400.9583333334,0.45035542561375763,4.3248590316198765,-0.8123645031263553
2013-06-01,2013-06-01,2013,6,553668,557811.2494000205,547100.2083333333,0.4581012244432081,4.009253993671513,-1.0332436136044807
2013-07-01,2013-07-01,2013,7,547032,552037.8296696283,547791.6666666667,-1.0350131404847085,4.302169662231914,-0.6490962758862322
2013-08-01,2013-08-01,2013,8,559277,564535.9350617852,547539.7083333334,2.2639943714793054,4.984835026632806,0.12122543751689108
2013-09-01,2013-09-01,2013,9,534057,540034.7120225694,547172.8333333334,-4.340064381647246,0.5318537861972894,-4.247750827456321
2013-10-01,2013-10-01,2013,10,538445,539236.5723166871,546659.625,-0.14779414880444763,0.3909620212495746,-4.30836597924743
2013-11-01,2013-11-01,2013,11,545813,542467.5749208537,546228.9166666665,0.5991809105761359,3.9842235488032784,-0.6386004137534407
2013-12-01,2013-12-01,2013,12,546337,538965.9108583538,545806.1666666666,-0.6455066117105335,3.8532173279755444,-0.6968861412031808
2014-01-01,2014-01-01,2014,1,539937,538224.5410666871,546765.9166666666,-0.13755411552579533,-0.6281080674702677,-5.109280629706928
2014-02-01,2014-02-01,2014,2,539844,538576.4629416871,548762.0416666666,0.06538569837462038,-0.48870936965871303,-4.904741276055001
2014-03-01,2014-03-01,2014,3,549379,543057.5540875205,551356.0833333333,0.8320250612805946,-1.1215956143707628,-5.476238357232479
2014-04-01,2014-04-01,2014,4,549922,546621.0957541871,555080.75,0.6561996311154061,-1.113828505016945,-5.410756972628109
