date,Wage_Date,year,month,Count_Workers,Count_Workers_sa,Count_Workers_trend,Count_Workers_sa_cycle
2008-01-01,2008-01-01,2008,1,340166,338453.54106668715,,-26273.34538862796
2008-02-01,2008-02-01,2008,2,354984,353716.46294168715,,-14193.345592213504
2008-03-01,2008-03-01,2008,3,367404,361082.55408752046,,-10009.973798535182
2008-04-01,2008-04-01,2008,4,366631,363330.0957541871,,-10944.636514606944
2008-05-01,2008-05-01,2008,5,366165,368306.5619000204,,-9149.470301657158
2008-06-01,2008-06-01,2008,6,369359,373502.2494000204,,-7133.7043548915535
2008-07-01,2008-07-01,2008,7,397086,402091.82966962823,383244.62499999994,18277.877268689626
2008-08-01,2008-08-01,2008,8,390930,396188.93506178516,387883.6666666666,9199.506493601366
2008-09-01,2008-09-01,2008,9,394180,400157.71202256944,391634.12499999994,9995.788304492016
2008-10-01,2008-10-01,2008,10,408345,409136.5723166871,394881.0416666666,15805.522020791192
2008-11-01,2008-11-01,2008,11,406801,403455.5749208538,397972.8333333333,6959.077045942249
2008-12-01,2008-12-01,2008,12,406194,398822.9108583538,400911.6666666667,-835.1671262312448
2009-01-01,2009-01-01,2009,1,401547,399834.54106668715,402719.0833333334,-2981.114784272213
2009-02-01,2009-02-01,2009,2,404940,403672.46294168715,403886.0833333333,-2296.6273141997517
2009-03-01,2009-03-01,2009,3,407459,401137.55408752046,405438.5,-7980.662891270418
2009-04-01,2009-04-01,2009,4,404502,401201.0957541871,406656.4583333333,-11061.758324017923
2009-05-01,2009-05-01,2009,5,402497,404638.5619000204,407950.5833333333,-10764.19613345334
2009-06-01,2009-06-01,2009,6,403559,407702.2494000204,409796.625,-10835.35057084792
2009-07-01,2009-07-01,2009,7,406264,411269.82966962823,412061.9583333333,-10397.138289962488
2009-08-01,2009-08-01,2009,8,409760,415018.93506178516,414576.1666666666,-9771.431400957925
2009-09-01,2009-09-01,2009,9,412608,418585.71202256944,417060.5416666666,-9321.507696025656
2009-10-01,2009-10-01,2009,10,419148,419939.5723166871,419922.8333333332,-11077.304251882015
2009-11-01,2009-11-01,2009,11,427057,423711.5749208538,423245.95833333326,-10407.039008020132
