index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Real_Avg_Wage,year,month,Real_Avg_Wage_sa,Real_Avg_Wage_trend,Real_Wage_Growth_SA,Real_Wage_Growth_SA_Annual,Real_Wage_Growth_SA_Annual_cycle
0,2008-01-01,2008-01-01,1,"Agriculture, forestry and fishing",582431.11,2008,1,589207.9417095588,,,,
1,2008-02-01,2008-02-01,1,"Agriculture, forestry and fishing",606224.15,2008,2,615451.1083762255,,4.45397368381073,,
2,2008-03-01,2008-03-01,1,"Agriculture, forestry and fishing",608352.9,2008,3,609225.9262668506,,-1.0114828009326504,,
3,2008-04-01,2008-04-01,1,"Agriculture, forestry and fishing",606779.55,2008,4,614950.0590012255,,0.9395747107236119,,
4,2008-05-01,2008-05-01,1,"Agriculture, forestry and fishing",612776.47,2008,5,615871.1119439338,,0.14977686874348972,,
5,2008-06-01,2008-06-01,1,"Agriculture, forestry and fishing",602629.06,2008,6,619495.1257460172,,0.5884370498633329,,
6,2008-07-01,2008-07-01,1,"Agriculture, forestry and fishing",565398.13,2008,7,567456.0539935662,576634.8091666667,-8.400239096277595,,
7,2008-08-01,2008-08-01,1,"Agriculture, forestry and fishing",540975.0,2008,8,540948.9456112132,573743.1583333333,-4.671217831901664,,
8,2008-09-01,2008-09-01,1,"Agriculture, forestry and fishing",558716.92,2008,9,528588.194410233,569996.0162500001,-2.2850125323775172,,
9,2008-10-01,2008-10-01,1,"Agriculture, forestry and fishing",543533.43,2008,10,555946.8103553923,566137.52,5.175790196314245,,
10,2008-11-01,2008-11-01,1,"Agriculture, forestry and fishing",532252.66,2008,11,542207.9447564338,562025.8716666667,-2.4712554048427426,,
11,2008-12-01,2008-12-01,1,"Agriculture, forestry and fishing",571617.21,2008,12,532337.3678293504,557774.6000000001,-1.8204412204836706,,
12,2009-01-01,2009-01-01,1,"Agriculture, forestry and fishing",558293.35,2009,1,565070.1817095588,555318.6433333333,6.1488852480296785,-4.096645393129872,-4.029767727704977
13,2009-02-01,2009-02-01,1,"Agriculture, forestry and fishing",560962.29,2009,2,570189.2483762255,555821.6991666666,0.9059169696725933,-7.3542576142915035,-7.514122985760434
14,2009-03-01,2009-03-01,1,"Agriculture, forestry and fishing",563683.35,2009,3,564556.3762668505,557336.5454166665,-0.987895181365861,-7.332181391839532,-7.7187587063155
15,2009-04-01,2009-04-01,1,"Agriculture, forestry and fishing",558845.19,2009,4,567015.6990012254,558477.4141666667,0.43562039820315146,-7.794837856890846,-8.40800694725625
16,2009-05-01,2009-05-01,1,"Agriculture, forestry and fishing",562031.27,2009,5,565125.9119439338,559866.9587499999,-0.33328654931783497,-8.239581142201647,-9.07907320978472
17,2009-06-01,2009-06-01,1,"Agriculture, forestry and fishing",551343.74,2009,6,568209.8057460171,561586.8183333334,0.5457003009250228,-8.278567153896576,-9.343899891874573
18,2009-07-01,2009-07-01,1,"Agriculture, forestry and fishing",557740.49,2009,7,559798.4139935662,562979.2270833333,-1.4803320300689649,-1.349468376644869,-2.6398759154668245
19,2009-08-01,2009-08-01,1,"Agriculture, forestry and fishing",560705.98,2009,8,560679.9256112132,563906.8949999999,0.15746947394124078,3.647475452180826,2.133114642787083
20,2009-09-01,2009-09-01,1,"Agriculture, forestry and fishing",575342.25,2009,9,545213.5244102329,564976.47125,-2.758508106763402,3.1452329385731836,1.4084164190139605
21,2009-10-01,2009-10-01,1,"Agriculture, forestry and fishing",554288.95,2009,10,566702.3303553922,566672.0416666667,3.941355997799967,1.934631119319552,-0.02278397908262919
22,2009-11-01,2009-11-01,1,"Agriculture, forestry and fishing",554846.21,2009,11,564801.4947564338,568271.2625000002,-0.33542046629071454,4.166952959375991,1.9911451169589478
23,2009-12-01,2009-12-01,1,"Agriculture, forestry and fishing",590300.29,2009,12,551020.4478293505,569834.9766666667,-2.4399806046947914,3.50963150984156,1.1179856375456318
24,2010-01-01,2010-01-01,1,"Agriculture, forestry and fishing",573028.08,2010,1,579804.9117095588,571419.4895833335,5.223846772583429,2.6075929109233176,0.0029972384183136747
25,2010-02-01,2010-02-01,1,"Agriculture, forestry and fishing",568491.59,2010,2,577718.5483762254,572818.14625,-0.359838851171812,1.320491402011137,-1.4938409519316926
26,2010-03-01,2010-03-01,1,"Agriculture, forestry and fishing",581823.88,2010,3,582696.9062668505,574841.6716666666,0.8617272034310952,3.2132362262835334,0.1927051756487308
27,2010-04-01,2010-04-01,1,"Agriculture, forestry and fishing",581398.35,2010,4,589568.8590012254,577187.6683333333,1.1793357164707308,3.97751950073455,0.7546641306787851
28,2010-05-01,2010-05-01,1,"Agriculture, forestry and fishing",577859.41,2010,5,580954.0519439338,579521.9099999999,-1.4612045608863644,2.8008165376020244,-0.6201538690011863
29,2010-06-01,2010-06-01,1,"Agriculture, forestry and fishing",573044.74,2010,6,589910.8057460171,583125.365,1.5417318757160015,3.8191878740121643,0.2046407963118302
30,2010-07-01,2010-07-01,1,"Agriculture, forestry and fishing",574067.8,2010,7,576125.7239935662,587549.7708333334,-2.336807805210128,2.9166409893022216,-0.8866105263302284
31,2010-08-01,2010-08-01,1,"Agriculture, forestry and fishing",577946.43,2010,8,577920.3756112133,591814.9983333334,0.31150346927870665,3.0749183647347023,-0.9118330669686614
32,2010-09-01,2010-09-01,1,"Agriculture, forestry and fishing",606666.41,2010,9,576537.6844102329,596425.4541666666,-0.23925289007469264,5.745301353975751,1.5805936578894748
33,2010-10-01,2010-10-01,1,"Agriculture, forestry and fishing",579268.71,2010,10,591682.0903553922,600836.2545833333,2.626785092227091,4.407915524951989,0.07114138174657025
34,2010-11-01,2010-11-01,1,"Agriculture, forestry and fishing",585888.25,2010,11,595843.5347564338,604976.3508333333,0.7033243812639478,5.496097352466589,0.9934805490428555
