index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Real_Avg_Wage,year,month,Real_Avg_Wage_sa,Real_Avg_Wage_trend,Real_Avg_Wage_sa_cycle
0,2008-01-01,2008-01-01,1,"Agriculture, forestry and fishing",582431.11,2008,1,589207.9417095588,,43111.78396520775
1,2008-02-01,2008-02-01,1,"Agriculture, forestry and fishing",606224.15,2008,2,615451.1083762255,,67399.44042667013
2,2008-03-01,2008-03-01,1,"Agriculture, forestry and fishing",608352.9,2008,3,609225.9262668506,,59218.41545943695
3,2008-04-01,2008-04-01,1,"Agriculture, forestry and fishing",606779.55,2008,4,614950.0590012255,,62985.51997323509
4,2008-05-01,2008-05-01,1,"Agriculture, forestry and fishing",612776.47,2008,5,615871.1119439338,,61947.04969036544
5,2008-06-01,2008-06-01,1,"Agriculture, forestry and fishing",602629.06,2008,6,619495.1257460172,,63607.24962020491
6,2008-07-01,2008-07-01,1,"Agriculture, forestry and fishing",565398.13,2008,7,567456.0539935662,576634.8091666667,9597.7997206843
7,2008-08-01,2008-08-01,1,"Agriculture, forestry and fishing",540975.0,2008,8,540948.9456112132,573743.1583333333,-18889.01550840307
8,2008-09-01,2008-09-01,1,"Agriculture, forestry and fishing",558716.92,2008,9,528588.194410233,569996.0162500001,-33241.64073771797
9,2008-10-01,2008-10-01,1,"Agriculture, forestry and fishing",543533.43,2008,10,555946.8103553923,566137.52,-7889.758735852782
10,2008-11-01,2008-11-01,1,"Agriculture, forestry and fishing",532252.66,2008,11,542207.9447564338,562025.8716666667,-23652.654432282434
11,2008-12-01,2008-12-01,1,"Agriculture, forestry and fishing",571617.21,2008,12,532337.3678293504,557774.6000000001,-35566.93297246343
12,2009-01-01,2009-01-01,1,"Agriculture, forestry and fishing",558293.35,2009,1,565070.1817095588,555318.6433333333,-4899.685077378759
13,2009-02-01,2009-02-01,1,"Agriculture, forestry and fishing",560962.29,2009,2,570189.2483762255,555821.6991666666,-1869.9671880507376
14,2009-03-01,2009-03-01,1,"Agriculture, forestry and fishing",563683.35,2009,3,564556.3762668505,557336.5454166665,-9617.851480956073
15,2009-04-01,2009-04-01,1,"Agriculture, forestry and fishing",558845.19,2009,4,567015.6990012254,558477.4141666667,-9301.070521520684
16,2009-05-01,2009-05-01,1,"Agriculture, forestry and fishing",562031.27,2009,5,565125.9119439338,559866.9587499999,-13362.720918561681
17,2009-06-01,2009-06-01,1,"Agriculture, forestry and fishing",551343.74,2009,6,568209.8057460171,561586.8183333334,-12481.732226918568
18,2009-07-01,2009-07-01,1,"Agriculture, forestry and fishing",557740.49,2009,7,559798.4139935662,562979.2270833333,-23128.687958967057
19,2009-08-01,2009-08-01,1,"Agriculture, forestry and fishing",560705.98,2009,8,560679.9256112132,563906.8949999999,-24516.919978879276
20,2009-09-01,2009-09-01,1,"Agriculture, forestry and fishing",575342.25,2009,9,545213.5244102329,564976.47125,-42288.586802086444
21,2009-10-01,2009-10-01,1,"Agriculture, forestry and fishing",554288.95,2009,10,566702.3303553922,566672.0416666667,-23141.72161676234
22,2009-11-01,2009-11-01,1,"Agriculture, forestry and fishing",554846.21,2009,11,564801.4947564338,568271.2625000002,-27421.999965280876
23,2009-12-01,2009-12-01,1,"Agriculture, forestry and fishing",590300.29,2009,12,551020.4478293505,569834.9766666667,-43620.63992109895
24,2010-01-01,2010-01-01,1,"Agriculture, forestry and fishing",573028.08,2010,1,579804.9117095588,571419.4895833335,-17292.356048743706
25,2010-02-01,2010-02-01,1,"Agriculture, forestry and fishing",568491.59,2010,2,577718.5483762254,572818.14625,-21873.586489980808
26,2010-03-01,2010-03-01,1,"Agriculture, forestry and fishing",581823.88,2010,3,582696.9062668505,574841.6716666666,-19428.74949956895
27,2010-04-01,2010-04-01,1,"Agriculture, forestry and fishing",581398.35,2010,4,589568.8590012254,577187.6683333333,-15128.769372302573
