Wage_Date,"Agriculture, forestry and fishing",Business services,Construction,"Electricity, gas, water and waste management",Financial intermediation,Manufacturing,Mining,Personal services,Public administration,Real estate and housing services,"Transport, communications and information services",Wholesale and retail trade; accommodation and food services
2006-01-01,53998,60762,68016,2727,14851,44899,4883,55624,5779,4055,35593,85662
2006-02-01,54204,62380,67791,2790,14891,45657,5062,54644,5793,4032,36347,86879
2006-03-01,51207,64068,68857,2845,15147,47557,5160,58503,5503,4007,37025,91104
2006-04-01,45354,64928,68378,2859,15117,48097,5232,59832,5446,4055,36841,91322
2006-05-01,38908,64802,69246,2907,15197,47273,5376,59138,5307,3975,37039,90501
2006-06-01,37841,65477,68594,2873,15495,47037,5426,59694,5478,3992,37004,90782
2006-07-01,39166,66740,68735,2812,16261,47864,5466,60866,5458,4571,37698,91790
2006-08-01,40252,68256,70021,2854,16139,48324,5533,62371,5633,4119,38249,92477
2006-09-01,39508,68712,68452,2863,16204,48341,5556,62681,5676,4207,38628,93013
2006-10-01,47207,70845,71147,2894,16632,50022,5642,64568,5793,4296,39570,95506
2006-11-01,53775,73407,71448,2994,17015,51099,5786,65854,5695,4479,40994,98824
2006-12-01,56420,75605,69251,3035,17286,51743,5932,66071,5898,4510,41833,102651
2007-01-01,59119,75826,70927,3203,18234,53515,6028,66647,5647,4780,43369,100503
2007-02-01,58771,75268,70909,3324,18330,55173,6224,64843,5684,4721,44594,101879
2007-03-01,55052,76412,72669,3414,18792,58006,6291,69758,5791,4802,45981,106289
2007-04-01,48071,76678,72775,3392,18985,58761,6506,71540,5497,4954,45958,106131
2007-05-01,43109,75858,73134,3401,18883,57465,6540,71201,5585,4867,46260,105807
2007-06-01,42579,75871,73336,3490,18716,57372,6555,72092,5721,4905,46487,105982
2007-07-01,43679,76249,74022,3564,18914,57851,6668,72967,5792,4900,46786,106693
2007-08-01,43510,77477,76050,3688,19371,58445,6794,74470,5866,4949,47358,107666
2007-09-01,41956,77213,74616,3677,22296,57705,6919,75403,6534,4962,47286,107503
2007-10-01,49368,79285,78281,3699,23675,59750,7090,77246,6772,5047,48060,109620
2007-11-01,57971,81587,79415,3719,24173,61233,7221,77947,6869,5152,49249,113381
2007-12-01,62393,83843,77921,3664,23739,61617,7382,78165,7046,5225,50538,117763
2008-01-01,64398,83948,78881,3843,24539,62461,7562,76593,6815,5322,51655,115211
2008-02-01,64088,84825,79119,3879,24471,62719,7847,75932,6697,5326,52102,115553
2008-03-01,59966,85470,79478,3910,25028,65303,8020,80070,6743,5366,52610,118547
2008-04-01,53760,85738,80909,4005,24567,65931,8156,82205,6928,5578,52477,119347
2008-05-01,45661,83984,79639,3938,24778,63782,8364,80583,7087,5376,52158,118197
2008-06-01,45928,83931,80436,4035,24808,64868,8483,82635,7163,5505,52523,119350
2008-07-01,46872,85043,81979,4168,25638,64240,8630,82533,7217,5442,52948,118857
2008-08-01,45795,85963,82720,4285,25595,64057,8782,83206,7348,5275,53390,119277
2008-09-01,44880,86013,82521,4319,24921,64136,8900,83163,7268,5204,53635,119799
2008-10-01,52127,87662,84575,4383,25670,65422,9089,84338,7348,5242,54440,121730
2008-11-01,61028,88120,83471,4414,25275,65300,9058,84669,7593,5257,54973,123855
2008-12-01,65267,89277,79244,4426,25493,65574,8793,84396,7622,5128,55800,126749
2009-01-01,65440,87476,77475,4557,25188,65945,8624,82320,7495,5357,56244,124607
2009-02-01,64492,87588,76033,4899,24039,65728,8508,81290,7415,5485,56886,124397
2009-03-01,58784,87412,75626,4636,25843,66046,8409,85340,7684,5506,56153,124660
2009-04-01,49690,87004,74287,4694,25636,65880,8444,86953,7957,5614,55503,123361
2009-05-01,43006,84093,73922,4719,24357,63279,8447,85980,8496,5470,55137,122240
2009-06-01,43637,84644,73134,4725,25510,63029,8438,86605,8945,5509,55103,122627
2009-07-01,44960,87190,73451,4774,27599,62927,8473,88028,9295,5544,55420,121534
2009-08-01,44461,87003,73479,4896,28627,63017,8578,89654,10110,5537,55861,122175
2009-09-01,43405,87059,74298,4939,25314,62988,8730,90138,9862,5502,56157,122704
2009-10-01,49369,89115,77035,4943,25100,64460,8896,91711,9989,5615,56539,123701
2009-11-01,56987,91471,78679,4996,25041,65403,9016,92654,10021,5666,57058,126330
