MIP_sector_id,vol_emp_sector_sa,vol_nominal_wage_sector_sa,vol_real_wage_sector_sa
1,3471.068257981793,231575.8379322773,150994.24440683174
2,2497.230090092636,572016.889320003,404218.9105654827
3,8484.730648417551,287298.26570784906,179170.46273686946
4,2110.945380656065,319805.4713179044,192637.34744385543
5,8915.891150336567,236080.1322651386,130149.18306438146
6,26246.53392999952,241288.5377583376,147071.66639921803
7,10937.21841878979,287386.13446494093,173226.87418541615
8,4257.142347034904,449660.2650838686,308639.9612928902
9,638.3375301151178,310592.625196946,213799.27687981384
10,19458.057118744942,256948.83281006367,153616.42035152004
11,22811.54312184159,254615.6725533983,151946.55587754244
12,3048.8975392788825,198857.4516826353,116687.05200930397
