MIP_sector_name,n_obs,correlation_with_PIB,n_obs_real_wage,real_wage_corr_with_PIB
Business services,207.0,0.9117664506631401,,
Personal services,207.0,0.9089315481971165,,
"Wholesale and retail trade, accommodation and food services",207.0,0.9050355196187336,,
"Transport, communications and information services",207.0,0.8993465168304499,,
"Electricity, gas, water and waste management",207.0,0.8868409181263661,,
Public administration,207.0,0.8689610617830401,,
Manufacturing,207.0,0.8624727291886582,,
Construction,207.0,0.8142416422098393,,
Real estate and housing services,207.0,0.8115576524519712,,
Financial intermediation,207.0,0.7797030966962202,,
Mining,207.0,0.6951726544154331,,
"Agriculture, forestry and fishing",207.0,0.6102625316946237,,
"Agriculture, forestry and fishing",,,0.0,
Business services,,,0.0,
Construction,,,0.0,
"Electricity, gas, water and waste management",,,0.0,
Financial intermediation,,,0.0,
Manufacturing,,,0.0,
Mining,,,0.0,
Personal services,,,0.0,
Public administration,,,0.0,
Real estate and housing services,,,0.0,
"Transport, communications and information services",,,0.0,
"Wholesale and retail trade, accommodation and food services",,,0.0,
