MIP_sector_name,n_obs,correlation_with_PIB,n_obs_wage,wage_corr_with_PIB
"Wholesale and retail trade, accommodation and food services",207.0,0.9546697110297707,,
"Transport, communications and information services",207.0,0.9531185078535859,,
Real estate and housing services,207.0,0.9138174515695235,,
Manufacturing,207.0,0.9087291789553474,,
Business services,207.0,0.8969208835440537,,
Public administration,207.0,0.8966158563374435,,
Financial intermediation,207.0,0.8958572405515671,,
"Electricity, gas, water and waste management",207.0,0.8906631968877626,,
Personal services,207.0,0.7143746989054782,,
Construction,207.0,0.7088035080739303,,
"Agriculture, forestry and fishing",207.0,0.29046020848009585,,
Mining,207.0,0.06261111477210271,,
"Agriculture, forestry and fishing",,,0.0,
Business services,,,0.0,
Construction,,,0.0,
"Electricity, gas, water and waste management",,,0.0,
Financial intermediation,,,0.0,
Manufacturing,,,0.0,
Mining,,,0.0,
Personal services,,,0.0,
Public administration,,,0.0,
Real estate and housing services,,,0.0,
"Transport, communications and information services",,,0.0,
"Wholesale and retail trade, accommodation and food services",,,0.0,
