MIP_sector_name,n_obs_real_wage,real_wage_corr_with_PIB
"Agriculture, forestry and fishing",,
"Agriculture, forestry and fishing",0.0,
Business services,,
Business services,0.0,
Construction,,
Construction,0.0,
"Electricity, gas, water and waste management",,
"Electricity, gas, water and waste management",0.0,
Financial intermediation,,
Financial intermediation,0.0,
Manufacturing,,
Manufacturing,0.0,
Mining,,
Mining,0.0,
Personal services,,
Personal services,0.0,
Public administration,,
Public administration,0.0,
Real estate and housing services,,
Real estate and housing services,0.0,
"Transport, communications and information services",,
"Transport, communications and information services",0.0,
"Wholesale and retail trade, accommodation and food services",,
"Wholesale and retail trade, accommodation and food services",0.0,
