Volatility;Sector;Abbrev;Value
Volatilidad Crecimiento Empleo (SA);Agregada;;1.70684915
Volatilidad Crecimiento Empleo (SA);Agriculture, forestry and fishing;Agr;3.321222622
Volatilidad Crecimiento Empleo (SA);Business services;BusSvc;1.535896426
Volatilidad Crecimiento Empleo (SA);Construction;Constr;1.918150145
Volatilidad Crecimiento Empleo (SA);Electricity, gas, water and waste management;Elec;2.347686712
Volatilidad Crecimiento Empleo (SA);Financial intermediation;Fin;3.705991681
Volatilidad Crecimiento Empleo (SA);Manufacturing;Man;1.391728414
Volatilidad Crecimiento Empleo (SA);Mining;Min;6.997928738
Volatilidad Crecimiento Empleo (SA);Personal services;Pers;1.487153999
Volatilidad Crecimiento Empleo (SA);Public administration;PubAdm;3.323119302
Volatilidad Crecimiento Empleo (SA);Real estate and housing services;RealEst;2.042305343
Volatilidad Crecimiento Empleo (SA);Transport, communications and information services;Transp;1.986751275
Volatilidad Crecimiento Empleo (SA);Wholesale and retail trade, accommodation and food services;Trade;2.086300482
Volatilidad Crecimiento Salario Nominal (SA);Agregada;;2.910074221
Volatilidad Crecimiento Salario Nominal (SA);Agriculture, forestry and fishing;Agr;2.786659882
Volatilidad Crecimiento Salario Nominal (SA);Business services;BusSvc;2.947459078
Volatilidad Crecimiento Salario Nominal (SA);Construction;Constr;1.904357863
Volatilidad Crecimiento Salario Nominal (SA);Electricity, gas, water and waste management;Elec;4.386304078
Volatilidad Crecimiento Salario Nominal (SA);Financial intermediation;Fin;5.041887169
Volatilidad Crecimiento Salario Nominal (SA);Manufacturing;Man;2.853327044
Volatilidad Crecimiento Salario Nominal (SA);Mining;Min;6.206002447
Volatilidad Crecimiento Salario Nominal (SA);Personal services;Pers;2.141933427
Volatilidad Crecimiento Salario Nominal (SA);Public administration;PubAdm;2.616799513
Volatilidad Crecimiento Salario Nominal (SA);Real estate and housing services;RealEst;3.498868572
Volatilidad Crecimiento Salario Nominal (SA);Transport, communications and information services;Transp;2.862635038
Volatilidad Crecimiento Salario Nominal (SA);Wholesale and retail trade, accommodation and food services;Trade;2.83585125
Volatilidad Crecimiento Salario Real (SA);Agregada;;2.784363489
Volatilidad Crecimiento Salario Real (SA);Agriculture, forestry and fishing;Agr;2.488079177
Volatilidad Crecimiento Salario Real (SA);Business services;BusSvc;2.866163973
Volatilidad Crecimiento Salario Real (SA);Construction;Constr;1.839517222
Volatilidad Crecimiento Salario Real (SA);Electricity, gas, water and waste management;Elec;4.24185511
Volatilidad Crecimiento Salario Real (SA);Financial intermediation;Fin;4.866318682
Volatilidad Crecimiento Salario Real (SA);Manufacturing;Man;2.544576832
Volatilidad Crecimiento Salario Real (SA);Mining;Min;5.982981732
Volatilidad Crecimiento Salario Real (SA);Personal services;Pers;1.877959308
Volatilidad Crecimiento Salario Real (SA);Public administration;PubAdm;2.585426279
Volatilidad Crecimiento Salario Real (SA);Real estate and housing services;RealEst;3.412939797
Volatilidad Crecimiento Salario Real (SA);Transport, communications and information services;Transp;2.728596741
Volatilidad Crecimiento Salario Real (SA);Wholesale and retail trade, accommodation and food services;Trade;2.733054515
Volatilidad Empleo (SA);Agregada;;109138.9711
Volatilidad Empleo (SA);Agriculture, forestry and fishing;Agr;3471.068258
Volatilidad Empleo (SA);Business services;BusSvc;19458.05712
Volatilidad Empleo (SA);Construction;Constr;8915.89115
Volatilidad Empleo (SA);Electricity, gas, water and waste management;Elec;2110.945381
Volatilidad Empleo (SA);Financial intermediation;Fin;4257.142347
Volatilidad Empleo (SA);Manufacturing;Man;8484.730648
Volatilidad Empleo (SA);Mining;Min;2497.23009
Volatilidad Empleo (SA);Personal services;Pers;22811.54312
Volatilidad Empleo (SA);Public administration;PubAdm;3048.897539
Volatilidad Empleo (SA);Real estate and housing services;RealEst;638.3375301
Volatilidad Empleo (SA);Transport, communications and information services;Transp;10937.21842
Volatilidad Empleo (SA);Wholesale and retail trade, accommodation and food services;Trade;26246.53393
Volatilidad Salario Nominal (SA);Agregada;;268433.2383
Volatilidad Salario Nominal (SA);Agriculture, forestry and fishing;Agr;231575.8379
Volatilidad Salario Nominal (SA);Business services;BusSvc;256948.8328
Volatilidad Salario Nominal (SA);Construction;Constr;236080.1323
Volatilidad Salario Nominal (SA);Electricity, gas, water and waste management;Elec;319805.4713
Volatilidad Salario Nominal (SA);Financial intermediation;Fin;449660.2651
Volatilidad Salario Nominal (SA);Manufacturing;Man;287298.2657
Volatilidad Salario Nominal (SA);Mining;Min;572016.8893
Volatilidad Salario Nominal (SA);Personal services;Pers;254615.6726
Volatilidad Salario Nominal (SA);Public administration;PubAdm;198857.4517
Volatilidad Salario Nominal (SA);Real estate and housing services;RealEst;310592.6252
Volatilidad Salario Nominal (SA);Transport, communications and information services;Transp;287386.1345
Volatilidad Salario Nominal (SA);Wholesale and retail trade, accommodation and food services;Trade;241288.5378
Volatilidad Salario Real (SA);Agregada;;164334.1385
Volatilidad Salario Real (SA);Agriculture, forestry and fishing;Agr;150994.2444
Volatilidad Salario Real (SA);Business services;BusSvc;153616.4204
Volatilidad Salario Real (SA);Construction;Constr;130149.1831
Volatilidad Salario Real (SA);Electricity, gas, water and waste management;Elec;192637.3474
Volatilidad Salario Real (SA);Financial intermediation;Fin;308639.9613
Volatilidad Salario Real (SA);Manufacturing;Man;179170.4627
Volatilidad Salario Real (SA);Mining;Min;404218.9106
Volatilidad Salario Real (SA);Personal services;Pers;151946.5559
Volatilidad Salario Real (SA);Public administration;PubAdm;116687.052
Volatilidad Salario Real (SA);Real estate and housing services;RealEst;213799.2769
Volatilidad Salario Real (SA);Transport, communications and information services;Transp;173226.8742
Volatilidad Salario Real (SA);Wholesale and retail trade, accommodation and food services;Trade;147071.6664
