Wage_Date;State_From;From_Label;To_Not_Present;To_Agriculture, forestry and fishing;To_Mining;To_Manufacturing;To_Electricity, gas, water and waste management;To_Construction;To_Wholesale and retail trade;;;;;;
01-02-06;0;Not_Present;0.0;0.2006;0.0063;0.0867;0.0033;0.1844;0.1793;0.0663;0.0166;0.0068;0.1432;0.0937;0.0128
01-02-06;1;Agriculture, forestry and fishing;0.145;0.8241;0.0003;0.0039;0.0002;0.0062;0.0082;0.002;0.0009;0.0006;0.0041;0.004;0.0005
01-02-06;2;Mining;0.0323;0.0014;0.9565;0.0012;0.0;0.0033;0.0006;0.001;0.0;0.0006;0.0019;0.001;0.0
01-02-06;3;Manufacturing;0.0648;0.0034;0.0001;0.9131;0.0001;0.0062;0.004;0.0016;0.0002;0.0001;0.0043;0.0019;0.0002
01-02-06;4;Electricity, gas, water and waste management;0.0362;0.0007;0.0;0.0015;0.9501;0.0041;0.0015;0.0015;0.0;0.0;0.0033;0.0007;0.0004
01-02-06;5;Construction;0.1095;0.0044;0.0007;0.0032;0.0004;0.8643;0.0034;0.0016;0.0006;0.0006;0.0065;0.0042;0.0005
01-02-06;6;Wholesale and retail trade;;;;;;;;;;;;;
01-02-06;7;Transport, communications and information services;0.0566;0.0019;0.0004;0.0016;0.0001;0.0028;0.0034;0.9246;0.0009;0.0002;0.0044;0.0029;0.0003
01-02-06;8;Financial intermediation;0.048;0.004;0.0001;0.0033;0.0001;0.0023;0.0032;0.0012;0.9304;0.0003;0.0049;0.0021;0.0002
01-02-06;9;Real estate and housing services;0.068;0.0038;0.0005;0.002;0.0;0.0094;0.0025;0.0015;0.0015;0.9002;0.0061;0.0043;0.0003
01-02-06;10;Business services;0.071;0.0029;0.0004;0.003;0.0002;0.0069;0.0062;0.0023;0.0012;0.0003;0.9008;0.0046;0.0003
01-02-06;11;Personal services;0.0832;0.0072;0.0001;0.0018;0.0001;0.0043;0.0044;0.002;0.001;0.0002;0.0055;0.8898;0.0004
01-02-06;12;Public administration;0.0825;0.0022;0.0007;0.0025;0.0004;0.0083;0.0056;0.0022;0.0;0.0002;0.0036;0.0063;0.8856
01-03-06;0;Not_Present;0.0;0.1153;0.005;0.0975;0.0031;0.1652;0.2143;0.0593;0.0175;0.0072;0.1242;0.1788;0.0127
01-03-06;1;Agriculture, forestry and fishing;0.1448;0.8201;0.0002;0.0055;0.0001;0.0063;0.0079;0.002;0.0014;0.0003;0.0066;0.0044;0.0002
01-03-06;2;Mining;0.0361;0.0016;0.9477;0.0004;0.0002;0.0052;0.0034;0.0008;0.0004;0.0004;0.0024;0.0014;0.0
01-03-06;3;Manufacturing;0.0673;0.0036;0.0002;0.9083;0.0002;0.0058;0.0051;0.0016;0.0003;0.0001;0.0043;0.003;0.0002
01-03-06;4;Electricity, gas, water and waste management;0.0426;0.0014;0.0004;0.0011;0.9397;0.0058;0.0014;0.0014;0.0007;0.0;0.0025;0.0025;0.0004
01-03-06;5;Construction;0.1056;0.0034;0.0006;0.0047;0.0004;0.8683;0.0034;0.0021;0.0005;0.0003;0.0067;0.0035;0.0006
01-03-06;6;Wholesale and retail trade;;;;;;;;;;;;;
01-03-06;7;Transport, communications and information services;0.0597;0.0024;0.0004;0.0018;0.0001;0.0037;0.0027;0.921;0.0008;0.0001;0.0037;0.0034;0.0003
01-03-06;8;Financial intermediation;0.0473;0.0048;0.0001;0.0017;0.0001;0.0022;0.0026;0.0008;0.9301;0.0005;0.0059;0.0034;0.0003
01-03-06;9;Real estate and housing services;0.0832;0.0055;0.0;0.0023;0.0;0.0111;0.0045;0.0013;0.0048;0.8741;0.004;0.0088;0.0003
01-03-06;10;Business services;0.0783;0.0022;0.0003;0.0042;0.0001;0.0067;0.0072;0.0024;0.0015;0.0004;0.8906;0.0056;0.0005
01-03-06;11;Personal services;0.0916;0.0034;0.0001;0.0027;0.0001;0.0047;0.0052;0.0015;0.0008;0.0003;0.0076;0.8813;0.0007
01-03-06;12;Public administration;0.1585;0.0045;0.0005;0.0018;0.0004;0.0091;0.0052;0.0013;0.0004;0.0;0.008;0.0068;0.8036
01-04-06;0;Not_Present;0.0;0.1183;0.006;0.0965;0.004;0.1805;0.1858;0.0659;0.0197;0.0082;0.1602;0.1404;0.0144
01-04-06;1;Agriculture, forestry and fishing;0.195;0.7748;0.0002;0.0051;0.0001;0.0064;0.0061;0.0017;0.0009;0.0003;0.005;0.0038;0.0005
01-04-06;2;Mining;0.0403;0.0008;0.9477;0.0022;0.0;0.0022;0.0006;0.0014;0.0002;0.0002;0.0033;0.0012;0.0
01-04-06;3;Manufacturing;0.0727;0.0041;0.0001;0.9038;0.0001;0.0056;0.0041;0.0013;0.0004;0.0002;0.005;0.0022;0.0003
01-04-06;4;Electricity, gas, water and waste management;0.0469;0.0004;0.0007;0.0018;0.9307;0.0064;0.0018;0.0036;0.0;0.0;0.0039;0.0039;0.0
01-04-06;5;Construction;0.1095;0.0025;0.0007;0.0036;0.0002;0.8667;0.0031;0.0017;0.0005;0.0003;0.0066;0.0043;0.0004
01-04-06;6;Wholesale and retail trade;;;;;;;;;;;;;
01-04-06;7;Transport, communications and information services;0.0708;0.0022;0.0004;0.0019;0.0002;0.0034;0.0039;0.9095;0.0005;0.0001;0.0042;0.0026;0.0002
01-04-06;8;Financial intermediation;0.0523;0.0018;0.0001;0.002;0.0001;0.0026;0.0033;0.0021;0.9253;0.0006;0.0067;0.0031;0.0001
01-04-06;9;Real estate and housing services;0.0681;0.0018;0.0003;0.0036;0.0;0.0056;0.0056;0.0013;0.0013;0.9018;0.0064;0.0038;0.0005
01-04-06;10;Business services;0.0861;0.0035;0.0004;0.0033;0.0002;0.0086;0.0074;0.0027;0.0012;0.0004;0.8803;0.0054;0.0006
01-04-06;11;Personal services;0.0751;0.0025;0.0002;0.0021;0.0001;0.004;0.0038;0.0014;0.0012;0.0004;0.0076;0.9009;0.0008
01-04-06;12;Public administration;0.1118;0.0046;0.0;0.0038;0.0;0.0125;0.0042;0.0011;0.0;0.0002;0.0042;0.0084;0.8493
01-05-06;0;Not_Present;0.0;0.1179;0.0074;0.0861;0.005;0.2082;0.1757;0.0682;0.0229;0.0077;0.1576;0.1296;0.0137
01-05-06;1;Agriculture, forestry and fishing;0.217;0.7542;0.0003;0.0048;0.0002;0.0067;0.0065;0.0015;0.0008;0.0001;0.0044;0.0032;0.0003
01-05-06;2;Mining;0.0381;0.0019;0.9496;0.001;0.0;0.0035;0.0017;0.0015;0.0002;0.0002;0.0017;0.0006;0.0
01-05-06;3;Manufacturing;0.0753;0.002;0.0003;0.9047;0.0001;0.0056;0.004;0.0014;0.0004;0.0002;0.0045;0.0015;0.0001
01-05-06;4;Electricity, gas, water and waste management;0.0418;0.0;0.0004;0.0025;0.9408;0.0067;0.0021;0.0014;0.0;0.0;0.0025;0.0018;0.0
01-05-06;5;Construction;0.0962;0.0019;0.0008;0.0035;0.0002;0.8819;0.0031;0.0014;0.0005;0.0004;0.0066;0.0031;0.0004
01-05-06;6;Wholesale and retail trade;;;;;;;;;;;;;
01-05-06;7;Transport, communications and information services;0.0596;0.0013;0.0002;0.0017;0.0001;0.0039;0.0028;0.9234;0.0009;0.0001;0.0037;0.0022;0.0002
01-05-06;8;Financial intermediation;0.048;0.0024;0.0;0.0016;0.0;0.002;0.0048;0.002;0.9304;0.0003;0.0044;0.0038;0.0003
01-05-06;9;Real estate and housing services;0.0784;0.0023;0.0;0.002;0.0005;0.0048;0.0053;0.0015;0.0038;0.8916;0.0045;0.005;0.0003
01-05-06;10;Business services;0.0825;0.0021;0.0004;0.0032;0.0002;0.0073;0.0058;0.0027;0.0014;0.0003;0.8895;0.0044;0.0004
01-05-06;11;Personal services;0.0731;0.0026;0.0002;0.002;0.0001;0.0044;0.0043;0.0016;0.0011;0.0002;0.0071;0.9031;0.0003
01-05-06;12;Public administration;0.0848;0.0027;0.0;0.0025;0.0;0.0038;0.0035;0.0023;0.0004;0.0004;0.0052;0.0067;0.8877
01-06-06;0;Not_Present;0.0;0.1489;0.0061;0.082;0.0035;0.1939;0.1756;0.0653;0.0253;0.0082;0.1572;0.1193;0.0147
