State_From,Top1_To,Top1_Count,Top1_Share,Top2_To,Top2_Count,Top2_Share,Top3_To,Top3_Count,Top3_Share,Top4_To,Top4_Count,Top4_Share,Top5_To,Top5_Count,Top5_Share
"Agriculture, forestry and fishing","Agriculture, forestry and fishing",6407892,0.8911736027927248,Unemployment,732179,0.10182733999249277,"Wholesale and retail trade, accommodation and food services",10487,0.0014584730161630853,Construction,8965,0.0012468018108040488,Manufacturing,8912,0.001239430868698905
Business services,Business services,16896579,0.9244904424445631,Unemployment,1125459,0.06157909768972853,Construction,53058,0.0029030500135692337,"Wholesale and retail trade, accommodation and food services",50334,0.0027540073011231825,Personal services,40743,0.0022292390723896733
Construction,Construction,13056396,0.8894625590947377,Unemployment,1472904,0.10034108655565253,Business services,53898,0.003671783010417896,Manufacturing,24296,0.0016551567780087053,"Wholesale and retail trade, accommodation and food services",16633,0.0011331174962388375
"Electricity, gas, water and waste management","Electricity, gas, water and waste management",1283476,0.9490933345559255,Unemployment,56116,0.04149615696899694,Construction,3540,0.002617727487173875,Business services,3061,0.0022635208582596697,"Wholesale and retail trade, accommodation and food services",1155,0.0008540890530185948
Financial intermediation,Financial intermediation,4711217,0.9431135165303509,Unemployment,217075,0.043455091667572505,Business services,14693,0.0029413136559790064,"Wholesale and retail trade, accommodation and food services",12897,0.002581781952028942,Personal services,11697,0.0023415603235545112
Manufacturing,Manufacturing,12322835,0.9434147231779882,Unemployment,628217,0.048095196206936655,"Wholesale and retail trade, accommodation and food services",25386,0.0019435078180139885,Construction,25246,0.0019327896625534215,Business services,24203,0.001852939404372196
Mining,Mining,2027930,0.9220705290084853,Unemployment,157361,0.07154977761328264,Construction,3969,0.0018046470685056577,Business services,3884,0.0017659987941738408,Manufacturing,1297,0.000589727197745487
Personal services,Personal services,18982445,0.9546848645661242,Unemployment,779724,0.03921469027509136,Business services,38500,0.0019362820377351697,"Wholesale and retail trade, accommodation and food services",22875,0.0011504532886543377,Financial intermediation,12722,0.0006398280541316059
Public administration,Public administration,1982724,0.9583613075549975,Unemployment,74573,0.036045298179826754,Personal services,5213,0.0025197342122676688,Business services,1546,0.0007472681933945552,Construction,1362,0.0006583307111276742
Real estate and housing services,Real estate and housing services,993818,0.9393302690813955,Unemployment,48839,0.046161320293722066,Construction,3541,0.00334685876369438,"Wholesale and retail trade, accommodation and food services",2757,0.0026058428724951726,Business services,2730,0.002580323192568669
"Transport, communications and information services","Transport, communications and information services",11614864,0.9470727322866787,Unemployment,555029,0.04525690800411808,Business services,26803,0.002185509054904117,"Wholesale and retail trade, accommodation and food services",17209,0.001403217002792409,Construction,13741,0.0011204372616288277
Unemployment,Unemployment,69478152,0.9142823785965066,Construction,1374379,0.018085836554966057,"Wholesale and retail trade, accommodation and food services",1161551,0.015285173548386129,Business services,1049866,0.01381547948609226,Personal services,693071,0.009120314576246348
"Wholesale and retail trade, accommodation and food services","Wholesale and retail trade, accommodation and food services",24077484,0.94137557475655,Unemployment,1337178,0.05228065807464825,Business services,44587,0.0017432516101628516,Manufacturing,25418,0.0009937867411379856,Personal services,21739,0.0008499460998347103
