State_To,Total_Incoming,Share
Unemployment,76662806,0.38601961834379456
"Wholesale and retail trade, accommodation and food services",25401187,0.12790239521391059
Personal services,19792196,0.09965948736738879
Business services,18169060,0.09148652355440139
Construction,14583337,0.07343136100339111
Manufacturing,12995109,0.06543416916563176
"Transport, communications and information services",12221026,0.06153643518200456
"Agriculture, forestry and fishing",7125807,0.03588051940769739
Financial intermediation,4981385,0.02508272833795704
Mining,2199741,0.011076338391203642
Public administration,2061426,0.010379881969934352
"Electricity, gas, water and waste management",1352929,0.0068123926513497515
Real estate and housing services,1052203,0.005298149411335083
