State_From,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste management",Construction,"Wholesale and retail trade, accommodation and food services","Transport, communications and information services",Financial intermediation,Real estate and housing services,Business services,Personal services,Public administration,Unemployment
"Agriculture, forestry and fishing",6407892,503,8912,443,8965,10487,4476,2721,598,8710,4014,497,732179
Mining,278,2027930,1297,262,3969,1163,1214,1264,73,3884,578,49,157361
Manufacturing,8946,2443,12322835,1264,25246,25386,7512,6659,688,24203,8100,450,628217
"Electricity, gas, water and waste management",355,437,959,1283476,3540,1155,1057,981,82,3061,983,116,56116
Construction,7856,5875,24296,4325,13056396,16633,12506,7843,3907,53898,11251,1282,1472904
"Wholesale and retail trade, accommodation and food services",10210,2492,25418,1476,19713,24077484,18055,14574,2611,44587,21739,1379,1337178
"Transport, communications and information services",4290,1890,7750,1420,13741,17209,11614864,9773,858,26803,9846,489,555029
Financial intermediation,2570,1420,6387,754,6982,12897,7847,4711217,1449,14693,11697,399,217075
Real estate and housing services,444,194,726,102,3541,2757,836,1436,993818,2730,2516,68,48839
Business services,9164,7207,31556,4733,53058,50334,33227,19916,2945,16896579,40743,1719,1125459
Personal services,4162,1069,10571,1452,12445,22875,11221,12722,2075,38500,18982445,4206,779724
Public administration,488,78,463,153,1362,1256,503,454,56,1546,5213,1982724,74573
Unemployment,669152,148203,553939,53069,1374379,1161551,507708,191825,43043,1049866,693071,68048,69478152
