State_From,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste management",Construction,"Wholesale and retail trade, accommodation and food services","Transport, communications and information services",Financial intermediation,Real estate and housing services,Business services,Personal services,Public administration,Unemployment
"Agriculture, forestry and fishing",0.893142,7e-05,0.001226,6.2e-05,0.001235,0.001438,0.00062,0.000376,8.3e-05,0.001205,0.000552,6.8e-05,0.099924
Mining,0.000125,0.922101,0.000588,0.000119,0.001795,0.00053,0.000548,0.000567,3.2e-05,0.001757,0.000261,2.2e-05,0.071555
Manufacturing,0.00068,0.000187,0.944068,9.7e-05,0.001923,0.001936,0.000572,0.000504,5.2e-05,0.001846,0.000616,3.4e-05,0.047485
"Electricity, gas, water and waste management",0.00026,0.000324,0.000704,0.949367,0.002611,0.000849,0.000775,0.000727,6e-05,0.002261,0.000724,8.5e-05,0.041253
Construction,0.00053,0.000399,0.001651,0.000294,0.890214,0.001127,0.00085,0.000531,0.000267,0.003676,0.000761,8.6e-05,0.099614
"Wholesale and retail trade, accommodation and food services",0.000397,9.7e-05,0.000989,5.8e-05,0.000766,0.942292,0.000702,0.000567,0.000101,0.001734,0.000842,5.3e-05,0.051403
"Transport, communications and information services",0.000347,0.000154,0.000627,0.000116,0.001115,0.001393,0.947523,0.000791,6.9e-05,0.002181,0.000796,3.9e-05,0.044847
Financial intermediation,0.000507,0.000276,0.001266,0.00015,0.001388,0.002555,0.001561,0.943667,0.000288,0.002911,0.002328,7.9e-05,0.043024
Real estate and housing services,0.000412,0.000184,0.000681,9.7e-05,0.003361,0.002603,0.000789,0.001351,0.939904,0.002573,0.002359,6.4e-05,0.045623
Business services,0.000498,0.000395,0.001722,0.00026,0.0029,0.002734,0.001814,0.001085,0.000161,0.925448,0.002215,9.3e-05,0.060676
Personal services,0.000207,5.3e-05,0.000526,7.3e-05,0.000618,0.001142,0.000561,0.000638,0.000103,0.00193,0.955438,0.000211,0.038501
Public administration,0.000233,3.7e-05,0.000219,7.3e-05,0.000647,0.000598,0.000241,0.000218,2.7e-05,0.00074,0.002509,0.959161,0.035298
Unemployment,0.008806,0.00195,0.007289,0.000698,0.018086,0.015285,0.006681,0.002524,0.000566,0.013815,0.00912,0.000895,0.914282
Entry,0.057091,0.010627,0.089118,0.006602,0.104568,0.204186,0.077256,0.028542,0.007776,0.136378,0.14114,0.013143,0.123574
