Wage_Date,State_From,"Agriculture, forestry and fishing",Business services,Construction,"Electricity, gas, water and waste management",Financial intermediation,Manufacturing,Mining,Personal services,Public administration,Real estate and housing services,"Transport, communications and information services","Unemployment from Agriculture, forestry and fishing",Unemployment from Business services,Unemployment from Construction,"Unemployment from Electricity, gas, water and waste management",Unemployment from Financial intermediation,Unemployment from Manufacturing,Unemployment from Mining,Unemployment from Personal services,Unemployment from Public administration,Unemployment from Real estate and housing services,"Unemployment from Transport, communications and information services","Unemployment from Wholesale and retail trade, accommodation and food services","Wholesale and retail trade, accommodation and food services"
2008-02-01,"Agriculture, forestry and fishing",0.856812,0.001588,0.002106,6.9E-5,9.67E-4,0.002141,6.9E-5,8.29E-4,1.38E-4,1.04E-4,0.001001,0.131828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002348
2008-02-01,Business services,0.001074,0.911066,0.004358,1.05E-4,0.002484,0.00219,5.9E-4,0.003095,2.11E-4,1.26E-4,0.002274,0.0,0.06988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002548
2008-02-01,Construction,0.001128,0.003224,0.875415,3.76E-4,0.002038,0.002235,6.92E-4,0.001484,3.17E-4,2.77E-4,0.001009,0.0,0.0,0.110737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001068
2008-02-01,"Electricity, gas, water and waste management",7.85E-4,0.001962,0.003138,0.944684,0.001177,0.001569,3.92E-4,3.92E-4,0.0,0.0,0.004315,0.0,0.0,0.0,0.039231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002354
2008-02-01,Financial intermediation,0.002207,0.010232,0.004481,4.01E-4,0.910386,0.004614,0.002943,0.004681,1.34E-4,8.69E-4,0.004146,0.0,0.0,0.0,0.0,0.047683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007223
2008-02-01,Manufacturing,0.001324,0.002124,0.002374,1.25E-4,0.002049,0.933785,3.5E-4,9.0E-4,1.25E-4,7.5E-5,6.0E-4,0.0,0.0,0.0,0.0,0.0,0.053947,0.0,0.0,0.0,0.0,0.0,0.0,0.002224
2008-02-01,Mining,2.0E-4,0.002397,0.003795,2.0E-4,0.002397,3.99E-4,0.956661,9.99E-4,2.0E-4,2.0E-4,0.001797,0.0,0.0,0.0,0.0,0.0,0.0,0.030557,0.0,0.0,0.0,0.0,0.0,2.0E-4
2008-02-01,Personal services,5.67E-4,0.002856,0.002049,1.09E-4,0.001722,0.001548,1.74E-4,0.93056,3.27E-4,4.58E-4,0.00133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056729,0.0,0.0,0.0,0.0,0.00157
2008-02-01,Public administration,0.001208,0.003021,0.00574,6.04E-4,0.001511,0.001813,6.04E-4,0.00423,0.917825,0.0,0.001511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059819,0.0,0.0,0.0,0.002115
2008-02-01,Real estate and housing services,0.001429,0.003145,0.002287,0.0,0.004002,2.86E-4,0.0,0.003716,0.0,0.917953,8.58E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063465,0.0,0.0,0.002859
2008-02-01,"Transport, communications and information services",6.25E-4,0.002233,0.00134,8.9E-5,0.002799,8.93E-4,3.28E-4,0.001757,1.79E-4,2.08E-4,0.938576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048621,0.0,0.002352
2008-02-01,"Wholesale and retail trade, accommodation and food services",6.06E-4,0.001849,0.001243,4.7E-5,0.001491,0.001507,2.8E-4,0.001336,1.4E-4,1.4E-4,9.48E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062829,0.927585
2008-03-01,"Agriculture, forestry and fishing",0.871323,0.001129,0.002326,1.37E-4,9.58E-4,0.002873,6.8E-5,0.001095,6.8E-5,1.03E-4,9.92E-4,0.114653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004276
2008-03-01,Business services,0.001081,0.911862,0.003224,2.4E-4,0.002644,0.002263,6.01E-4,0.003064,1.8E-4,1.6E-4,0.002223,0.0,0.069613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002844
2008-03-01,Construction,0.001097,0.003367,0.884729,1.92E-4,0.001712,0.002578,4.42E-4,0.001289,3.66E-4,4.23E-4,0.001308,0.0,0.0,0.100843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001654
2008-03-01,"Electricity, gas, water and waste management",3.51E-4,0.001054,0.002811,0.956079,0.001757,0.001054,7.03E-4,3.51E-4,3.51E-4,3.51E-4,0.001405,0.0,0.0,0.0,0.031975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001757
2008-03-01,Financial intermediation,0.002378,0.005708,0.006183,3.57E-4,0.930674,0.005113,0.00107,0.004697,5.9E-5,4.16E-4,0.004638,0.0,0.0,0.0,0.0,0.032761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005946
2008-03-01,Manufacturing,8.1E-4,0.001881,0.002524,0.0,0.001976,0.937451,4.52E-4,0.001262,9.5E-5,4.8E-5,8.57E-4,0.0,0.0,0.0,0.0,0.0,0.050692,0.0,0.0,0.0,0.0,0.0,0.0,0.001952
2008-03-01,Mining,1.57E-4,0.002828,0.001571,1.57E-4,0.002514,0.001414,0.960251,4.71E-4,0.0,0.0,0.001257,0.0,0.0,0.0,0.0,0.0,0.0,0.028908,0.0,0.0,0.0,0.0,0.0,4.71E-4
2008-03-01,Personal services,5.35E-4,0.005244,0.001926,1.71E-4,0.001798,0.00152,1.93E-4,0.914237,5.14E-4,3.64E-4,0.001669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069261,0.0,0.0,0.0,0.0,0.002568
2008-03-01,Public administration,0.00119,0.004762,0.004167,5.95E-4,0.001786,0.002679,2.98E-4,0.008929,0.877976,0.0,8.93E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094048,0.0,0.0,0.0,0.002679
2008-03-01,Real estate and housing services,0.001091,0.001637,0.003547,0.0,0.005184,2.73E-4,2.73E-4,0.004638,0.0,0.920327,0.00191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059482,0.0,0.0,0.001637
2008-03-01,"Transport, communications and information services",4.55E-4,0.00287,0.001932,1.14E-4,0.002159,0.001108,2.84E-4,0.002216,1.7E-4,8.5E-5,0.939682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047192,0.0,0.001733
2008-03-01,"Unemployment from Agriculture, forestry and fishing",0.300419,0.010739,0.013096,0.0,0.002619,0.013882,5.24E-4,0.003667,0.0,2.62E-4,0.004976,0.635149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014667
2008-03-01,Unemployment from Business services,0.004218,0.26755,0.036457,3.01E-4,0.007231,0.013558,0.002109,0.020789,0.001808,0.001205,0.010545,0.0,0.612835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021392
2008-03-01,Unemployment from Construction,0.00518,0.016792,0.300464,8.93E-4,0.00393,0.013576,0.003751,0.009825,7.15E-4,8.93E-4,0.004109,0.0,0.0,0.632726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007145
2008-03-01,"Unemployment from Electricity, gas, water and waste management",0.0,0.05,0.03,0.3,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
2008-03-01,Unemployment from Financial intermediation,0.009818,0.047686,0.019635,0.001403,0.245442,0.01122,0.0,0.018233,0.001403,0.001403,0.007013,0.0,0.0,0.0,0.0,0.621318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015428
2008-03-01,Unemployment from Manufacturing,0.023622,0.023622,0.026401,0.0,0.009727,0.274201,9.26E-4,0.007874,4.63E-4,9.26E-4,0.004632,0.0,0.0,0.0,0.0,0.0,0.608152,0.0,0.0,0.0,0.0,0.0,0.0,0.019453
