State_From,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste management",Construction,"Wholesale and retail trade, accommodation and food services","Transport, communications and information services",Financial intermediation,Real estate and housing services,Business services,Personal services,Public administration,"Unemployment from Agriculture, forestry and fishing",Unemployment from Mining,Unemployment from Manufacturing,"Unemployment from Electricity, gas, water and waste management",Unemployment from Construction,"Unemployment from Wholesale and retail trade, accommodation and food services","Unemployment from Transport, communications and information services",Unemployment from Financial intermediation,Unemployment from Real estate and housing services,Unemployment from Business services,Unemployment from Personal services,Unemployment from Public administration
"Agriculture, forestry and fishing",0.891174,7e-05,0.001239,6.2e-05,0.001247,0.001458,0.000622,0.000378,8.3e-05,0.001211,0.000558,6.9e-05,0.101827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining,0.000126,0.922071,0.00059,0.000119,0.001805,0.000529,0.000552,0.000575,3.3e-05,0.001766,0.000263,2.2e-05,0.0,0.07155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manufacturing,0.000685,0.000187,0.943415,9.7e-05,0.001933,0.001944,0.000575,0.00051,5.3e-05,0.001853,0.00062,3.4e-05,0.0,0.0,0.048095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, gas, water and waste management",0.000263,0.000323,0.000709,0.949093,0.002618,0.000854,0.000782,0.000725,6.1e-05,0.002264,0.000727,8.6e-05,0.0,0.0,0.0,0.041496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Construction,0.000535,0.0004,0.001655,0.000295,0.889463,0.001133,0.000852,0.000534,0.000266,0.003672,0.000766,8.7e-05,0.0,0.0,0.0,0.0,0.100341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Wholesale and retail trade, accommodation and food services",0.000399,9.7e-05,0.000994,5.8e-05,0.000771,0.941376,0.000706,0.00057,0.000102,0.001743,0.00085,5.4e-05,0.0,0.0,0.0,0.0,0.0,0.052281,0.0,0.0,0.0,0.0,0.0,0.0
"Transport, communications and information services",0.00035,0.000154,0.000632,0.000116,0.00112,0.001403,0.947073,0.000797,7e-05,0.002186,0.000803,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.045257,0.0,0.0,0.0,0.0,0.0
Financial intermediation,0.000514,0.000284,0.001279,0.000151,0.001398,0.002582,0.001571,0.943114,0.00029,0.002941,0.002342,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043455,0.0,0.0,0.0,0.0
Real estate and housing services,0.00042,0.000183,0.000686,9.6e-05,0.003347,0.002606,0.00079,0.001357,0.93933,0.00258,0.002378,6.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046161,0.0,0.0,0.0
Business services,0.000501,0.000394,0.001727,0.000259,0.002903,0.002754,0.001818,0.00109,0.000161,0.92449,0.002229,9.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061579,0.0,0.0
Personal services,0.000209,5.4e-05,0.000532,7.3e-05,0.000626,0.00115,0.000564,0.00064,0.000104,0.001936,0.954685,0.000212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039215,0.0
Public administration,0.000236,3.8e-05,0.000224,7.4e-05,0.000658,0.000607,0.000243,0.000219,2.7e-05,0.000747,0.00252,0.958361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036045
"Unemployment from Agriculture, forestry and fishing",0.073507,0.000191,0.003853,0.000226,0.005564,0.005615,0.001877,0.000337,0.000163,0.003898,0.001718,0.000335,0.902717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unemployment from Mining,0.001387,0.132659,0.00253,0.000505,0.008933,0.003149,0.002784,0.000602,0.000144,0.007527,0.001383,0.000181,0.0,0.838216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unemployment from Manufacturing,0.004174,0.000321,0.049166,0.000341,0.009511,0.009185,0.002971,0.000601,0.000247,0.008227,0.003092,0.000257,0.0,0.0,0.911906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Unemployment from Electricity, gas, water and waste management",0.00254,0.000691,0.003633,0.053734,0.013999,0.005305,0.00449,0.000867,0.000251,0.009822,0.003018,0.000358,0.0,0.0,0.0,0.901293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unemployment from Construction,0.002897,0.000605,0.004677,0.000621,0.08162,0.004412,0.002801,0.000421,0.000433,0.008615,0.002409,0.000345,0.0,0.0,0.0,0.0,0.890143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Unemployment from Wholesale and retail trade, accommodation and food services",0.002319,0.000169,0.003614,0.000211,0.003734,0.050074,0.002676,0.000814,0.000296,0.006931,0.003634,0.000278,0.0,0.0,0.0,0.0,0.0,0.925248,0.0,0.0,0.0,0.0,0.0,0.0
"Unemployment from Transport, communications and information services",0.001977,0.00034,0.002756,0.000392,0.00539,0.006368,0.052191,0.00101,0.000245,0.008125,0.003119,0.000237,0.0,0.0,0.0,0.0,0.0,0.0,0.91785,0.0,0.0,0.0,0.0,0.0
Unemployment from Financial intermediation,0.001158,0.000196,0.00173,0.000177,0.002626,0.005474,0.002809,0.055668,0.000614,0.007509,0.004119,0.000261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917659,0.0,0.0,0.0,0.0
Unemployment from Real estate and housing services,0.001615,0.000191,0.002339,0.000207,0.008428,0.007438,0.002246,0.001868,0.030843,0.007545,0.004641,0.000297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932343,0.0,0.0,0.0
Unemployment from Business services,0.002063,0.000507,0.004038,0.000448,0.008837,0.008352,0.004151,0.001401,0.000385,0.051297,0.006059,0.000355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.912106,0.0,0.0
Unemployment from Personal services,0.000995,0.000102,0.001561,0.00015,0.002806,0.004413,0.001695,0.000716,0.000257,0.006392,0.042808,0.000617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937488,0.0
Unemployment from Public administration,0.001468,9.8e-05,0.000993,0.000146,0.003349,0.002641,0.000957,0.000372,0.000131,0.003021,0.005316,0.037068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944439
