Wage_Date,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste management",Construction,"Wholesale and retail trade, accommodation and food services","Transport, communications and information services",Financial intermediation,Real estate and housing services,Business services,Personal services,Public administration,"Unemployment from Agriculture, forestry and fishing",Unemployment from Mining,Unemployment from Manufacturing,"Unemployment from Electricity, gas, water and waste management",Unemployment from Construction,"Unemployment from Wholesale and retail trade, accommodation and food services","Unemployment from Transport, communications and information services",Unemployment from Financial intermediation,Unemployment from Real estate and housing services,Unemployment from Business services,Unemployment from Personal services,Unemployment from Public administration,State_From
2008-02-01,25107,4953,37930,2459,44957,60319,31947,14247,3288,44082,43212,3106,3818,153,2159,100,5598,4044,1633,713,222,3319,2602,198,Entry
2008-03-01,22457,2,65,4,55,93,23,26,3,27,27,2,2323,0,0,0,0,0,0,0,0,0,0,0,"Agriculture, forestry and fishing"
2008-03-01,1,4763,7,1,9,3,7,11,0,12,3,0,0,136,0,0,0,0,0,0,0,0,0,0,Mining
2008-03-01,28,16,35885,0,84,67,26,80,1,71,47,4,0,0,1621,0,0,0,0,0,0,0,0,0,Manufacturing
2008-03-01,1,2,2,2364,4,5,4,5,0,2,1,1,0,0,0,68,0,0,0,0,0,0,0,0,"Electricity, gas, water and waste management"
2008-03-01,45,19,118,7,40265,71,61,83,17,146,57,15,0,0,0,0,4053,0,0,0,0,0,0,0,Construction
2008-03-01,23,13,96,4,60,56879,47,116,9,99,93,14,0,0,0,0,0,2866,0,0,0,0,0,0,"Wholesale and retail trade, accommodation and food services"
2008-03-01,14,9,31,4,49,50,30280,72,2,89,67,3,0,0,0,0,0,0,1277,0,0,0,0,0,"Transport, communications and information services"
2008-03-01,31,14,73,5,90,81,70,13310,6,86,71,0,0,0,0,0,0,0,0,410,0,0,0,0,Financial intermediation
2008-03-01,0,1,1,0,11,6,7,19,3054,6,12,0,0,0,0,0,0,0,0,0,171,0,0,0,Real estate and housing services
2008-03-01,46,26,95,10,133,112,100,114,5,40885,134,8,0,0,0,0,0,0,0,0,0,2414,0,0,Business services
2008-03-01,19,7,58,8,64,99,68,80,15,218,39994,23,0,0,0,0,0,0,0,0,0,0,2559,0,Personal services
2008-03-01,4,0,7,2,13,6,3,6,0,13,28,2781,0,0,0,0,0,0,0,0,0,0,0,243,Public administration
2008-03-01,1147,2,53,0,50,56,19,10,1,41,14,0,2425,0,0,0,0,0,0,0,0,0,0,0,"Unemployment from Agriculture, forestry and fishing"
2008-03-01,1,36,1,0,13,6,1,0,0,5,1,0,0,89,0,0,0,0,0,0,0,0,0,0,Unemployment from Mining
2008-03-01,51,2,592,0,57,42,10,21,2,51,17,1,0,0,1313,0,0,0,0,0,0,0,0,0,Unemployment from Manufacturing
2008-03-01,0,0,0,30,3,1,2,2,0,5,1,0,0,0,0,56,0,0,0,0,0,0,0,0,"Unemployment from Electricity, gas, water and waste management"
2008-03-01,29,21,76,5,1682,40,23,22,5,94,55,4,0,0,0,0,3542,0,0,0,0,0,0,0,Unemployment from Construction
2008-03-01,36,2,63,0,46,1248,24,26,4,77,46,3,0,0,0,0,0,2469,0,0,0,0,0,0,"Unemployment from Wholesale and retail trade, accommodation and food services"
2008-03-01,11,2,20,0,30,27,566,12,2,37,20,2,0,0,0,0,0,0,904,0,0,0,0,0,"Unemployment from Transport, communications and information services"
2008-03-01,7,0,8,1,14,11,5,175,1,34,13,1,0,0,0,0,0,0,0,443,0,0,0,0,Unemployment from Financial intermediation
2008-03-01,0,0,1,1,9,1,2,3,46,8,5,1,0,0,0,0,0,0,0,0,145,0,0,0,Unemployment from Real estate and housing services
2008-03-01,14,7,45,1,121,71,35,24,4,888,69,6,0,0,0,0,0,0,0,0,0,2034,0,0,Unemployment from Business services
2008-03-01,8,5,22,0,53,34,15,23,1,63,930,7,0,0,0,0,0,0,0,0,0,0,1441,0,Unemployment from Personal services
2008-03-01,2,0,3,0,3,2,0,0,2,1,2,64,0,0,0,0,0,0,0,0,0,0,0,119,Unemployment from Public administration
2008-03-01,3072,1372,3596,363,5868,5688,2855,2393,333,4770,2802,182,1029,48,508,23,1189,902,384,141,47,1062,677,73,Entry
2008-04-01,22638,3,72,1,57,51,22,43,4,23,30,5,4098,0,0,0,0,0,0,0,0,0,0,0,"Agriculture, forestry and fishing"
