State_From,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste management",Construction,"Wholesale and retail trade, accommodation and food services","Transport, communications and information services",Financial intermediation,Real estate and housing services,Business services,Personal services,Public administration,Unemployment
"Agriculture, forestry and fishing",0.0,0.000643,0.011389,0.000566,0.011457,0.013402,0.00572,0.003477,0.000764,0.011131,0.00513,0.000635,0.935686
Mining,0.001622,0.0,0.007567,0.001529,0.023157,0.006786,0.007083,0.007375,0.000426,0.022662,0.003372,0.000286,0.918135
Manufacturing,0.012104,0.003305,0.0,0.00171,0.034157,0.034347,0.010164,0.009009,0.000931,0.032746,0.010959,0.000609,0.84996
"Electricity, gas, water and waste management",0.005157,0.006348,0.01393,0.0,0.051422,0.016778,0.015354,0.01425,0.001191,0.044464,0.014279,0.001685,0.815142
Construction,0.004842,0.003621,0.014974,0.002666,0.0,0.010251,0.007707,0.004834,0.002408,0.033218,0.006934,0.00079,0.907757
"Wholesale and retail trade, accommodation and food services",0.006809,0.001662,0.016952,0.000984,0.013147,0.0,0.012041,0.00972,0.001741,0.029736,0.014498,0.00092,0.89179
"Transport, communications and information services",0.006609,0.002912,0.01194,0.002188,0.021169,0.026512,0.0,0.015056,0.001322,0.041293,0.015169,0.000753,0.855077
Financial intermediation,0.009044,0.004997,0.022476,0.002653,0.02457,0.045385,0.027614,0.0,0.005099,0.051705,0.041162,0.001404,0.763891
Real estate and housing services,0.006917,0.003022,0.01131,0.001589,0.055165,0.042951,0.013024,0.022371,0.0,0.042531,0.039197,0.001059,0.760862
Business services,0.00664,0.005222,0.022866,0.00343,0.038446,0.036472,0.024076,0.014431,0.002134,0.0,0.029523,0.001246,0.815514
Personal services,0.004619,0.001186,0.011732,0.001612,0.013812,0.025388,0.012454,0.01412,0.002303,0.042729,0.0,0.004668,0.865377
Public administration,0.005665,0.000905,0.005375,0.001776,0.015811,0.01458,0.005839,0.00527,0.00065,0.017946,0.060514,0.0,0.865668
Unemployment,0.102728,0.022752,0.08504,0.008147,0.210993,0.17832,0.077943,0.029449,0.006608,0.161174,0.1064,0.010447,0.0
