Wage_Date,State_From,"Agriculture, forestry and fishing",Business services,Construction,"Electricity, gas, water and waste management",Financial intermediation,Manufacturing,Mining,Personal services,Public administration,Real estate and housing services,"Transport, communications and information services",Unemployment,"Wholesale and retail trade, accommodation and food services"
2008-02-01,"Agriculture, forestry and fishing",0.0,0.011092,0.014709,4.82E-4,0.006752,0.014951,4.82E-4,0.005787,9.65E-4,7.23E-4,0.006993,0.920666,0.016397
2008-02-01,Business services,0.012074,0.0,0.049006,0.001184,0.027936,0.024621,0.006629,0.034801,0.002367,0.00142,0.025568,0.785748,0.028646
2008-02-01,Construction,0.00905,0.025881,0.0,0.003017,0.016354,0.017942,0.005557,0.011909,0.00254,0.002223,0.008098,0.888854,0.008574
2008-02-01,"Electricity, gas, water and waste management",0.014184,0.035461,0.056738,0.0,0.021277,0.028369,0.007092,0.007092,0.0,0.0,0.078014,0.70922,0.042553
2008-02-01,Financial intermediation,0.024627,0.114179,0.05,0.004478,0.0,0.051493,0.032836,0.052239,0.001493,0.009701,0.046269,0.53209,0.080597
2008-02-01,Manufacturing,0.02,0.032075,0.035849,0.001887,0.030943,0.0,0.005283,0.013585,0.001887,0.001132,0.009057,0.814717,0.033585
2008-02-01,Mining,0.004608,0.0553,0.087558,0.004608,0.0553,0.009217,0.0,0.023041,0.004608,0.004608,0.041475,0.705069,0.004608
2008-02-01,Personal services,0.008163,0.04113,0.029513,0.00157,0.024804,0.022292,0.002512,0.0,0.00471,0.006593,0.019152,0.816954,0.022606
2008-02-01,Public administration,0.014706,0.036765,0.069853,0.007353,0.018382,0.022059,0.007353,0.051471,0.0,0.0,0.018382,0.727941,0.025735
2008-02-01,Real estate and housing services,0.017422,0.038328,0.027875,0.0,0.04878,0.003484,0.0,0.045296,0.0,0.0,0.010453,0.773519,0.034843
2008-02-01,"Transport, communications and information services",0.010179,0.036355,0.021813,0.001454,0.045565,0.014542,0.005332,0.028599,0.002908,0.003393,0.0,0.791566,0.038294
2008-02-01,"Wholesale and retail trade, accommodation and food services",0.008367,0.025531,0.017164,6.44E-4,0.020596,0.020811,0.003862,0.018451,0.001931,0.001931,0.013087,0.867625,0.0
2008-03-01,"Agriculture, forestry and fishing",0.0,0.008772,0.018075,0.001063,0.007443,0.022329,5.32E-4,0.008506,5.32E-4,7.97E-4,0.007709,0.891015,0.033227
2008-03-01,Business services,0.01227,0.0,0.036583,0.002727,0.029993,0.025676,0.006817,0.034765,0.002045,0.001818,0.025222,0.78982,0.032265
2008-03-01,Construction,0.009513,0.029206,0.0,0.001669,0.014853,0.022363,0.003838,0.011182,0.003171,0.003672,0.011348,0.874833,0.014352
2008-03-01,"Electricity, gas, water and waste management",0.008,0.024,0.064,0.0,0.04,0.024,0.016,0.008,0.008,0.008,0.032,0.728,0.04
2008-03-01,Financial intermediation,0.034305,0.082333,0.089194,0.005146,0.0,0.073756,0.015437,0.067753,8.58E-4,0.006003,0.066895,0.472556,0.085763
2008-03-01,Manufacturing,0.012943,0.030072,0.04035,0.0,0.031595,0.0,0.007233,0.020175,0.001523,7.61E-4,0.013704,0.81043,0.031214
2008-03-01,Mining,0.003953,0.071146,0.039526,0.003953,0.063241,0.035573,0.0,0.011858,0.0,0.0,0.031621,0.727273,0.011858
2008-03-01,Personal services,0.006239,0.061143,0.022461,0.001997,0.020963,0.017719,0.002246,0.0,0.00599,0.004243,0.019466,0.807587,0.029948
2008-03-01,Public administration,0.009756,0.039024,0.034146,0.004878,0.014634,0.021951,0.002439,0.073171,0.0,0.0,0.007317,0.770732,0.021951
2008-03-01,Real estate and housing services,0.013699,0.020548,0.044521,0.0,0.065068,0.003425,0.003425,0.058219,0.0,0.0,0.023973,0.746575,0.020548
2008-03-01,"Transport, communications and information services",0.007537,0.047574,0.03203,0.001884,0.035798,0.01837,0.00471,0.03674,0.002826,0.001413,0.0,0.782383,0.028733
2008-03-01,Unemployment,0.13634,0.136131,0.217246,0.003967,0.033198,0.092285,0.008038,0.122455,0.009291,0.007099,0.073285,0.0,0.160664
2008-03-01,"Wholesale and retail trade, accommodation and food services",0.006984,0.027033,0.016445,9.01E-4,0.027934,0.025456,0.00383,0.02433,0.00383,0.002027,0.01239,0.84884,0.0
2008-04-01,"Agriculture, forestry and fishing",0.0,0.005353,0.012182,1.85E-4,0.008675,0.016796,5.54E-4,0.005722,9.23E-4,7.38E-4,0.004614,0.932817,0.011443
2008-04-01,Business services,0.007437,0.0,0.03833,0.002479,0.026888,0.021739,0.007628,0.029558,0.002288,0.002098,0.0246,0.7582,0.078757
2008-04-01,Construction,0.007783,0.031607,0.0,0.0027,0.013501,0.018266,0.007147,0.012706,0.001747,0.0027,0.007942,0.883577,0.010324
2008-04-01,"Electricity, gas, water and waste management",0.007194,0.064748,0.028777,0.0,0.071942,0.014388,0.021583,0.021583,0.021583,0.0,0.021583,0.719424,0.007194
2008-04-01,Financial intermediation,0.02208,0.099003,0.064815,0.00641,0.0,0.059829,0.009972,0.061966,0.009972,0.009259,0.05057,0.521368,0.084758
2008-04-01,Manufacturing,0.009773,0.017961,0.035394,0.001057,0.019546,0.0,0.001849,0.016112,0.001057,0.001585,0.008188,0.865557,0.021923
2008-04-01,Mining,0.0,0.064982,0.083032,0.0,0.061372,0.01444,0.0,0.028881,0.00361,0.00722,0.028881,0.66065,0.046931
2008-04-01,Personal services,0.007125,0.045312,0.025078,8.55E-4,0.033913,0.016529,0.00228,0.0,0.003705,0.003705,0.023083,0.809917,0.028498
2008-04-01,Public administration,0.010676,0.024911,0.085409,0.003559,0.014235,0.021352,0.0,0.039146,0.0,0.0,0.021352,0.72242,0.05694
2008-04-01,Real estate and housing services,0.007634,0.041985,0.034351,0.003817,0.057252,0.01145,0.003817,0.045802,0.007634,0.0,0.01145,0.763359,0.01145
2008-04-01,"Transport, communications and information services",0.006911,0.039024,0.02561,0.002439,0.031707,0.014634,0.005285,0.02561,0.00122,8.13E-4,0.0,0.823984,0.022764
2008-04-01,Unemployment,0.083978,0.144664,0.248749,0.004458,0.029206,0.101902,0.007461,0.117005,0.009826,0.01019,0.073333,0.0,0.169229
2008-04-01,"Wholesale and retail trade, accommodation and food services",0.010793,0.024283,0.011467,0.001012,0.016863,0.019224,0.002192,0.018718,0.003541,0.001012,0.010118,0.880776,0.0
2008-05-01,"Agriculture, forestry and fishing",0.0,0.004678,0.010693,1.67E-4,0.005848,0.012531,5.01E-4,0.006015,5.01E-4,3.34E-4,0.003008,0.946199,0.009524
2008-05-01,Business services,0.007167,0.0,0.044195,0.00215,0.029384,0.020545,0.007645,0.038462,9.56E-4,0.00215,0.021978,0.788342,0.037028
2008-05-01,Construction,0.006834,0.025429,0.0,6.36E-4,0.012715,0.018277,0.008423,0.010807,0.001589,0.00445,0.007947,0.890973,0.01192
2008-05-01,"Electricity, gas, water and waste management",0.0,0.040984,0.040984,0.0,0.065574,0.016393,0.032787,0.057377,0.008197,0.008197,0.016393,0.688525,0.02459
2008-05-01,Financial intermediation,0.028884,0.090554,0.071038,0.005464,0.0,0.0484,0.013271,0.087432,0.001561,0.01171,0.064012,0.495706,0.081967
2008-05-01,Manufacturing,0.010817,0.019531,0.030649,0.001502,0.026442,0.0,0.002404,0.017428,6.01E-4,9.01E-4,0.010817,0.85006,0.028846
2008-05-01,Mining,0.0,0.059072,0.097046,0.0,0.037975,0.033755,0.0,0.012658,0.0,0.0,0.029536,0.704641,0.025316
2008-05-01,Personal services,0.007937,0.050159,0.029841,9.52E-4,0.045397,0.026032,0.002857,0.0,0.005714,0.00254,0.02,0.774603,0.033968
2008-05-01,Public administration,0.008333,0.041667,0.0625,0.008333,0.016667,0.020833,0.0,0.075,0.0,0.004167,0.008333,0.679167,0.075
2008-05-01,Real estate and housing services,0.003086,0.067901,0.058642,0.0,0.067901,0.018519,0.015432,0.055556,0.0,0.0,0.033951,0.660494,0.018519
2008-05-01,"Transport, communications and information services",0.004369,0.043204,0.021845,0.001456,0.030097,0.018932,0.012136,0.028641,0.001456,0.002913,0.0,0.805825,0.029126
2008-05-01,Unemployment,0.103711,0.152196,0.243876,0.003479,0.028845,0.088998,0.00732,0.104943,0.010436,0.007972,0.073344,0.0,0.17488
2008-05-01,"Wholesale and retail trade, accommodation and food services",0.011337,0.023065,0.015442,5.86E-4,0.022088,0.018178,0.006059,0.017787,0.001759,0.001564,0.012705,0.869429,0.0
2008-06-01,"Agriculture, forestry and fishing",0.0,0.007647,0.016176,0.0,0.012059,0.007059,5.88E-4,0.008235,0.0,0.001176,0.005882,0.926471,0.014706
2008-06-01,Business services,0.004187,0.0,0.045074,0.002709,0.030296,0.019951,0.006897,0.029557,0.002956,0.003695,0.021921,0.799754,0.033005
2008-06-01,Construction,0.008874,0.026621,0.0,0.001291,0.011133,0.016296,0.00726,0.012101,0.001291,0.003227,0.006776,0.894643,0.010487
2008-06-01,"Electricity, gas, water and waste management",0.0,0.083333,0.037879,0.0,0.022727,0.015152,0.007576,0.060606,0.015152,0.0,0.007576,0.734848,0.015152
2008-06-01,Financial intermediation,0.024,0.096,0.0656,0.0064,0.0,0.0736,0.0096,0.1024,0.004,0.0088,0.0536,0.464,0.092
2008-06-01,Manufacturing,0.014428,0.020955,0.028856,0.002061,0.03023,0.0,0.002061,0.020268,0.001031,0.001374,0.008932,0.849193,0.020611
2008-06-01,Mining,0.004016,0.024096,0.072289,0.004016,0.056225,0.02008,0.0,0.008032,0.0,0.0,0.088353,0.698795,0.024096
2008-06-01,Personal services,0.007601,0.04197,0.024785,0.001652,0.040317,0.025446,0.002313,0.0,0.005618,0.002313,0.020489,0.796431,0.031064
2008-06-01,Public administration,0.015152,0.041667,0.026515,0.003788,0.018939,0.011364,0.003788,0.079545,0.0,0.0,0.022727,0.731061,0.045455
2008-06-01,Real estate and housing services,0.003861,0.046332,0.034749,0.0,0.046332,0.003861,0.007722,0.034749,0.0,0.0,0.023166,0.752896,0.046332
2008-06-01,"Transport, communications and information services",0.01056,0.029844,0.027548,0.001837,0.039486,0.012856,0.005051,0.022039,0.002296,0.001377,0.0,0.82461,0.022498
2008-06-01,Unemployment,0.152813,0.132919,0.242017,0.003168,0.026799,0.098708,0.007919,0.099911,0.006462,0.006969,0.06589,0.0,0.156424
2008-06-01,"Wholesale and retail trade, accommodation and food services",0.006663,0.018171,0.01272,4.04E-4,0.027862,0.018978,0.003634,0.023016,0.001413,0.002019,0.009489,0.875631,0.0
2008-07-01,"Agriculture, forestry and fishing",0.0,0.010456,0.028022,8.36E-4,0.014638,0.009619,4.18E-4,0.011292,0.001673,4.18E-4,0.010038,0.901297,0.011292
2008-07-01,Business services,0.004885,0.0,0.04128,0.002198,0.029067,0.016854,0.006351,0.030288,0.001221,0.001221,0.028578,0.809477,0.028578
2008-07-01,Construction,0.007387,0.033158,0.0,0.002626,0.013132,0.01543,0.007223,0.012475,3.28E-4,0.002298,0.007223,0.889199,0.009521
2008-07-01,"Electricity, gas, water and waste management",0.010204,0.061224,0.061224,0.0,0.071429,0.0,0.010204,0.0,0.0,0.0,0.010204,0.765306,0.010204
2008-07-01,Financial intermediation,0.024903,0.083268,0.05214,0.002335,0.0,0.063813,0.011673,0.078599,0.001556,0.006226,0.058366,0.518288,0.098833
2008-07-01,Manufacturing,0.010697,0.032091,0.040028,0.00138,0.032436,0.0,0.005521,0.020359,0.001035,0.00138,0.010352,0.818496,0.026225
2008-07-01,Mining,0.00813,0.060976,0.065041,0.0,0.028455,0.04065,0.0,0.020325,0.0,0.004065,0.012195,0.739837,0.020325
2008-07-01,Personal services,0.007728,0.039876,0.022257,0.002164,0.034003,0.015456,0.003091,0.0,0.002782,0.003091,0.017002,0.822257,0.030294
2008-07-01,Public administration,0.014599,0.025547,0.043796,0.0,0.025547,0.00365,0.0,0.036496,0.0,0.00365,0.029197,0.773723,0.043796
2008-07-01,Real estate and housing services,0.010909,0.043636,0.058182,0.0,0.069091,0.010909,0.010909,0.04,0.0,0.0,0.021818,0.698182,0.036364
2008-07-01,"Transport, communications and information services",0.0058,0.058966,0.02465,0.003383,0.037216,0.018366,0.005317,0.0203,0.002417,0.002417,0.0,0.785887,0.035283
2008-07-01,Unemployment,0.152394,0.120086,0.206544,0.003731,0.019521,0.118447,0.006689,0.099472,0.008418,0.005825,0.072124,0.0,0.186749
2008-07-01,"Wholesale and retail trade, accommodation and food services",0.009279,0.032154,0.018127,0.001726,0.019853,0.048123,0.004748,0.024169,0.002158,4.32E-4,0.015106,0.824126,0.0
2008-08-01,"Agriculture, forestry and fishing",0.0,0.017669,0.015389,5.7E-4,0.008834,0.00627,0.0,0.009689,5.7E-4,8.55E-4,0.00627,0.927045,0.00684
2008-08-01,Business services,0.005612,0.0,0.032653,0.00119,0.028231,0.019388,0.005102,0.02415,0.001531,0.003571,0.016497,0.840646,0.021429
2008-08-01,Construction,0.005084,0.033611,0.0,0.00113,0.010874,0.01271,0.005225,0.009886,0.001412,0.002401,0.007344,0.901568,0.008756
2008-08-01,"Electricity, gas, water and waste management",0.003106,0.006211,0.012422,0.0,0.024845,0.006211,0.003106,0.003106,0.0,0.0,0.009317,0.92236,0.009317
2008-08-01,Financial intermediation,0.010368,0.036455,0.019064,0.001672,0.0,0.028428,0.002676,0.035786,0.002007,0.004682,0.029431,0.799666,0.029766
2008-08-01,Manufacturing,0.006557,0.029508,0.030517,0.00227,0.020681,0.0,0.00454,0.01715,7.57E-4,5.04E-4,0.00454,0.856494,0.026482
2008-08-01,Mining,0.0,0.005767,0.014418,5.77E-4,0.009804,0.002884,0.0,0.004037,0.0,0.0,0.002307,0.957901,0.002307
2008-08-01,Personal services,0.009001,0.026541,0.023309,9.23E-4,0.036234,0.015463,0.002769,0.0,0.001846,0.003462,0.01477,0.844219,0.021463
2008-08-01,Public administration,0.006098,0.027439,0.039634,0.0,0.009146,0.02439,0.0,0.036585,0.0,0.0,0.018293,0.801829,0.036585
