State_From,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste management",Construction,"Wholesale and retail trade, accommodation and food services","Transport, communications and information services",Financial intermediation,Real estate and housing services,Business services,Personal services,Public administration,"Unemployment from Agriculture, forestry and fishing",Unemployment from Mining,Unemployment from Manufacturing,"Unemployment from Electricity, gas, water and waste management",Unemployment from Construction,"Unemployment from Wholesale and retail trade, accommodation and food services","Unemployment from Transport, communications and information services",Unemployment from Financial intermediation,Unemployment from Real estate and housing services,Unemployment from Business services,Unemployment from Personal services,Unemployment from Public administration
"Agriculture, forestry and fishing",0.0,0.000643,0.011389,0.000566,0.011457,0.013402,0.00572,0.003477,0.000764,0.011131,0.00513,0.000635,0.935686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining,0.001622,0.0,0.007567,0.001529,0.023157,0.006786,0.007083,0.007375,0.000426,0.022662,0.003372,0.000286,0.0,0.918135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manufacturing,0.012104,0.003305,0.0,0.00171,0.034157,0.034347,0.010164,0.009009,0.000931,0.032746,0.010959,0.000609,0.0,0.0,0.84996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, gas, water and waste management",0.005157,0.006348,0.01393,0.0,0.051422,0.016778,0.015354,0.01425,0.001191,0.044464,0.014279,0.001685,0.0,0.0,0.0,0.815142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Construction,0.004842,0.003621,0.014974,0.002666,0.0,0.010251,0.007707,0.004834,0.002408,0.033218,0.006934,0.00079,0.0,0.0,0.0,0.0,0.907757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Wholesale and retail trade, accommodation and food services",0.006809,0.001662,0.016952,0.000984,0.013147,0.0,0.012041,0.00972,0.001741,0.029736,0.014498,0.00092,0.0,0.0,0.0,0.0,0.0,0.89179,0.0,0.0,0.0,0.0,0.0,0.0
"Transport, communications and information services",0.006609,0.002912,0.01194,0.002188,0.021169,0.026512,0.0,0.015056,0.001322,0.041293,0.015169,0.000753,0.0,0.0,0.0,0.0,0.0,0.0,0.855077,0.0,0.0,0.0,0.0,0.0
Financial intermediation,0.009044,0.004997,0.022476,0.002653,0.02457,0.045385,0.027614,0.0,0.005099,0.051705,0.041162,0.001404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763891,0.0,0.0,0.0,0.0
Real estate and housing services,0.006917,0.003022,0.01131,0.001589,0.055165,0.042951,0.013024,0.022371,0.0,0.042531,0.039197,0.001059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.760862,0.0,0.0,0.0
Business services,0.00664,0.005222,0.022866,0.00343,0.038446,0.036472,0.024076,0.014431,0.002134,0.0,0.029523,0.001246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.815514,0.0,0.0
Personal services,0.004619,0.001186,0.011732,0.001612,0.013812,0.025388,0.012454,0.01412,0.002303,0.042729,0.0,0.004668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.865377,0.0
Public administration,0.005665,0.000905,0.005375,0.001776,0.015811,0.01458,0.005839,0.00527,0.00065,0.017946,0.060514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.865668
"Unemployment from Agriculture, forestry and fishing",0.755598,0.001962,0.039601,0.00232,0.057191,0.05772,0.019291,0.003468,0.001678,0.040064,0.01766,0.003446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unemployment from Mining,0.008573,0.819976,0.015637,0.003124,0.055215,0.019466,0.017206,0.003723,0.00089,0.046523,0.008547,0.00112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unemployment from Manufacturing,0.047385,0.003649,0.558111,0.003869,0.107965,0.104267,0.03372,0.006823,0.002799,0.093392,0.035103,0.002917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Unemployment from Electricity, gas, water and waste management",0.025733,0.006997,0.036807,0.544382,0.141818,0.05374,0.045489,0.00878,0.002548,0.099504,0.030574,0.003626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unemployment from Construction,0.026374,0.005504,0.042574,0.005656,0.74297,0.040166,0.025501,0.003834,0.003939,0.078416,0.021927,0.003139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Unemployment from Wholesale and retail trade, accommodation and food services",0.031018,0.002265,0.048349,0.002819,0.049956,0.669874,0.035805,0.010887,0.003965,0.092719,0.048618,0.003726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
