Wage_Date,Skilled,Unskilled
2006-01-01,534016.87,244226.95
2006-02-01,509707.76,242773.54
2006-03-01,507800.07,244812.71
2006-04-01,549545.61,251187.2
2006-05-01,549120.31,255282.17
2006-06-01,557508.13,257887.23
2006-07-01,556672.76,260412.11
2006-08-01,557087.83,261800.36
2006-09-01,581489.92,276112.19
2006-10-01,561823.01,261143.91
2006-11-01,560016.3,260531.71
2006-12-01,588823.47,282977.82
2007-01-01,562961.45,266080.89
2007-02-01,566732.26,267391.39
2007-03-01,568536.12,270222.32
2007-04-01,575102.55,273758.7
2007-05-01,580366.14,277438.6
2007-06-01,583235.25,278493.9
2007-07-01,591777.57,286789.76
2007-08-01,599078.63,291178.46
2007-09-01,627562.01,311125.98
2007-10-01,604408.36,292708.2
2007-11-01,603928.32,291818.99
2007-12-01,641919.69,321529.54
2008-01-01,619676.52,303358.7
2008-02-01,619382.27,301999.91
2008-03-01,623938.71,306867.87
2008-04-01,630294.69,305997.23
2008-05-01,645376.17,315051.07
2008-06-01,643642.76,312568.83
2008-07-01,660843.77,326326.2
2008-08-01,666648.55,330734.31
2008-09-01,696727.91,350593.38
2008-10-01,667449.33,329191.06
2008-11-01,679820.91,331686.87
2008-12-01,717411.12,361636.69
2009-01-01,694595.42,341604.42
2009-02-01,689328.11,339682.76
2009-03-01,690037.52,341814.74
2009-04-01,695102.17,344948.62
2009-05-01,700281.55,349438.48
2009-06-01,700819.27,347569.39
2009-07-01,698502.94,351526.35
2009-08-01,699255.91,352219.28
2009-09-01,728574.87,372741.06
2009-10-01,707931.1,354338.07
2009-11-01,707047.99,353879.86
2009-12-01,744232.7,384756.92
2010-01-01,727316.17,363041.89
2010-02-01,731295.17,361950.09
2010-03-01,734336.01,364030.32
2010-04-01,740820.52,370828.0
2010-05-01,747669.57,374376.18
2010-06-01,750774.7,373478.52
2010-07-01,756549.54,379675.94
2010-08-01,755051.43,379494.47
2010-09-01,795425.25,408539.64
2010-10-01,766229.02,383129.22
2010-11-01,763243.38,380294.81
2010-12-01,811772.84,419748.93
2011-01-01,783556.27,395337.23
2011-02-01,785082.43,392857.59
2011-03-01,792198.89,396990.54
2011-04-01,797770.22,400306.04
2011-05-01,807458.95,407100.68
2011-06-01,816079.66,408740.04
2011-07-01,825588.69,418314.74
2011-08-01,825927.93,421222.23
2011-09-01,859117.12,448092.73
2011-10-01,831766.62,422135.0
2011-11-01,832729.24,420486.14
2011-12-01,881352.95,459624.19
