Wage_Date,Skilled,Unskilled
2006-01-01,573542.4,250481.12
2006-02-01,544527.01,248650.15
2006-03-01,540780.61,250533.83
2006-04-01,588340.3,257529.85
2006-05-01,587811.31,261505.08
2006-06-01,595655.59,264316.11
2006-07-01,594982.43,266718.31
2006-08-01,595843.09,267994.68
2006-09-01,621501.75,282541.41
2006-10-01,600185.08,267341.89
2006-11-01,598607.86,266530.11
2006-12-01,628032.45,289192.6
2007-01-01,603708.49,271975.17
2007-02-01,607258.98,273260.51
2007-03-01,606716.95,275957.27
2007-04-01,611693.85,279624.06
2007-05-01,617619.28,283287.07
2007-06-01,619528.71,284423.74
2007-07-01,627748.78,292671.9
2007-08-01,635676.12,297085.49
2007-09-01,663693.83,317298.79
2007-10-01,640162.73,298580.58
2007-11-01,640281.47,297590.96
2007-12-01,679021.18,327588.74
2008-01-01,658666.25,309279.73
2008-02-01,659604.56,307839.46
2008-03-01,663759.05,312670.4
2008-04-01,669264.38,311987.95
2008-05-01,683545.24,321290.32
2008-06-01,683325.28,318669.88
2008-07-01,700743.95,332467.17
2008-08-01,706441.35,336946.62
2008-09-01,737339.54,357011.8
2008-10-01,708011.89,335324.29
2008-11-01,720875.47,337877.76
2008-12-01,759815.02,368085.53
2009-01-01,739764.08,347842.98
2009-02-01,734606.07,345818.94
2009-03-01,733810.53,347928.65
2009-04-01,737211.57,351172.43
2009-05-01,741799.98,355735.5
2009-06-01,741411.42,354003.25
2009-07-01,739535.26,357779.12
2009-08-01,739860.96,358491.9
2009-09-01,769196.76,379244.1
2009-10-01,748063.28,360720.43
2009-11-01,747041.64,360163.44
2009-12-01,785230.75,391184.42
2010-01-01,772211.71,369419.08
2010-02-01,777532.36,368348.15
2010-03-01,777800.71,370540.82
2010-04-01,782337.94,377415.1
2010-05-01,790812.81,380993.05
2010-06-01,794543.91,380169.51
2010-07-01,799142.89,386421.38
2010-08-01,798067.52,386139.27
2010-09-01,837164.64,415605.21
2010-10-01,808530.07,389935.67
2010-11-01,806103.12,386964.95
2010-12-01,856777.02,426636.57
2011-01-01,831799.52,402046.4
2011-02-01,834270.45,399602.08
2011-03-01,838664.83,403831.06
2011-04-01,842820.62,407227.3
2011-05-01,853461.99,414103.82
2011-06-01,863419.99,415848.21
2011-07-01,872240.8,425430.09
2011-08-01,872112.66,428345.02
2011-09-01,904409.59,455470.26
2011-10-01,878819.15,429237.1
2011-11-01,880764.15,427479.52
2011-12-01,931729.98,466805.5
2012-01-01,912847.84,441232.97
2012-02-01,916651.06,440350.9
2012-03-01,918004.97,447268.07
2012-04-01,926479.77,454959.0
2012-05-01,928796.21,456551.58
2012-06-01,933719.66,456245.27
2012-07-01,944003.16,471345.11
2012-08-01,941707.93,470590.62
