Wage_Date,Skilled,Unskilled
2006-01-01,46284,393620
2006-02-01,46716,397178
2006-03-01,47956,405498
2006-04-01,47844,401056
2006-05-01,48051,395268
2006-06-01,48550,395651
2006-07-01,49333,401843
2006-08-01,50258,408419
2006-09-01,50770,407930
2006-10-01,51848,426162
2006-11-01,53000,442071
2006-12-01,54525,450450
2007-01-01,55373,453112
2007-02-01,55765,457199
2007-03-01,57155,468252
2007-04-01,56994,462724
2007-05-01,57275,457455
2007-06-01,57874,458859
2007-07-01,58452,463554
2007-08-01,59456,469572
2007-09-01,59794,466359
2007-10-01,60881,484541
2007-11-01,62088,503284
2007-12-01,63950,514625
2008-01-01,64420,513846
2008-02-01,64400,515263
2008-03-01,65192,521781
2008-04-01,65043,518797
2008-05-01,64646,506812
2008-06-01,65028,511005
2008-07-01,65557,515577
2008-08-01,66199,517973
2008-09-01,66495,517835
2008-10-01,67282,532805
2008-11-01,67511,543435
2008-12-01,68535,548197
2009-01-01,67908,541458
2009-02-01,67321,539048
2009-03-01,67607,535730
2009-04-01,66580,523847
2009-05-01,66108,512296
2009-06-01,66325,514117
2009-07-01,66737,518506
2009-08-01,67195,521074
2009-09-01,67568,522711
2009-10-01,68375,536700
2009-11-01,69268,552693
2009-12-01,70819,565920
2010-01-01,71037,567095
2010-02-01,70828,568172
2010-03-01,71188,568387
2010-04-01,71433,568217
2010-05-01,71384,562034
2010-06-01,71702,562791
2010-07-01,72146,568978
2010-08-01,72911,575360
2010-09-01,73001,574715
2010-10-01,73996,588669
2010-11-01,75119,608179
2010-12-01,76565,619570
2011-01-01,76814,619266
2011-02-01,76604,619192
2011-03-01,77404,625324
2011-04-01,77157,621041
2011-05-01,77139,614458
2011-06-01,77320,614518
2011-07-01,77559,618150
2011-08-01,78223,624055
2011-09-01,78749,624398
2011-10-01,79472,637015
2011-11-01,80558,658558
2011-12-01,81841,671043
2012-01-01,81819,670289
2012-02-01,81526,670985
2012-03-01,82601,674775
2012-04-01,82182,668739
2012-05-01,82240,663652
2012-06-01,82487,665504
