Wage_Date,Skilled,Unskilled
2006-01-01,33092,406812
2006-02-01,33435,410459
2006-03-01,34611,418843
2006-04-01,34676,414224
2006-05-01,34945,408374
2006-06-01,35445,408756
2006-07-01,36020,415156
2006-08-01,36808,421869
2006-09-01,37223,421477
2006-10-01,38069,439941
2006-11-01,38990,456081
2006-12-01,40114,464861
2007-01-01,40713,467772
2007-02-01,41105,471859
2007-03-01,42585,482822
2007-04-01,42674,477044
2007-05-01,43069,471661
2007-06-01,43654,473079
2007-07-01,44185,477821
2007-08-01,45031,483997
2007-09-01,45389,480764
2007-10-01,46295,499127
2007-11-01,47195,518177
2007-12-01,48479,530096
2008-01-01,48635,529631
2008-02-01,48556,531107
2008-03-01,49337,537636
2008-04-01,49371,534469
2008-05-01,49223,522235
2008-06-01,49538,526495
2008-07-01,49969,531165
2008-08-01,50450,533722
2008-09-01,50759,533571
2008-10-01,51308,548779
2008-11-01,51567,559379
2008-12-01,52212,564520
2009-01-01,51570,557796
2009-02-01,51082,555287
2009-03-01,51559,551778
2009-04-01,50981,539446
2009-05-01,50769,527635
2009-06-01,50993,529449
2009-07-01,51282,533961
2009-08-01,51649,536620
2009-09-01,51936,538343
2009-10-01,52584,552491
2009-11-01,53254,568707
2009-12-01,54309,582430
2010-01-01,54263,583869
2010-02-01,54011,584989
2010-03-01,54564,585011
2010-04-01,54935,584715
2010-05-01,54928,578490
2010-06-01,55160,579333
2010-07-01,55459,585665
2010-08-01,56109,592162
2010-09-01,56215,591501
2010-10-01,56977,605688
2010-11-01,57804,625494
2010-12-01,58701,637434
2011-01-01,58577,637503
2011-02-01,58393,637403
2011-03-01,59293,643435
2011-04-01,59329,638869
2011-05-01,59306,632291
2011-06-01,59434,632404
2011-07-01,59660,636049
2011-08-01,60127,642151
2011-09-01,60611,642536
2011-10-01,61134,655353
2011-11-01,61891,677225
2011-12-01,62679,690205
2012-01-01,62461,689647
2012-02-01,62188,690323
2012-03-01,63323,694053
2012-04-01,63236,687685
2012-05-01,63266,682626
2012-06-01,63488,684503
2012-07-01,63698,688531
2012-08-01,64263,694969
2012-09-01,64186,689279
2012-10-01,64812,704611
2012-11-01,65334,720681
2012-12-01,66046,729554
2013-01-01,65783,730305
2013-02-01,65199,725526
2013-03-01,66003,726339
2013-04-01,66047,725798
2013-05-01,65798,715379
2013-06-01,65868,715787
2013-07-01,65977,719230
2013-08-01,66302,721893
2013-09-01,65916,713153
2013-10-01,66320,723598
2013-11-01,66685,737591
2013-12-01,67148,748021
2014-01-01,66556,741947
2014-02-01,65880,738399
2014-03-01,66761,740458
2014-04-01,66600,734745
2014-05-01,66394,725361
2014-06-01,66285,723201
2014-07-01,66393,726696
2014-08-01,66491,727665
2014-09-01,66494,722809
2014-10-01,67044,736848
2014-11-01,67556,753077
2014-12-01,68102,763244
2015-01-01,67567,760047
2015-02-01,67038,755770
2015-03-01,67857,757025
2015-04-01,67474,751883
2015-05-01,67289,741882
2015-06-01,67449,742997
2015-07-01,67643,745728
2015-08-01,67765,747619
2015-09-01,67578,744681
2015-10-01,67955,753384
2015-11-01,68550,767913
2015-12-01,68884,780358
2016-01-01,68182,777856
2016-02-01,67869,775098
2016-03-01,68606,774403
2016-04-01,68573,771212
2016-05-01,68427,761450
2016-06-01,68305,759957
2016-07-01,68346,760416
2016-08-01,68676,762601
2016-09-01,68714,758272
2016-10-01,68842,765267
2016-11-01,69376,784782
2016-12-01,69589,794467
2017-01-01,69009,789417
2017-02-01,68609,783689
2017-03-01,69506,783969
2017-04-01,69336,772681
2017-05-01,69376,769928
2017-06-01,69496,769971
2017-07-01,69716,774239
2017-08-01,69919,776814
2017-09-01,69995,772360
2017-10-01,70554,784856
2017-11-01,71234,807274
2017-12-01,71587,822673
2018-01-01,71157,823638
2018-02-01,70685,816214
2018-03-01,71445,816117
2018-04-01,71532,809225
2018-05-01,71318,800247
2018-06-01,71467,801595
2018-07-01,71528,802171
2018-08-01,71950,807742
2018-09-01,71699,799423
2018-10-01,72437,815226
2018-11-01,73022,835681
2018-12-01,73235,849955
2019-01-01,72723,847977
2019-02-01,72353,843493
2019-03-01,73202,840052
2019-04-01,73123,832653
2019-05-01,72936,824144
2019-06-01,72874,823857
2019-07-01,72980,827594
2019-08-01,73236,830880
2019-09-01,72918,822939
2019-10-01,73280,833041
2019-11-01,73358,848031
2019-12-01,73292,860775
2020-01-01,72613,856114
2020-02-01,72108,850874
2020-03-01,71973,837962
2020-04-01,69044,784332
2020-05-01,67585,759761
2020-06-01,67118,753320
2020-07-01,67128,755136
2020-08-01,67420,759482
2020-09-01,67896,763998
2020-10-01,69102,808703
2020-11-01,70119,840133
2020-12-01,70551,855413
2021-01-01,70720,854748
2021-02-01,70813,852652
2021-03-01,71666,855123
2021-04-01,71844,847168
2021-05-01,71879,838202
2021-06-01,72156,837746
2021-07-01,72538,845589
2021-08-01,73407,861217
2021-09-01,73864,868291
2021-10-01,74149,877661
2021-11-01,74546,898561
2021-12-01,74614,915307
2022-01-01,73869,913864
2022-02-01,73176,906708
2022-03-01,73486,909551
2022-04-01,73031,900453
2022-05-01,72672,897499
2022-06-01,71990,892845
2022-07-01,71491,891441
2022-08-01,71396,893985
2022-09-01,70953,887738
2022-10-01,70612,892570
2022-11-01,70546,913554
2022-12-01,70118,924772
2023-01-01,68904,907285
2023-02-01,68323,897255
2023-03-01,68912,895183
2023-04-01,68651,882571
2023-05-01,68508,880348
2023-06-01,68184,875733
2023-07-01,67940,874345
2023-08-01,67954,875237
2023-09-01,67511,867822
2023-10-01,67628,875493
2023-11-01,67747,887277
2023-12-01,67322,902883
2024-01-01,66690,898405
2024-02-01,66047,884734
2024-03-01,66171,879131
2024-04-01,66059,871654
2024-05-01,65742,865160
2024-06-01,65309,860812
2024-07-01,65339,866554
2024-08-01,65146,867574
2024-09-01,64953,863099
2024-10-01,65122,877140
2024-11-01,65261,897158
2024-12-01,64875,911390
2025-01-01,64121,891231
2025-02-01,63302,875793
2025-03-01,62849,858159
