Wage_Date,Skilled,Unskilled
2006-01-01,10.52,89.48
2006-02-01,10.52,89.48
2006-03-01,10.58,89.42
2006-04-01,10.66,89.34
2006-05-01,10.84,89.16
2006-06-01,10.93,89.07
2006-07-01,10.93,89.07
2006-08-01,10.96,89.04
2006-09-01,11.07,88.93
2006-10-01,10.85,89.15
2006-11-01,10.71,89.29
2006-12-01,10.8,89.2
2007-01-01,10.89,89.11
2007-02-01,10.87,89.13
2007-03-01,10.88,89.12
2007-04-01,10.97,89.03
2007-05-01,11.13,88.87
2007-06-01,11.2,88.8
2007-07-01,11.2,88.8
2007-08-01,11.24,88.76
2007-09-01,11.36,88.64
2007-10-01,11.16,88.84
2007-11-01,10.98,89.02
2007-12-01,11.05,88.95
2008-01-01,11.14,88.86
2008-02-01,11.11,88.89
2008-03-01,11.11,88.89
2008-04-01,11.14,88.86
2008-05-01,11.31,88.69
2008-06-01,11.29,88.71
2008-07-01,11.28,88.72
2008-08-01,11.33,88.67
2008-09-01,11.38,88.62
2008-10-01,11.21,88.79
2008-11-01,11.05,88.95
2008-12-01,11.11,88.89
2009-01-01,11.14,88.86
2009-02-01,11.1,88.9
2009-03-01,11.21,88.79
2009-04-01,11.28,88.72
2009-05-01,11.43,88.57
2009-06-01,11.43,88.57
2009-07-01,11.4,88.6
2009-08-01,11.42,88.58
2009-09-01,11.45,88.55
2009-10-01,11.3,88.7
2009-11-01,11.14,88.86
2009-12-01,11.12,88.88
2010-01-01,11.13,88.87
2010-02-01,11.08,88.92
2010-03-01,11.13,88.87
2010-04-01,11.17,88.83
2010-05-01,11.27,88.73
2010-06-01,11.3,88.7
2010-07-01,11.25,88.75
2010-08-01,11.25,88.75
2010-09-01,11.27,88.73
2010-10-01,11.17,88.83
2010-11-01,10.99,89.01
2010-12-01,11.0,89.0
2011-01-01,11.04,88.96
2011-02-01,11.01,88.99
2011-03-01,11.01,88.99
2011-04-01,11.05,88.95
2011-05-01,11.15,88.85
2011-06-01,11.18,88.82
2011-07-01,11.15,88.85
2011-08-01,11.14,88.86
2011-09-01,11.2,88.8
2011-10-01,11.09,88.91
2011-11-01,10.9,89.1
2011-12-01,10.87,89.13
2012-01-01,10.88,89.12
2012-02-01,10.83,89.17
2012-03-01,10.91,89.09
2012-04-01,10.94,89.06
2012-05-01,11.03,88.97
2012-06-01,11.03,88.97
2012-07-01,11.01,88.99
2012-08-01,11.0,89.0
2012-09-01,11.06,88.94
2012-10-01,10.95,89.05
2012-11-01,10.8,89.2
2012-12-01,10.81,89.19
2013-01-01,10.81,89.19
2013-02-01,10.8,89.2
2013-03-01,10.85,89.15
2013-04-01,10.84,89.16
