Wage_Date,Skilled,Unskilled
2006-01-01,7.52,92.48
2006-02-01,7.53,92.47
2006-03-01,7.63,92.37
2006-04-01,7.72,92.28
2006-05-01,7.88,92.12
2006-06-01,7.98,92.02
2006-07-01,7.98,92.02
2006-08-01,8.02,91.98
2006-09-01,8.11,91.89
2006-10-01,7.96,92.04
2006-11-01,7.88,92.12
2006-12-01,7.94,92.06
2007-01-01,8.01,91.99
2007-02-01,8.01,91.99
2007-03-01,8.11,91.89
2007-04-01,8.21,91.79
2007-05-01,8.37,91.63
2007-06-01,8.45,91.55
2007-07-01,8.46,91.54
2007-08-01,8.51,91.49
2007-09-01,8.63,91.37
2007-10-01,8.49,91.51
2007-11-01,8.35,91.65
2007-12-01,8.38,91.62
2008-01-01,8.41,91.59
2008-02-01,8.38,91.62
2008-03-01,8.41,91.59
2008-04-01,8.46,91.54
2008-05-01,8.61,91.39
2008-06-01,8.6,91.4
2008-07-01,8.6,91.4
2008-08-01,8.64,91.36
2008-09-01,8.69,91.31
2008-10-01,8.55,91.45
2008-11-01,8.44,91.56
2008-12-01,8.47,91.53
2009-01-01,8.46,91.54
2009-02-01,8.42,91.58
2009-03-01,8.55,91.45
2009-04-01,8.63,91.37
2009-05-01,8.78,91.22
2009-06-01,8.79,91.21
2009-07-01,8.76,91.24
2009-08-01,8.78,91.22
2009-09-01,8.8,91.2
2009-10-01,8.69,91.31
2009-11-01,8.56,91.44
2009-12-01,8.53,91.47
2010-01-01,8.5,91.5
2010-02-01,8.45,91.55
2010-03-01,8.53,91.47
2010-04-01,8.59,91.41
2010-05-01,8.67,91.33
2010-06-01,8.69,91.31
2010-07-01,8.65,91.35
2010-08-01,8.66,91.34
2010-09-01,8.68,91.32
2010-10-01,8.6,91.4
2010-11-01,8.46,91.54
2010-12-01,8.43,91.57
2011-01-01,8.42,91.58
2011-02-01,8.39,91.61
2011-03-01,8.44,91.56
2011-04-01,8.5,91.5
2011-05-01,8.58,91.42
2011-06-01,8.59,91.41
2011-07-01,8.58,91.42
2011-08-01,8.56,91.44
2011-09-01,8.62,91.38
2011-10-01,8.53,91.47
2011-11-01,8.37,91.63
2011-12-01,8.33,91.67
2012-01-01,8.3,91.7
2012-02-01,8.26,91.74
2012-03-01,8.36,91.64
2012-04-01,8.42,91.58
2012-05-01,8.48,91.52
