Wage_Date;Skilled;Unskilled
01-01-06;534016.87;244226.95
01-02-06;509707.76;242773.54
01-03-06;507800.07;244812.71
01-04-06;549545.61;251187.2
01-05-06;549120.31;255282.17
01-06-06;557508.13;257887.23
01-07-06;556672.76;260412.11
01-08-06;557087.83;261800.36
01-09-06;581489.92;276112.19
01-10-06;561823.01;261143.91
01-11-06;560016.3;260531.71
01-12-06;588823.47;282977.82
01-01-07;562961.45;266080.89
01-02-07;566732.26;267391.39
01-03-07;568536.12;270222.32
01-04-07;575102.55;273758.7
01-05-07;580366.14;277438.6
01-06-07;583235.25;278493.9
01-07-07;591777.57;286789.76
01-08-07;599078.63;291178.46
01-09-07;627562.01;311125.98
01-10-07;604408.36;292708.2
01-11-07;603928.32;291818.99
01-12-07;641919.69;321529.54
01-01-08;619676.52;303358.7
01-02-08;619382.27;301999.91
01-03-08;623938.71;306867.87
01-04-08;630294.69;305997.23
01-05-08;645376.17;315051.07
01-06-08;643642.76;312568.83
01-07-08;660843.77;326326.2
01-08-08;666648.55;330734.31
01-09-08;696727.91;350593.38
01-10-08;667449.33;329191.06
01-11-08;679820.91;331686.87
01-12-08;717411.12;361636.69
01-01-09;694595.42;341604.42
01-02-09;689328.11;339682.76
01-03-09;690037.52;341814.74
01-04-09;695102.17;344948.62
01-05-09;700281.55;349438.48
01-06-09;700819.27;347569.39
01-07-09;698502.94;351526.35
01-08-09;699255.91;352219.28
01-09-09;728574.87;372741.06
01-10-09;707931.1;354338.07
01-11-09;707047.99;353879.86
01-12-09;744232.7;384756.92
01-01-10;727316.17;363041.89
01-02-10;731295.17;361950.09
01-03-10;734336.01;364030.32
01-04-10;740820.52;370828.0
01-05-10;747669.57;374376.18
01-06-10;750774.7;373478.52
01-07-10;756549.54;379675.94
01-08-10;755051.43;379494.47
01-09-10;795425.25;408539.64
01-10-10;766229.02;383129.22
01-11-10;763243.38;380294.81
01-12-10;811772.84;419748.93
01-01-11;783556.27;395337.23
01-02-11;785082.43;392857.59
01-03-11;792198.89;396990.54
01-04-11;797770.22;400306.04
01-05-11;807458.95;407100.68
01-06-11;816079.66;408740.04
01-07-11;825588.69;418314.74
01-08-11;825927.93;421222.23
01-09-11;859117.12;448092.73
01-10-11;831766.62;422135.0
01-11-11;832729.24;420486.14
01-12-11;881352.95;459624.19
01-01-12;859325.67;434120.79
01-02-12;861804.71;433270.71
01-03-12;865657.6;440192.77
01-04-12;876504.16;447734.43
01-05-12;877149.07;449390.2
01-06-12;881719.63;448994.29
01-07-12;892661.84;464139.33
01-08-12;891052.9;463407.1
01-09-12;934783.9;496646.09
01-10-12;902133.93;467605.53
01-11-12;903528.65;466818.56
01-12-12;955490.73;510880.37
01-01-13;928434.99;480756.71
01-02-13;927169.78;476836.66
01-03-13;936050.14;486507.26
01-04-13;934384.12;487838.91
01-05-13;941765.34;490937.44
01-06-13;944743.42;490812.62
01-07-13;952393.25;498629.08
01-08-13;956285.02;508305.76
01-09-13;998830.05;542359.32
01-10-13;964310.0;511608.58
01-11-13;968967.87;513022.94
01-12-13;1022473.59;553341.0
01-01-14;995003.13;523719.98
01-02-14;997920.86;521392.96
01-03-14;1001840.9;526888.67
01-04-14;1003722.63;529947.72
01-05-14;1012856.99;534269.39
01-06-14;1017924.38;534285.94
01-07-14;1024987.43;544521.92
01-08-14;1028955.04;548203.36
01-09-14;1070390.33;581195.05
01-10-14;1032283.81;545820.47
01-11-14;1040761.76;550828.39
01-12-14;1099870.15;596343.23
01-01-15;1067926.09;564306.29
01-02-15;1065591.32;561578.23
01-03-15;1067725.04;564678.27
