Wage_Date;Skilled;Unskilled
01-01-06;573542.4;250481.12
01-02-06;544527.01;248650.15
01-03-06;540780.61;250533.83
01-04-06;588340.3;257529.85
01-05-06;587811.31;261505.08
01-06-06;595655.59;264316.11
01-07-06;594982.43;266718.31
01-08-06;595843.09;267994.68
01-09-06;621501.75;282541.41
01-10-06;600185.08;267341.89
01-11-06;598607.86;266530.11
01-12-06;628032.45;289192.6
01-01-07;603708.49;271975.17
01-02-07;607258.98;273260.51
01-03-07;606716.95;275957.27
01-04-07;611693.85;279624.06
01-05-07;617619.28;283287.07
01-06-07;619528.71;284423.74
01-07-07;627748.78;292671.9
01-08-07;635676.12;297085.49
01-09-07;663693.83;317298.79
01-10-07;640162.73;298580.58
01-11-07;640281.47;297590.96
01-12-07;679021.18;327588.74
01-01-08;658666.25;309279.73
01-02-08;659604.56;307839.46
01-03-08;663759.05;312670.4
01-04-08;669264.38;311987.95
01-05-08;683545.24;321290.32
01-06-08;683325.28;318669.88
01-07-08;700743.95;332467.17
01-08-08;706441.35;336946.62
01-09-08;737339.54;357011.8
01-10-08;708011.89;335324.29
01-11-08;720875.47;337877.76
01-12-08;759815.02;368085.53
01-01-09;739764.08;347842.98
01-02-09;734606.07;345818.94
01-03-09;733810.53;347928.65
01-04-09;737211.57;351172.43
01-05-09;741799.98;355735.5
01-06-09;741411.42;354003.25
01-07-09;739535.26;357779.12
01-08-09;739860.96;358491.9
01-09-09;769196.76;379244.1
01-10-09;748063.28;360720.43
01-11-09;747041.64;360163.44
01-12-09;785230.75;391184.42
01-01-10;772211.71;369419.08
01-02-10;777532.36;368348.15
01-03-10;777800.71;370540.82
01-04-10;782337.94;377415.1
01-05-10;790812.81;380993.05
01-06-10;794543.91;380169.51
01-07-10;799142.89;386421.38
01-08-10;798067.52;386139.27
01-09-10;837164.64;415605.21
01-10-10;808530.07;389935.67
01-11-10;806103.12;386964.95
01-12-10;856777.02;426636.57
01-01-11;831799.52;402046.4
01-02-11;834270.45;399602.08
01-03-11;838664.83;403831.06
01-04-11;842820.62;407227.3
01-05-11;853461.99;414103.82
01-06-11;863419.99;415848.21
01-07-11;872240.8;425430.09
01-08-11;872112.66;428345.02
01-09-11;904409.59;455470.26
01-10-11;878819.15;429237.1
01-11-11;880764.15;427479.52
01-12-11;931729.98;466805.5
01-01-12;912847.84;441232.97
01-02-12;916651.06;440350.9
01-03-12;918004.97;447268.07
01-04-12;926479.77;454959.0
01-05-12;928796.21;456551.58
01-06-12;933719.66;456245.27
01-07-12;944003.16;471345.11
01-08-12;941707.93;470590.62
