Wage_Date;Skilled;Unskilled
01-01-06;33092;406812
01-02-06;33435;410459
01-03-06;34611;418843
01-04-06;34676;414224
01-05-06;34945;408374
01-06-06;35445;408756
01-07-06;36020;415156
01-08-06;36808;421869
01-09-06;37223;421477
01-10-06;38069;439941
01-11-06;38990;456081
01-12-06;40114;464861
01-01-07;40713;467772
01-02-07;41105;471859
01-03-07;42585;482822
01-04-07;42674;477044
01-05-07;43069;471661
01-06-07;43654;473079
01-07-07;44185;477821
01-08-07;45031;483997
01-09-07;45389;480764
01-10-07;46295;499127
01-11-07;47195;518177
01-12-07;48479;530096
01-01-08;48635;529631
01-02-08;48556;531107
01-03-08;49337;537636
01-04-08;49371;534469
01-05-08;49223;522235
01-06-08;49538;526495
01-07-08;49969;531165
01-08-08;50450;533722
01-09-08;50759;533571
01-10-08;51308;548779
01-11-08;51567;559379
01-12-08;52212;564520
01-01-09;51570;557796
01-02-09;51082;555287
01-03-09;51559;551778
01-04-09;50981;539446
01-05-09;50769;527635
01-06-09;50993;529449
01-07-09;51282;533961
01-08-09;51649;536620
01-09-09;51936;538343
01-10-09;52584;552491
01-11-09;53254;568707
01-12-09;54309;582430
01-01-10;54263;583869
01-02-10;54011;584989
01-03-10;54564;585011
01-04-10;54935;584715
01-05-10;54928;578490
01-06-10;55160;579333
01-07-10;55459;585665
01-08-10;56109;592162
01-09-10;56215;591501
01-10-10;56977;605688
01-11-10;57804;625494
01-12-10;58701;637434
01-01-11;58577;637503
01-02-11;58393;637403
01-03-11;59293;643435
01-04-11;59329;638869
01-05-11;59306;632291
01-06-11;59434;632404
01-07-11;59660;636049
01-08-11;60127;642151
01-09-11;60611;642536
01-10-11;61134;655353
01-11-11;61891;677225
01-12-11;62679;690205
01-01-12;62461;689647
01-02-12;62188;690323
01-03-12;63323;694053
01-04-12;63236;687685
01-05-12;63266;682626
01-06-12;63488;684503
01-07-12;63698;688531
01-08-12;64263;694969
01-09-12;64186;689279
01-10-12;64812;704611
01-11-12;65334;720681
01-12-12;66046;729554
01-01-13;65783;730305
01-02-13;65199;725526
01-03-13;66003;726339
01-04-13;66047;725798
01-05-13;65798;715379
01-06-13;65868;715787
01-07-13;65977;719230
01-08-13;66302;721893
01-09-13;65916;713153
01-10-13;66320;723598
01-11-13;66685;737591
01-12-13;67148;748021
01-01-14;66556;741947
01-02-14;65880;738399
01-03-14;66761;740458
01-04-14;66600;734745
01-05-14;66394;725361
01-06-14;66285;723201
01-07-14;66393;726696
01-08-14;66491;727665
01-09-14;66494;722809
01-10-14;67044;736848
01-11-14;67556;753077
01-12-14;68102;763244
01-01-15;67567;760047
01-02-15;67038;755770
01-03-15;67857;757025
01-04-15;67474;751883
01-05-15;67289;741882
01-06-15;67449;742997
01-07-15;67643;745728
01-08-15;67765;747619
01-09-15;67578;744681
01-10-15;67955;753384
01-11-15;68550;767913
01-12-15;68884;780358
01-01-16;68182;777856
01-02-16;67869;775098
01-03-16;68606;774403
01-04-16;68573;771212
01-05-16;68427;761450
01-06-16;68305;759957
01-07-16;68346;760416
01-08-16;68676;762601
01-09-16;68714;758272
01-10-16;68842;765267
01-11-16;69376;784782
01-12-16;69589;794467
01-01-17;69009;789417
01-02-17;68609;783689
01-03-17;69506;783969
01-04-17;69336;772681
01-05-17;69376;769928
01-06-17;69496;769971
01-07-17;69716;774239
01-08-17;69919;776814
01-09-17;69995;772360
01-10-17;70554;784856
01-11-17;71234;807274
01-12-17;71587;822673
01-01-18;71157;823638
01-02-18;70685;816214
01-03-18;71445;816117
01-04-18;71532;809225
01-05-18;71318;800247
01-06-18;71467;801595
01-07-18;71528;802171
01-08-18;71950;807742
01-09-18;71699;799423
01-10-18;72437;815226
01-11-18;73022;835681
01-12-18;73235;849955
01-01-19;72723;847977
01-02-19;72353;843493
01-03-19;73202;840052
01-04-19;73123;832653
01-05-19;72936;824144
01-06-19;72874;823857
01-07-19;72980;827594
01-08-19;73236;830880
01-09-19;72918;822939
01-10-19;73280;833041
01-11-19;73358;848031
01-12-19;73292;860775
01-01-20;72613;856114
01-02-20;72108;850874
01-03-20;71973;837962
01-04-20;69044;784332
01-05-20;67585;759761
01-06-20;67118;753320
01-07-20;67128;755136
01-08-20;67420;759482
01-09-20;67896;763998
01-10-20;69102;808703
01-11-20;70119;840133
01-12-20;70551;855413
01-01-21;70720;854748
01-02-21;70813;852652
01-03-21;71666;855123
01-04-21;71844;847168
01-05-21;71879;838202
01-06-21;72156;837746
01-07-21;72538;845589
01-08-21;73407;861217
01-09-21;73864;868291
01-10-21;74149;877661
01-11-21;74546;898561
01-12-21;74614;915307
01-01-22;73869;913864
01-02-22;73176;906708
01-03-22;73486;909551
01-04-22;73031;900453
01-05-22;72672;897499
01-06-22;71990;892845
01-07-22;71491;891441
01-08-22;71396;893985
01-09-22;70953;887738
01-10-22;70612;892570
01-11-22;70546;913554
01-12-22;70118;924772
01-01-23;68904;907285
01-02-23;68323;897255
01-03-23;68912;895183
01-04-23;68651;882571
01-05-23;68508;880348
01-06-23;68184;875733
01-07-23;67940;874345
01-08-23;67954;875237
01-09-23;67511;867822
01-10-23;67628;875493
01-11-23;67747;887277
01-12-23;67322;902883
01-01-24;66690;898405
01-02-24;66047;884734
01-03-24;66171;879131
01-04-24;66059;871654
01-05-24;65742;865160
01-06-24;65309;860812
01-07-24;65339;866554
01-08-24;65146;867574
01-09-24;64953;863099
01-10-24;65122;877140
01-11-24;65261;897158
01-12-24;64875;911390
01-01-25;64121;891231
01-02-25;63302;875793
01-03-25;62849;858159
