Wage_Date;Skill_Broad;Income_Skill;Total_Income;Share_Income
01-01-06;Skilled;25998077448.0;126906304392.0;20.49
01-01-06;Unskilled;100908226944.0;126906304392.0;79.51
01-02-06;Skilled;24946117056.0;125890625556.0;19.82
01-02-06;Unskilled;100944508500.0;125890625556.0;80.18
01-03-06;Skilled;25857179532.0;130619638656.0;19.8
01-03-06;Unskilled;104762459124.0;130619638656.0;80.2
01-04-06;Skilled;27953186832.0;134279471880.0;20.82
01-04-06;Unskilled;106326285048.0;134279471880.0;79.18
01-05-06;Skilled;28071579456.0;134068310280.0;20.94
01-05-06;Unskilled;105996730824.0;134068310280.0;79.06
01-06-06;Skilled;28701076212.0;135336413520.0;21.21
01-06-06;Unskilled;106635337308.0;135336413520.0;78.79
01-07-06;Skilled;29262617172.0;139119809224.0;21.03
01-07-06;Unskilled;109857192052.0;139119809224.0;78.97
01-08-06;Skilled;29923972596.0;142580330820.0;20.99
01-08-06;Unskilled;112656358224.0;142580330820.0;79.01
01-09-06;Skilled;31386500172.0;149496252228.0;20.99
01-09-06;Unskilled;118109752056.0;149496252228.0;79.01
01-10-06;Skilled;31053081420.0;148259168424.0;20.95
01-10-06;Unskilled;117206087004.0;148259168424.0;79.05
01-11-06;Skilled;31694122692.0;153339765588.0;20.67
01-11-06;Unskilled;121645642896.0;153339765588.0;79.33
01-12-06;Skilled;34152938784.0;168014183796.0;20.33
01-12-06;Unskilled;133861245012.0;168014183796.0;79.67
01-01-07;Skilled;33177570156.0;161081855064.0;20.6
01-01-07;Unskilled;127904284908.0;161081855064.0;79.4
01-02-07;Skilled;33323290272.0;162169306848.0;20.55
01-02-07;Unskilled;128846016576.0;162169306848.0;79.45
01-03-07;Skilled;34694348328.0;168814604700.0;20.55
01-03-07;Unskilled;134120256372.0;168814604700.0;79.45
01-04-07;Skilled;35150843160.0;169696945476.0;20.71
01-04-07;Unskilled;134546102316.0;169696945476.0;79.29
01-05-07;Skilled;35538720624.0;169616748060.0;20.95
01-05-07;Unskilled;134078027436.0;169616748060.0;79.05
01-06-07;Skilled;36364717800.0;171637283700.0;21.19
01-06-07;Unskilled;135272565900.0;171637283700.0;78.81
01-07-07;Skilled;37196770644.0;177993620100.0;20.9
01-07-07;Unskilled;140796849456.0;177993620100.0;79.1
01-08-07;Skilled;38391354792.0;183836162088.0;20.88
01-08-07;Unskilled;145444807296.0;183836162088.0;79.12
01-09-07;Skilled;39946204656.0;192216550104.0;20.78
01-09-07;Unskilled;152270345448.0;192216550104.0;79.22
01-10-07;Skilled;39459404412.0;189873954108.0;20.78
01-10-07;Unskilled;150414549696.0;189873954108.0;79.22
01-11-07;Skilled;40228873560.0;196155054036.0;20.51
01-11-07;Unskilled;155926180476.0;196155054036.0;79.49
01-12-07;Skilled;43782132780.0;218397752712.0;20.05
01-12-07;Unskilled;174615619932.0;218397752712.0;79.95
01-01-08;Skilled;42504852132.0;208182994740.0;20.42
01-01-08;Unskilled;165678142608.0;208182994740.0;79.58
01-02-08;Skilled;42350881824.0;207544829868.0;20.41
01-02-08;Unskilled;165193948044.0;207544829868.0;79.59
01-03-08;Skilled;43549673976.0;213915351996.0;20.36
01-03-08;Unskilled;170365678020.0;213915351996.0;79.64
01-04-08;Skilled;44137016244.0;213725883528.0;20.65
01-04-08;Unskilled;169588867284.0;213725883528.0;79.35
01-05-08;Skilled;44677456272.0;213565937076.0;20.92
01-05-08;Unskilled;168888480804.0;213565937076.0;79.08
01-06-08;Skilled;45066579048.0;215157159864.0;20.95
01-06-08;Unskilled;170090580816.0;215157159864.0;79.05
01-07-08;Skilled;46465247160.0;225083809152.0;20.64
01-07-08;Unskilled;178618561992.0;225083809152.0;79.36
01-08-08;Skilled;47314047420.0;228812765652.0;20.68
01-08-08;Unskilled;181498718232.0;228812765652.0;79.32
01-09-08;Skilled;49472558892.0;241011187200.0;20.53
01-09-08;Unskilled;191538628308.0;241011187200.0;79.47
01-10-08;Skilled;48221211528.0;234628611264.0;20.55
01-10-08;Unskilled;186407399736.0;234628611264.0;79.45
01-11-08;Skilled;49198639320.0;240677820900.0;20.44
01-11-08;Unskilled;191479181580.0;240677820900.0;79.56
01-12-08;Skilled;52621388056.0;262455650376.0;20.05
01-12-08;Unskilled;209834262320.0;262455650376.0;79.95
01-01-09;Skilled;50161597128.0;245945680164.0;20.4
01-01-09;Unskilled;195784083036.0;245945680164.0;79.6
01-02-09;Skilled;49247668404.0;242512551252.0;20.31
01-02-09;Unskilled;193264882848.0;242512551252.0;79.69
01-03-09;Skilled;50056701588.0;244762239528.0;20.45
01-03-09;Unskilled;194705537940.0;244762239528.0;79.55
01-04-09;Skilled;49868019900.0;243015447492.0;20.52
01-04-09;Unskilled;193147427592.0;243015447492.0;79.48
01-05-09;Skilled;49582735164.0;238915839780.0;20.75
01-05-09;Unskilled;189333104616.0;238915839780.0;79.25
01-06-09;Skilled;50313917736.0;239855321088.0;20.98
01-06-09;Unskilled;189541403352.0;239855321088.0;79.02
01-07-09;Skilled;50950201104.0;245782275264.0;20.73
01-07-09;Unskilled;194832074160.0;245782275264.0;79.27
01-08-09;Skilled;51275736828.0;248836587372.0;20.61
01-08-09;Unskilled;197560850544.0;248836587372.0;79.39
01-09-09;Skilled;53065751004.0;259942259484.0;20.41
