Wage_Date;Skilled;Unskilled
01-01-06;10.52;89.48
01-02-06;10.52;89.48
01-03-06;10.58;89.42
01-04-06;10.66;89.34
01-05-06;10.84;89.16
01-06-06;10.93;89.07
01-07-06;10.93;89.07
01-08-06;10.96;89.04
01-09-06;11.07;88.93
01-10-06;10.85;89.15
01-11-06;10.71;89.29
01-12-06;10.8;89.2
01-01-07;10.89;89.11
01-02-07;10.87;89.13
01-03-07;10.88;89.12
01-04-07;10.97;89.03
01-05-07;11.13;88.87
01-06-07;11.2;88.8
01-07-07;11.2;88.8
01-08-07;11.24;88.76
01-09-07;11.36;88.64
01-10-07;11.16;88.84
01-11-07;10.98;89.02
01-12-07;11.05;88.95
01-01-08;11.14;88.86
01-02-08;11.11;88.89
01-03-08;11.11;88.89
01-04-08;11.14;88.86
01-05-08;11.31;88.69
01-06-08;11.29;88.71
01-07-08;11.28;88.72
01-08-08;11.33;88.67
01-09-08;11.38;88.62
01-10-08;11.21;88.79
01-11-08;11.05;88.95
01-12-08;11.11;88.89
01-01-09;11.14;88.86
01-02-09;11.1;88.9
01-03-09;11.21;88.79
01-04-09;11.28;88.72
01-05-09;11.43;88.57
01-06-09;11.43;88.57
01-07-09;11.4;88.6
01-08-09;11.42;88.58
01-09-09;11.45;88.55
01-10-09;11.3;88.7
01-11-09;11.14;88.86
01-12-09;11.12;88.88
01-01-10;11.13;88.87
01-02-10;11.08;88.92
01-03-10;11.13;88.87
01-04-10;11.17;88.83
01-05-10;11.27;88.73
01-06-10;11.3;88.7
01-07-10;11.25;88.75
01-08-10;11.25;88.75
01-09-10;11.27;88.73
01-10-10;11.17;88.83
01-11-10;10.99;89.01
01-12-10;11.0;89.0
01-01-11;11.04;88.96
01-02-11;11.01;88.99
01-03-11;11.01;88.99
01-04-11;11.05;88.95
01-05-11;11.15;88.85
01-06-11;11.18;88.82
01-07-11;11.15;88.85
01-08-11;11.14;88.86
01-09-11;11.2;88.8
01-10-11;11.09;88.91
01-11-11;10.9;89.1
01-12-11;10.87;89.13
01-01-12;10.88;89.12
01-02-12;10.83;89.17
01-03-12;10.91;89.09
01-04-12;10.94;89.06
01-05-12;11.03;88.97
01-06-12;11.03;88.97
01-07-12;11.01;88.99
01-08-12;11.0;89.0
01-09-12;11.06;88.94
01-10-12;10.95;89.05
01-11-12;10.8;89.2
01-12-12;10.81;89.19
01-01-13;10.81;89.19
01-02-13;10.8;89.2
01-03-13;10.85;89.15
01-04-13;10.84;89.16
01-05-13;10.93;89.07
01-06-13;10.93;89.07
01-07-13;10.9;89.1
01-08-13;10.91;89.09
01-09-13;10.96;89.04
01-10-13;10.88;89.12
01-11-13;10.74;89.26
01-12-13;10.71;89.29
01-01-14;10.73;89.27
01-02-14;10.7;89.3
01-03-14;10.74;89.26
01-04-14;10.76;89.24
01-05-14;10.84;89.16
01-06-14;10.85;89.15
01-07-14;10.82;89.18
01-08-14;10.82;89.18
01-09-14;10.88;89.12
01-10-14;10.78;89.22
01-11-14;10.65;89.35
01-12-14;10.62;89.38
01-01-15;10.61;89.39
01-02-15;10.61;89.39
01-03-15;10.64;89.36
01-04-15;10.64;89.36
01-05-15;10.74;89.26
01-06-15;10.73;89.27
01-07-15;10.73;89.27
01-08-15;10.73;89.27
01-09-15;10.74;89.26
01-10-15;10.68;89.32
01-11-15;10.57;89.43
01-12-15;10.49;89.51
01-01-16;10.46;89.54
01-02-16;10.46;89.54
01-03-16;10.52;89.48
01-04-16;10.53;89.47
01-05-16;10.62;89.38
