Wage_Date,State_From,State_To,count,total_from,probability
2006-02-01,Employment,Employment,43769,46215,0.947073
2006-02-01,Employment,Unemployment,2446,46215,0.052927
2006-03-01,Employment,Employment,43210,46566,0.92793
2006-03-01,Employment,Unemployment,3356,46566,0.07207
2006-03-01,Unemployment,Employment,652,2446,0.266558
2006-03-01,Unemployment,Unemployment,1794,2446,0.733442
2006-04-01,Employment,Employment,44714,47857,0.934325
2006-04-01,Employment,Unemployment,3143,47857,0.065675
2006-04-01,Unemployment,Employment,769,5150,0.14932
2006-04-01,Unemployment,Unemployment,4381,5150,0.85068
2006-05-01,Employment,Employment,45307,47757,0.948699
2006-05-01,Employment,Unemployment,2450,47757,0.051301
2006-05-01,Unemployment,Employment,950,7524,0.126263
2006-05-01,Unemployment,Unemployment,6574,7524,0.873737
2006-06-01,Employment,Employment,45946,47973,0.957747
2006-06-01,Employment,Unemployment,2027,47973,0.042253
2006-06-01,Unemployment,Employment,1026,9024,0.113697
2006-06-01,Unemployment,Unemployment,7998,9024,0.886303
2006-07-01,Employment,Employment,46634,48482,0.961883
2006-07-01,Employment,Unemployment,1848,48482,0.038117
2006-07-01,Unemployment,Employment,1156,10025,0.115312
2006-07-01,Unemployment,Unemployment,8869,10025,0.884688
2006-08-01,Employment,Employment,47322,49253,0.960794
2006-08-01,Employment,Unemployment,1931,49253,0.039206
2006-08-01,Unemployment,Employment,1331,10717,0.124195
2006-08-01,Unemployment,Unemployment,9386,10717,0.875805
2006-09-01,Employment,Employment,48132,50190,0.958996
2006-09-01,Employment,Unemployment,2058,50190,0.041004
2006-09-01,Unemployment,Employment,1258,11317,0.11116
2006-09-01,Unemployment,Unemployment,10059,11317,0.88884
2006-10-01,Employment,Employment,48875,50695,0.964099
2006-10-01,Employment,Unemployment,1820,50695,0.035901
2006-10-01,Unemployment,Employment,1493,12117,0.123215
2006-10-01,Unemployment,Unemployment,10624,12117,0.876785
2006-11-01,Employment,Employment,49913,51791,0.963739
2006-11-01,Employment,Unemployment,1878,51791,0.036261
2006-11-01,Unemployment,Employment,1599,12444,0.128496
2006-11-01,Unemployment,Unemployment,10845,12444,0.871504
