Wage_Date,State_From,Employment,Unemployment
2006-02-01,Employment,0.947073,0.052927
2006-03-01,Employment,0.92793,0.07207
2006-03-01,Unemployment,0.266558,0.733442
2006-04-01,Employment,0.934325,0.065675
2006-04-01,Unemployment,0.14932,0.85068
2006-05-01,Employment,0.948699,0.051301
2006-05-01,Unemployment,0.126263,0.873737
2006-06-01,Employment,0.957747,0.042253
2006-06-01,Unemployment,0.113697,0.886303
2006-07-01,Employment,0.961883,0.038117
2006-07-01,Unemployment,0.115312,0.884688
2006-08-01,Employment,0.960794,0.039206
2006-08-01,Unemployment,0.124195,0.875805
2006-09-01,Employment,0.958996,0.041004
2006-09-01,Unemployment,0.11116,0.88884
2006-10-01,Employment,0.964099,0.035901
2006-10-01,Unemployment,0.123215,0.876785
2006-11-01,Employment,0.963739,0.036261
2006-11-01,Unemployment,0.128496,0.871504
2006-12-01,Employment,0.961272,0.038728
2006-12-01,Unemployment,0.141476,0.858524
2007-01-01,Employment,0.931453,0.068547
2007-01-01,Unemployment,0.173528,0.826472
2007-02-01,Employment,0.946546,0.053454
2007-02-01,Unemployment,0.130441,0.869559
2007-03-01,Employment,0.933143,0.066857
2007-03-01,Unemployment,0.184021,0.815979
2007-04-01,Employment,0.937044,0.062956
2007-04-01,Unemployment,0.128861,0.871139
2007-05-01,Employment,0.952117,0.047883
2007-05-01,Unemployment,0.101635,0.898365
2007-06-01,Employment,0.960837,0.039163
2007-06-01,Unemployment,0.095913,0.904087
2007-07-01,Employment,0.962681,0.037319
2007-07-01,Unemployment,0.091482,0.908518
2007-08-01,Employment,0.964401,0.035599
2007-08-01,Unemployment,0.098546,0.901454
2007-09-01,Employment,0.963098,0.036902
2007-09-01,Unemployment,0.086987,0.913013
2007-10-01,Employment,0.967133,0.032867
2007-10-01,Unemployment,0.102018,0.897982
2007-11-01,Employment,0.9655,0.0345
2007-11-01,Unemployment,0.108146,0.891854
2007-12-01,Employment,0.963073,0.036927
2007-12-01,Unemployment,0.12404,0.87596
2008-01-01,Employment,0.934927,0.065073
2008-01-01,Unemployment,0.144067,0.855933
2008-02-01,Employment,0.946883,0.053117
2008-02-01,Unemployment,0.110759,0.889241
2008-03-01,Employment,0.933276,0.066724
2008-03-01,Unemployment,0.162945,0.837055
2008-04-01,Employment,0.941139,0.058861
2008-04-01,Unemployment,0.116425,0.883575
2008-05-01,Employment,0.951005,0.048995
2008-05-01,Unemployment,0.085368,0.914632
2008-06-01,Employment,0.960138,0.039862
2008-06-01,Unemployment,0.086996,0.913004
2008-07-01,Employment,0.962978,0.037022
2008-07-01,Unemployment,0.0873,0.9127
2008-08-01,Employment,0.96107,0.03893
2008-08-01,Unemployment,0.092164,0.907836
2008-09-01,Employment,0.962675,0.037325
2008-09-01,Unemployment,0.081341,0.918659
2008-10-01,Employment,0.963981,0.036019
2008-10-01,Unemployment,0.09173,0.90827
2008-11-01,Employment,0.96023,0.03977
2008-11-01,Unemployment,0.086608,0.913392
2008-12-01,Employment,0.960011,0.039989
2008-12-01,Unemployment,0.100522,0.899478
2009-01-01,Employment,0.932411,0.067589
2009-01-01,Unemployment,0.112954,0.887046
2009-02-01,Employment,0.948062,0.051938
2009-02-01,Unemployment,0.082431,0.917569
2009-03-01,Employment,0.934753,0.065247
2009-03-01,Unemployment,0.125259,0.874741
2009-04-01,Employment,0.93678,0.06322
2009-04-01,Unemployment,0.087925,0.912075
2009-05-01,Employment,0.950396,0.049604
