Wage_Date,State_From,Employment,Unemployment
2006-02-01,Employment,0.916858,0.083142
2006-03-01,Employment,0.915907,0.084093
2006-03-01,Unemployment,0.287565,0.712435
2006-04-01,Employment,0.908052,0.091948
2006-04-01,Unemployment,0.200883,0.799117
2006-05-01,Employment,0.910329,0.089671
2006-05-01,Unemployment,0.172379,0.827621
2006-06-01,Employment,0.923748,0.076252
2006-06-01,Unemployment,0.159482,0.840518
2006-07-01,Employment,0.935158,0.064842
2006-07-01,Unemployment,0.15523,0.84477
2006-08-01,Employment,0.935731,0.064269
2006-08-01,Unemployment,0.153479,0.846521
2006-09-01,Employment,0.928627,0.071373
2006-09-01,Unemployment,0.137037,0.862963
2006-10-01,Employment,0.941767,0.058233
2006-10-01,Unemployment,0.198897,0.801103
2006-11-01,Employment,0.941289,0.058711
2006-11-01,Unemployment,0.191311,0.808689
2006-12-01,Employment,0.937212,0.062788
2006-12-01,Unemployment,0.164075,0.835925
2007-01-01,Employment,0.905543,0.094457
2007-01-01,Unemployment,0.194154,0.805846
2007-02-01,Employment,0.921771,0.078229
2007-02-01,Unemployment,0.171182,0.828818
2007-03-01,Employment,0.921623,0.078377
2007-03-01,Unemployment,0.190476,0.809524
2007-04-01,Employment,0.913654,0.086346
2007-04-01,Unemployment,0.152325,0.847675
2007-05-01,Employment,0.91882,0.08118
2007-05-01,Unemployment,0.128376,0.871624
2007-06-01,Employment,0.931042,0.068958
2007-06-01,Unemployment,0.124769,0.875231
2007-07-01,Employment,0.939317,0.060683
2007-07-01,Unemployment,0.120052,0.879948
2007-08-01,Employment,0.94138,0.05862
2007-08-01,Unemployment,0.120668,0.879332
2007-09-01,Employment,0.932847,0.067153
2007-09-01,Unemployment,0.104312,0.895688
2007-10-01,Employment,0.945764,0.054236
2007-10-01,Unemployment,0.157681,0.842319
2007-11-01,Employment,0.946569,0.053431
2007-11-01,Unemployment,0.162831,0.837169
2007-12-01,Employment,0.943716,0.056284
2007-12-01,Unemployment,0.139664,0.860336
2008-01-01,Employment,0.912939,0.087061
2008-01-01,Unemployment,0.155923,0.844077
2008-02-01,Employment,0.925935,0.074065
2008-02-01,Unemployment,0.141573,0.858427
2008-03-01,Employment,0.925085,0.074915
2008-03-01,Unemployment,0.158648,0.841352
2008-04-01,Employment,0.922065,0.077935
2008-04-01,Unemployment,0.13342,0.86658
2008-05-01,Employment,0.918431,0.081569
2008-05-01,Unemployment,0.103928,0.896072
2008-06-01,Employment,0.93752,0.06248
2008-06-01,Unemployment,0.11784,0.88216
2008-07-01,Employment,0.942291,0.057709
2008-07-01,Unemployment,0.110261,0.889739
2008-08-01,Employment,0.940576,0.059424
2008-08-01,Unemployment,0.103749,0.896251
2008-09-01,Employment,0.940926,0.059074
2008-09-01,Unemployment,0.097041,0.902959
2008-10-01,Employment,0.94648,0.05352
2008-10-01,Unemployment,0.135621,0.864379
2008-11-01,Employment,0.943088,0.056912
2008-11-01,Unemployment,0.133494,0.866506
2008-12-01,Employment,0.939799,0.060201
2008-12-01,Unemployment,0.115862,0.884138
2009-01-01,Employment,0.914618,0.085382
2009-01-01,Unemployment,0.124807,0.875193
2009-02-01,Employment,0.928151,0.071849
2009-02-01,Unemployment,0.115632,0.884368
2009-03-01,Employment,0.924317,0.075683
2009-03-01,Unemployment,0.11378,0.88622
2009-04-01,Employment,0.915848,0.084152
2009-04-01,Unemployment,0.101214,0.898786
2009-05-01,Employment,0.92082,0.07918
2009-05-01,Unemployment,0.085836,0.914164
2009-06-01,Employment,0.938706,0.061294
2009-06-01,Unemployment,0.091759,0.908241
2009-07-01,Employment,0.944759,0.055241
2009-07-01,Unemployment,0.089458,0.910542
2009-08-01,Employment,0.943969,0.056031
2009-08-01,Unemployment,0.085546,0.914454
2009-09-01,Employment,0.943307,0.056693
2009-09-01,Unemployment,0.085328,0.914672
2009-10-01,Employment,0.951544,0.048456
2009-10-01,Unemployment,0.108253,0.891747
2009-11-01,Employment,0.953139,0.046861
2009-11-01,Unemployment,0.114494,0.885506
2009-12-01,Employment,0.949872,0.050128
2009-12-01,Unemployment,0.10949,0.89051
2010-01-01,Employment,0.925756,0.074244
2010-01-01,Unemployment,0.11781,0.88219
2010-02-01,Employment,0.936569,0.063431
2010-02-01,Unemployment,0.105118,0.894882
2010-03-01,Employment,0.930714,0.069286
2010-03-01,Unemployment,0.109982,0.890018
2010-04-01,Employment,0.932158,0.067842
2010-04-01,Unemployment,0.106714,0.893286
2010-05-01,Employment,0.930036,0.069964
2010-05-01,Unemployment,0.090919,0.909081
2010-06-01,Employment,0.94286,0.05714
2010-06-01,Unemployment,0.087884,0.912116
2010-07-01,Employment,0.949939,0.050061
2010-07-01,Unemployment,0.091286,0.908714
2010-08-01,Employment,0.95175,0.04825
2010-08-01,Unemployment,0.089831,0.910169
2010-09-01,Employment,0.947482,0.052518
2010-09-01,Unemployment,0.080193,0.919807
2010-10-01,Employment,0.953833,0.046167
2010-10-01,Unemployment,0.10855,0.89145
2010-11-01,Employment,0.956565,0.043435
