Wage_Date,State_From,State_To,count,total_from,probability
2006-02-01,Employment,Employment,31378,33056,0.949238
2006-02-01,Employment,Unemployment,1678,33056,0.050762
2006-03-01,Employment,Employment,31062,33357,0.931199
2006-03-01,Employment,Unemployment,2295,33357,0.068801
2006-03-01,Unemployment,Employment,435,1678,0.259237
2006-03-01,Unemployment,Unemployment,1243,1678,0.740763
2006-04-01,Employment,Employment,32461,34562,0.939211
2006-04-01,Employment,Unemployment,2101,34562,0.060789
2006-04-01,Unemployment,Employment,500,3538,0.141323
2006-04-01,Unemployment,Unemployment,3038,3538,0.858677
2006-05-01,Employment,Employment,32976,34626,0.952348
2006-05-01,Employment,Unemployment,1650,34626,0.047652
2006-05-01,Unemployment,Employment,616,5139,0.119868
2006-05-01,Unemployment,Unemployment,4523,5139,0.880132
2006-06-01,Employment,Employment,33566,34909,0.961529
2006-06-01,Employment,Unemployment,1343,34909,0.038471
2006-06-01,Unemployment,Employment,681,6173,0.110319
2006-06-01,Unemployment,Unemployment,5492,6173,0.889681
2006-07-01,Employment,Employment,34128,35409,0.963823
2006-07-01,Employment,Unemployment,1281,35409,0.036177
2006-07-01,Unemployment,Employment,745,6835,0.108998
2006-07-01,Unemployment,Unemployment,6090,6835,0.891002
2006-08-01,Employment,Employment,34658,35975,0.963391
2006-08-01,Employment,Unemployment,1317,35975,0.036609
2006-08-01,Unemployment,Employment,915,7371,0.124135
2006-08-01,Unemployment,Unemployment,6456,7371,0.875865
2006-09-01,Employment,Employment,35379,36762,0.96238
2006-09-01,Employment,Unemployment,1383,36762,0.03762
2006-09-01,Unemployment,Employment,810,7773,0.104207
2006-09-01,Unemployment,Unemployment,6963,7773,0.895793
2006-10-01,Employment,Employment,35910,37183,0.965764
2006-10-01,Employment,Unemployment,1273,37183,0.034236
2006-10-01,Unemployment,Employment,1012,8346,0.121256
2006-10-01,Unemployment,Unemployment,7334,8346,0.878744
2006-11-01,Employment,Employment,36754,38041,0.966168
2006-11-01,Employment,Unemployment,1287,38041,0.033832
2006-11-01,Unemployment,Employment,1076,8607,0.125015
2006-11-01,Unemployment,Unemployment,7531,8607,0.874985
2006-12-01,Employment,Employment,37527,38939,0.963738
2006-12-01,Employment,Unemployment,1412,38939,0.036262
2006-12-01,Unemployment,Employment,1206,8818,0.136766
2006-12-01,Unemployment,Unemployment,7612,8818,0.863234
2007-01-01,Employment,Employment,37402,40049,0.933906
2007-01-01,Employment,Unemployment,2647,40049,0.066094
2007-01-01,Unemployment,Employment,1472,9024,0.163121
2007-01-01,Unemployment,Unemployment,7552,9024,0.836879
2007-02-01,Employment,Employment,38627,40659,0.950023
2007-02-01,Employment,Unemployment,2032,40659,0.049977
2007-02-01,Unemployment,Employment,1263,10199,0.123836
2007-02-01,Unemployment,Unemployment,8936,10199,0.876164
2007-03-01,Employment,Employment,38539,41037,0.939128
2007-03-01,Employment,Unemployment,2498,41037,0.060872
2007-03-01,Unemployment,Employment,2045,10968,0.186451
2007-03-01,Unemployment,Unemployment,8923,10968,0.813549
2007-04-01,Employment,Employment,40082,42494,0.943239
2007-04-01,Employment,Unemployment,2412,42494,0.056761
2007-04-01,Unemployment,Employment,1397,11421,0.122319
2007-04-01,Unemployment,Unemployment,10024,11421,0.877681
2007-05-01,Employment,Employment,40801,42623,0.957253
2007-05-01,Employment,Unemployment,1822,42623,0.042747
2007-05-01,Unemployment,Employment,1224,12436,0.098424
2007-05-01,Unemployment,Unemployment,11212,12436,0.901576
2007-06-01,Employment,Employment,41512,43011,0.965148
2007-06-01,Employment,Unemployment,1499,43011,0.034852
2007-06-01,Unemployment,Employment,1213,13034,0.093064
2007-06-01,Unemployment,Unemployment,11821,13034,0.906936
2007-07-01,Employment,Employment,42155,43603,0.966791
2007-07-01,Employment,Unemployment,1448,43603,0.033209
2007-07-01,Unemployment,Employment,1160,13320,0.087087
2007-07-01,Unemployment,Unemployment,12160,13320,0.912913
2007-08-01,Employment,Employment,42698,44125,0.96766
2007-08-01,Employment,Unemployment,1427,44125,0.03234
2007-08-01,Unemployment,Employment,1313,13608,0.096487
2007-08-01,Unemployment,Unemployment,12295,13608,0.903513
2007-09-01,Employment,Employment,43479,44967,0.966909
2007-09-01,Employment,Unemployment,1488,44967,0.033091
2007-09-01,Unemployment,Employment,1169,13722,0.085192
2007-09-01,Unemployment,Unemployment,12553,13722,0.914808
2007-10-01,Employment,Employment,43990,45323,0.970589
2007-10-01,Employment,Unemployment,1333,45323,0.029411
2007-10-01,Unemployment,Employment,1413,14041,0.100634
2007-10-01,Unemployment,Unemployment,12628,14041,0.899366
2007-11-01,Employment,Employment,44766,46221,0.968521
2007-11-01,Employment,Unemployment,1455,46221,0.031479
2007-11-01,Unemployment,Employment,1439,13961,0.103073
2007-11-01,Unemployment,Unemployment,12522,13961,0.896927
2007-12-01,Employment,Employment,45441,47126,0.964245
2007-12-01,Employment,Unemployment,1685,47126,0.035755
2007-12-01,Unemployment,Employment,1672,13977,0.119625
2007-12-01,Unemployment,Unemployment,12305,13977,0.880375
2008-01-01,Employment,Employment,45202,48344,0.935007
2008-01-01,Employment,Unemployment,3142,48344,0.064993
2008-01-01,Unemployment,Employment,1944,13990,0.138956
2008-01-01,Unemployment,Unemployment,12046,13990,0.861044
2008-02-01,Employment,Employment,46036,48535,0.948511
2008-02-01,Employment,Unemployment,2499,48535,0.051489
2008-02-01,Unemployment,Employment,1590,15188,0.104688
2008-02-01,Unemployment,Unemployment,13598,15188,0.895312
2008-03-01,Employment,Employment,45265,48381,0.935595
2008-03-01,Employment,Unemployment,3116,48381,0.064405
2008-03-01,Unemployment,Employment,2654,16097,0.164875
2008-03-01,Unemployment,Unemployment,13443,16097,0.835125
2008-04-01,Employment,Employment,46506,49208,0.94509
2008-04-01,Employment,Unemployment,2702,49208,0.05491
2008-04-01,Unemployment,Employment,1896,16559,0.1145
2008-04-01,Unemployment,Unemployment,14663,16559,0.8855
2008-05-01,Employment,Employment,46978,49225,0.954352
2008-05-01,Employment,Unemployment,2247,49225,0.045648
2008-05-01,Unemployment,Employment,1470,17365,0.084653
2008-05-01,Unemployment,Unemployment,15895,17365,0.915347
2008-06-01,Employment,Employment,47236,49109,0.96186
2008-06-01,Employment,Unemployment,1873,49109,0.03814
2008-06-01,Unemployment,Employment,1562,18142,0.086099
2008-06-01,Unemployment,Unemployment,16580,18142,0.913901
2008-07-01,Employment,Employment,47701,49403,0.965549
2008-07-01,Employment,Unemployment,1702,49403,0.034451
2008-07-01,Unemployment,Employment,1555,18453,0.084268
2008-07-01,Unemployment,Unemployment,16898,18453,0.915732
2008-08-01,Employment,Employment,47994,49840,0.962961
2008-08-01,Employment,Unemployment,1846,49840,0.037039
2008-08-01,Unemployment,Employment,1654,18600,0.088925
2008-08-01,Unemployment,Unemployment,16946,18600,0.911075
2008-09-01,Employment,Employment,48613,50344,0.965617
2008-09-01,Employment,Unemployment,1731,50344,0.034383
2008-09-01,Unemployment,Employment,1501,18792,0.079874
2008-09-01,Unemployment,Unemployment,17291,18792,0.920126
2008-10-01,Employment,Employment,48908,50648,0.965645
2008-10-01,Employment,Unemployment,1740,50648,0.034355
2008-10-01,Unemployment,Employment,1688,19022,0.088739
2008-10-01,Unemployment,Unemployment,17334,19022,0.911261
2008-11-01,Employment,Employment,49308,51200,0.963047
2008-11-01,Employment,Unemployment,1892,51200,0.036953
2008-11-01,Unemployment,Employment,1619,19074,0.08488
2008-11-01,Unemployment,Unemployment,17455,19074,0.91512
2008-12-01,Employment,Employment,49452,51458,0.961017
2008-12-01,Employment,Unemployment,2006,51458,0.038983
2008-12-01,Unemployment,Employment,1818,19347,0.093968
2008-12-01,Unemployment,Unemployment,17529,19347,0.906032
2009-01-01,Employment,Employment,48558,52021,0.933431
2009-01-01,Employment,Unemployment,3463,52021,0.066569
2009-01-01,Unemployment,Employment,2073,19535,0.106117
2009-01-01,Unemployment,Unemployment,17462,19535,0.893883
2009-02-01,Employment,Employment,48844,51429,0.949737
2009-02-01,Employment,Unemployment,2585,51429,0.050263
2009-02-01,Unemployment,Employment,1638,20925,0.07828
2009-02-01,Unemployment,Unemployment,19287,20925,0.92172
2009-03-01,Employment,Employment,47677,50849,0.937619
2009-03-01,Employment,Unemployment,3172,50849,0.062381
2009-03-01,Unemployment,Employment,2826,21872,0.129206
2009-03-01,Unemployment,Unemployment,19046,21872,0.870794
2009-04-01,Employment,Employment,48400,51411,0.941433
2009-04-01,Employment,Unemployment,3011,51411,0.058567
2009-04-01,Unemployment,Employment,1931,22218,0.086912
2009-04-01,Unemployment,Unemployment,20287,22218,0.913088
2009-05-01,Employment,Employment,48480,50810,0.954143
2009-05-01,Employment,Unemployment,2330,50810,0.045857
2009-05-01,Unemployment,Employment,1661,23298,0.071294
2009-05-01,Unemployment,Unemployment,21637,23298,0.928706
2009-06-01,Employment,Employment,48862,50651,0.96468
2009-06-01,Employment,Unemployment,1789,50651,0.03532
2009-06-01,Unemployment,Employment,1628,23967,0.067927
2009-06-01,Unemployment,Unemployment,22339,23967,0.932073
2009-07-01,Employment,Employment,49141,50862,0.966163
2009-07-01,Employment,Unemployment,1721,50862,0.033837
2009-07-01,Unemployment,Employment,1626,24128,0.067391
2009-07-01,Unemployment,Unemployment,22502,24128,0.932609
2009-08-01,Employment,Employment,49392,51167,0.96531
2009-08-01,Employment,Unemployment,1775,51167,0.03469
2009-08-01,Unemployment,Employment,1763,24223,0.072782
2009-08-01,Unemployment,Unemployment,22460,24223,0.927218
2009-09-01,Employment,Employment,49850,51547,0.967079
2009-09-01,Employment,Unemployment,1697,51547,0.032921
2009-09-01,Unemployment,Employment,1611,24235,0.066474
2009-09-01,Unemployment,Unemployment,22624,24235,0.933526
2009-10-01,Employment,Employment,50363,51829,0.971715
2009-10-01,Employment,Unemployment,1466,51829,0.028285
2009-10-01,Unemployment,Employment,1734,24321,0.071296
2009-10-01,Unemployment,Unemployment,22587,24321,0.928704
2009-11-01,Employment,Employment,50970,52490,0.971042
2009-11-01,Employment,Unemployment,1520,52490,0.028958
2009-11-01,Unemployment,Employment,1775,24053,0.073795
2009-11-01,Unemployment,Unemployment,22278,24053,0.926205
2009-12-01,Employment,Employment,51417,53131,0.96774
2009-12-01,Employment,Unemployment,1714,53131,0.03226
2009-12-01,Unemployment,Employment,2056,23798,0.086394
2009-12-01,Unemployment,Unemployment,21742,23798,0.913606
2010-01-01,Employment,Employment,51178,54153,0.945063
2010-01-01,Employment,Unemployment,2975,54153,0.054937
2010-01-01,Unemployment,Employment,2260,23456,0.096351
2010-01-01,Unemployment,Unemployment,21196,23456,0.903649
2010-02-01,Employment,Employment,51677,54142,0.954472
2010-02-01,Employment,Unemployment,2465,54142,0.045528
2010-02-01,Unemployment,Employment,1796,24171,0.074304
2010-02-01,Unemployment,Unemployment,22375,24171,0.925696
2010-03-01,Employment,Employment,50735,53844,0.942259
2010-03-01,Employment,Unemployment,3109,53844,0.057741
2010-03-01,Unemployment,Employment,3013,24840,0.121296
2010-03-01,Unemployment,Unemployment,21827,24840,0.878704
2010-04-01,Employment,Employment,51876,54393,0.953726
2010-04-01,Employment,Unemployment,2517,54393,0.046274
2010-04-01,Unemployment,Employment,2421,24936,0.097089
2010-04-01,Unemployment,Unemployment,22515,24936,0.902911
2010-05-01,Employment,Employment,52595,54767,0.960341
2010-05-01,Employment,Unemployment,2172,54767,0.039659
2010-05-01,Unemployment,Employment,1798,25032,0.071828
2010-05-01,Unemployment,Unemployment,23234,25032,0.928172
2010-06-01,Employment,Employment,52950,54791,0.9664
2010-06-01,Employment,Unemployment,1841,54791,0.0336
2010-06-01,Unemployment,Employment,1729,25406,0.068055
2010-06-01,Unemployment,Unemployment,23677,25406,0.931945
2010-07-01,Employment,Employment,53309,55030,0.968726
2010-07-01,Employment,Unemployment,1721,55030,0.031274
2010-07-01,Unemployment,Employment,1695,25518,0.066424
2010-07-01,Unemployment,Unemployment,23823,25518,0.933576
2010-08-01,Employment,Employment,53692,55340,0.97022
2010-08-01,Employment,Unemployment,1648,55340,0.02978
2010-08-01,Unemployment,Employment,1949,25544,0.0763
2010-08-01,Unemployment,Unemployment,23595,25544,0.9237
2010-09-01,Employment,Employment,54273,55977,0.969559
2010-09-01,Employment,Unemployment,1704,55977,0.030441
2010-09-01,Unemployment,Employment,1540,25243,0.061007
2010-09-01,Unemployment,Unemployment,23703,25243,0.938993
2010-10-01,Employment,Employment,54610,56071,0.973944
2010-10-01,Employment,Unemployment,1461,56071,0.026056
2010-10-01,Unemployment,Employment,1961,25407,0.077183
2010-10-01,Unemployment,Unemployment,23446,25407,0.922817
2010-11-01,Employment,Employment,55310,56849,0.972928
2010-11-01,Employment,Unemployment,1539,56849,0.027072
2010-11-01,Unemployment,Employment,1989,24907,0.079857
2010-11-01,Unemployment,Unemployment,22918,24907,0.920143
2010-12-01,Employment,Employment,55872,57684,0.968587
2010-12-01,Employment,Unemployment,1812,57684,0.031413
2010-12-01,Unemployment,Employment,2095,24457,0.085661
2010-12-01,Unemployment,Unemployment,22362,24457,0.914339
2011-01-01,Employment,Employment,55251,58501,0.944445
2011-01-01,Employment,Unemployment,3250,58501,0.055555
2011-01-01,Unemployment,Employment,2445,24174,0.101142
2011-01-01,Unemployment,Unemployment,21729,24174,0.898858
2011-02-01,Employment,Employment,55893,58433,0.956531
2011-02-01,Employment,Unemployment,2540,58433,0.043469
2011-02-01,Unemployment,Employment,1955,24979,0.078266
2011-02-01,Unemployment,Unemployment,23024,24979,0.921734
2011-03-01,Employment,Employment,55014,58138,0.946266
2011-03-01,Employment,Unemployment,3124,58138,0.053734
2011-03-01,Unemployment,Employment,3451,25564,0.134995
2011-03-01,Unemployment,Unemployment,22113,25564,0.865005
2011-04-01,Employment,Employment,56305,59095,0.952788
2011-04-01,Employment,Unemployment,2790,59095,0.047212
2011-04-01,Unemployment,Employment,2428,25237,0.096208
2011-04-01,Unemployment,Unemployment,22809,25237,0.903792
2011-05-01,Employment,Employment,56812,59142,0.960603
2011-05-01,Employment,Unemployment,2330,59142,0.039397
2011-05-01,Unemployment,Employment,1976,25599,0.077191
2011-05-01,Unemployment,Unemployment,23623,25599,0.922809
2011-06-01,Employment,Employment,57229,59137,0.967736
2011-06-01,Employment,Unemployment,1908,59137,0.032264
2011-06-01,Unemployment,Employment,1782,25953,0.068663
2011-06-01,Unemployment,Unemployment,24171,25953,0.931337
2011-07-01,Employment,Employment,57420,59285,0.968542
2011-07-01,Employment,Unemployment,1865,59285,0.031458
2011-07-01,Unemployment,Employment,1829,26079,0.070133
2011-07-01,Unemployment,Unemployment,24250,26079,0.929867
2011-08-01,Employment,Employment,57722,59492,0.970248
2011-08-01,Employment,Unemployment,1770,59492,0.029752
2011-08-01,Unemployment,Employment,1959,26115,0.075014
2011-08-01,Unemployment,Unemployment,24156,26115,0.924986
2011-09-01,Employment,Employment,58336,59994,0.972364
2011-09-01,Employment,Unemployment,1658,59994,0.027636
2011-09-01,Unemployment,Employment,1847,25926,0.071241
2011-09-01,Unemployment,Unemployment,24079,25926,0.928759
2011-10-01,Employment,Employment,58856,60455,0.973551
2011-10-01,Employment,Unemployment,1599,60455,0.026449
2011-10-01,Unemployment,Employment,1898,25737,0.073746
2011-10-01,Unemployment,Unemployment,23839,25737,0.926254
2011-11-01,Employment,Employment,59478,61013,0.974841
2011-11-01,Employment,Unemployment,1535,61013,0.025159
2011-11-01,Unemployment,Employment,1988,25438,0.078151
2011-11-01,Unemployment,Unemployment,23450,25438,0.921849
2011-12-01,Employment,Employment,59988,61764,0.971245
2011-12-01,Employment,Unemployment,1776,61764,0.028755
2011-12-01,Unemployment,Employment,2020,24985,0.080849
2011-12-01,Unemployment,Unemployment,22965,24985,0.919151
2012-01-01,Employment,Employment,59388,62474,0.950603
2012-01-01,Employment,Unemployment,3086,62474,0.049397
2012-01-01,Unemployment,Employment,2327,24741,0.094054
2012-01-01,Unemployment,Unemployment,22414,24741,0.905946
2012-02-01,Employment,Employment,59813,62313,0.95988
2012-02-01,Employment,Unemployment,2500,62313,0.04012
2012-02-01,Unemployment,Employment,1912,25500,0.07498
2012-02-01,Unemployment,Unemployment,23588,25500,0.92502
2012-03-01,Employment,Employment,59007,61932,0.952771
2012-03-01,Employment,Unemployment,2925,61932,0.047229
2012-03-01,Unemployment,Employment,3597,26088,0.137879
2012-03-01,Unemployment,Unemployment,22491,26088,0.862121
2012-04-01,Employment,Employment,60424,63128,0.957166
2012-04-01,Employment,Unemployment,2704,63128,0.042834
2012-04-01,Unemployment,Employment,2348,25416,0.092383
2012-04-01,Unemployment,Unemployment,23068,25416,0.907617
2012-05-01,Employment,Employment,60985,63047,0.967294
2012-05-01,Employment,Unemployment,2062,63047,0.032706
2012-05-01,Unemployment,Employment,1851,25772,0.071822
2012-05-01,Unemployment,Unemployment,23921,25772,0.928178
2012-06-01,Employment,Employment,61182,63090,0.969757
2012-06-01,Employment,Unemployment,1908,63090,0.030243
2012-06-01,Unemployment,Employment,1940,25983,0.074664
2012-06-01,Unemployment,Unemployment,24043,25983,0.925336
2012-07-01,Employment,Employment,61575,63332,0.972257
2012-07-01,Employment,Unemployment,1757,63332,0.027743
2012-07-01,Unemployment,Employment,1772,25951,0.068283
2012-07-01,Unemployment,Unemployment,24179,25951,0.931717
2012-08-01,Employment,Employment,61802,63530,0.9728
2012-08-01,Employment,Unemployment,1728,63530,0.0272
2012-08-01,Unemployment,Employment,2069,25936,0.079773
2012-08-01,Unemployment,Unemployment,23867,25936,0.920227
2012-09-01,Employment,Employment,62288,64099,0.971747
2012-09-01,Employment,Unemployment,1811,64099,0.028253
2012-09-01,Unemployment,Employment,1598,25595,0.062434
2012-09-01,Unemployment,Unemployment,23997,25595,0.937566
2012-10-01,Employment,Employment,62472,64027,0.975713
2012-10-01,Employment,Unemployment,1555,64027,0.024287
2012-10-01,Unemployment,Employment,1991,25808,0.077147
2012-10-01,Unemployment,Unemployment,23817,25808,0.922853
2012-11-01,Employment,Employment,63025,64638,0.975046
2012-11-01,Employment,Unemployment,1613,64638,0.024954
2012-11-01,Unemployment,Employment,1903,25372,0.075004
