Wage_Date,State_From,Employment,Unemployment
2006-02-01,Employment,0.949238,0.050762
2006-03-01,Employment,0.931199,0.068801
2006-03-01,Unemployment,0.259237,0.740763
2006-04-01,Employment,0.939211,0.060789
2006-04-01,Unemployment,0.141323,0.858677
2006-05-01,Employment,0.952348,0.047652
2006-05-01,Unemployment,0.119868,0.880132
2006-06-01,Employment,0.961529,0.038471
2006-06-01,Unemployment,0.110319,0.889681
2006-07-01,Employment,0.963823,0.036177
2006-07-01,Unemployment,0.108998,0.891002
2006-08-01,Employment,0.963391,0.036609
2006-08-01,Unemployment,0.124135,0.875865
2006-09-01,Employment,0.96238,0.03762
2006-09-01,Unemployment,0.104207,0.895793
2006-10-01,Employment,0.965764,0.034236
2006-10-01,Unemployment,0.121256,0.878744
2006-11-01,Employment,0.966168,0.033832
2006-11-01,Unemployment,0.125015,0.874985
2006-12-01,Employment,0.963738,0.036262
2006-12-01,Unemployment,0.136766,0.863234
2007-01-01,Employment,0.933906,0.066094
2007-01-01,Unemployment,0.163121,0.836879
2007-02-01,Employment,0.950023,0.049977
2007-02-01,Unemployment,0.123836,0.876164
2007-03-01,Employment,0.939128,0.060872
2007-03-01,Unemployment,0.186451,0.813549
2007-04-01,Employment,0.943239,0.056761
2007-04-01,Unemployment,0.122319,0.877681
2007-05-01,Employment,0.957253,0.042747
2007-05-01,Unemployment,0.098424,0.901576
2007-06-01,Employment,0.965148,0.034852
2007-06-01,Unemployment,0.093064,0.906936
2007-07-01,Employment,0.966791,0.033209
2007-07-01,Unemployment,0.087087,0.912913
2007-08-01,Employment,0.96766,0.03234
2007-08-01,Unemployment,0.096487,0.903513
2007-09-01,Employment,0.966909,0.033091
2007-09-01,Unemployment,0.085192,0.914808
2007-10-01,Employment,0.970589,0.029411
2007-10-01,Unemployment,0.100634,0.899366
2007-11-01,Employment,0.968521,0.031479
2007-11-01,Unemployment,0.103073,0.896927
2007-12-01,Employment,0.964245,0.035755
2007-12-01,Unemployment,0.119625,0.880375
2008-01-01,Employment,0.935007,0.064993
2008-01-01,Unemployment,0.138956,0.861044
2008-02-01,Employment,0.948511,0.051489
2008-02-01,Unemployment,0.104688,0.895312
2008-03-01,Employment,0.935595,0.064405
2008-03-01,Unemployment,0.164875,0.835125
2008-04-01,Employment,0.94509,0.05491
2008-04-01,Unemployment,0.1145,0.8855
2008-05-01,Employment,0.954352,0.045648
2008-05-01,Unemployment,0.084653,0.915347
2008-06-01,Employment,0.96186,0.03814
2008-06-01,Unemployment,0.086099,0.913901
2008-07-01,Employment,0.965549,0.034451
2008-07-01,Unemployment,0.084268,0.915732
2008-08-01,Employment,0.962961,0.037039
2008-08-01,Unemployment,0.088925,0.911075
2008-09-01,Employment,0.965617,0.034383
2008-09-01,Unemployment,0.079874,0.920126
2008-10-01,Employment,0.965645,0.034355
2008-10-01,Unemployment,0.088739,0.911261
2008-11-01,Employment,0.963047,0.036953
2008-11-01,Unemployment,0.08488,0.91512
2008-12-01,Employment,0.961017,0.038983
2008-12-01,Unemployment,0.093968,0.906032
2009-01-01,Employment,0.933431,0.066569
2009-01-01,Unemployment,0.106117,0.893883
2009-02-01,Employment,0.949737,0.050263
2009-02-01,Unemployment,0.07828,0.92172
2009-03-01,Employment,0.937619,0.062381
2009-03-01,Unemployment,0.129206,0.870794
2009-04-01,Employment,0.941433,0.058567
2009-04-01,Unemployment,0.086912,0.913088
2009-05-01,Employment,0.954143,0.045857
2009-05-01,Unemployment,0.071294,0.928706
2009-06-01,Employment,0.96468,0.03532
2009-06-01,Unemployment,0.067927,0.932073
2009-07-01,Employment,0.966163,0.033837
2009-07-01,Unemployment,0.067391,0.932609
2009-08-01,Employment,0.96531,0.03469
2009-08-01,Unemployment,0.072782,0.927218
2009-09-01,Employment,0.967079,0.032921
2009-09-01,Unemployment,0.066474,0.933526
2009-10-01,Employment,0.971715,0.028285
2009-10-01,Unemployment,0.071296,0.928704
2009-11-01,Employment,0.971042,0.028958
2009-11-01,Unemployment,0.073795,0.926205
2009-12-01,Employment,0.96774,0.03226
2009-12-01,Unemployment,0.086394,0.913606
2010-01-01,Employment,0.945063,0.054937
2010-01-01,Unemployment,0.096351,0.903649
2010-02-01,Employment,0.954472,0.045528
2010-02-01,Unemployment,0.074304,0.925696
2010-03-01,Employment,0.942259,0.057741
2010-03-01,Unemployment,0.121296,0.878704
2010-04-01,Employment,0.953726,0.046274
2010-04-01,Unemployment,0.097089,0.902911
2010-05-01,Employment,0.960341,0.039659
2010-05-01,Unemployment,0.071828,0.928172
2010-06-01,Employment,0.9664,0.0336
2010-06-01,Unemployment,0.068055,0.931945
2010-07-01,Employment,0.968726,0.031274
2010-07-01,Unemployment,0.066424,0.933576
2010-08-01,Employment,0.97022,0.02978
2010-08-01,Unemployment,0.0763,0.9237
2010-09-01,Employment,0.969559,0.030441
2010-09-01,Unemployment,0.061007,0.938993
2010-10-01,Employment,0.973944,0.026056
2010-10-01,Unemployment,0.077183,0.922817
2010-11-01,Employment,0.972928,0.027072
2010-11-01,Unemployment,0.079857,0.920143
2010-12-01,Employment,0.968587,0.031413
2010-12-01,Unemployment,0.085661,0.914339
2011-01-01,Employment,0.944445,0.055555
2011-01-01,Unemployment,0.101142,0.898858
2011-02-01,Employment,0.956531,0.043469
