Wage_Date,State_From,State_To,count,total_from,probability
2006-02-01,Employment,Employment,371562,404900,0.917664
2006-02-01,Employment,Unemployment,33338,404900,0.082336
2006-03-01,Employment,Employment,373989,408272,0.916029
2006-03-01,Employment,Unemployment,34283,408272,0.083971
2006-03-01,Unemployment,Employment,9583,33338,0.28745
2006-03-01,Unemployment,Unemployment,23755,33338,0.71255
2006-04-01,Employment,Employment,378641,416783,0.908485
2006-04-01,Employment,Unemployment,38142,416783,0.091515
2006-04-01,Unemployment,Employment,11604,58038,0.199938
2006-04-01,Unemployment,Unemployment,46434,58038,0.800062
2006-05-01,Employment,Employment,375587,412169,0.911245
2006-05-01,Employment,Unemployment,36582,412169,0.088755
2006-05-01,Unemployment,Employment,14502,84576,0.171467
2006-05-01,Unemployment,Unemployment,70074,84576,0.828533
2006-06-01,Employment,Employment,376068,406773,0.924516
2006-06-01,Employment,Unemployment,30705,406773,0.075484
2006-06-01,Unemployment,Employment,16900,106656,0.158453
2006-06-01,Unemployment,Unemployment,89756,106656,0.841547
2006-07-01,Employment,Employment,381266,407402,0.935847
2006-07-01,Employment,Unemployment,26136,407402,0.064153
2006-07-01,Unemployment,Employment,18615,120461,0.154531
2006-07-01,Unemployment,Unemployment,101846,120461,0.845469
2006-08-01,Employment,Employment,387354,413703,0.936309
2006-08-01,Employment,Unemployment,26349,413703,0.063691
2006-08-01,Unemployment,Employment,19545,127982,0.152717
2006-08-01,Unemployment,Unemployment,108437,127982,0.847283
2006-09-01,Employment,Employment,390693,420416,0.929301
2006-09-01,Employment,Unemployment,29723,420416,0.070699
2006-09-01,Unemployment,Employment,18433,134786,0.136758
2006-09-01,Unemployment,Unemployment,116353,134786,0.863242
2006-10-01,Employment,Employment,395843,420065,0.942337
2006-10-01,Employment,Unemployment,24222,420065,0.057663
2006-10-01,Unemployment,Employment,28785,146076,0.197055
2006-10-01,Unemployment,Unemployment,117291,146076,0.802945
2006-11-01,Employment,Employment,412853,438374,0.941783
2006-11-01,Employment,Unemployment,25521,438374,0.058217
2006-11-01,Unemployment,Employment,26862,141513,0.18982
2006-11-01,Unemployment,Unemployment,114651,141513,0.81018
2006-12-01,Employment,Employment,426110,454401,0.93774
2006-12-01,Employment,Unemployment,28291,454401,0.06226
2006-12-01,Unemployment,Employment,22952,140172,0.163742
2006-12-01,Unemployment,Unemployment,117220,140172,0.836258
2007-01-01,Employment,Employment,418968,462368,0.906135
2007-01-01,Employment,Unemployment,43400,462368,0.093865
2007-01-01,Unemployment,Employment,28264,145511,0.19424
2007-01-01,Unemployment,Unemployment,117247,145511,0.80576
2007-02-01,Employment,Employment,429385,465587,0.922244
2007-02-01,Employment,Unemployment,36202,465587,0.077756
2007-02-01,Unemployment,Employment,27394,160647,0.170523
2007-02-01,Unemployment,Unemployment,133253,160647,0.829477
2007-03-01,Employment,Employment,432652,469530,0.921458
2007-03-01,Employment,Unemployment,36878,469530,0.078542
2007-03-01,Unemployment,Employment,32221,169455,0.190145
2007-03-01,Unemployment,Unemployment,137234,169455,0.809855
2007-04-01,Employment,Employment,438445,479798,0.913812
2007-04-01,Employment,Unemployment,41353,479798,0.086188
2007-04-01,Unemployment,Employment,26480,174112,0.152086
2007-04-01,Unemployment,Unemployment,147632,174112,0.847914
2007-05-01,Employment,Employment,436555,474847,0.919359
2007-05-01,Employment,Unemployment,38292,474847,0.080641
2007-05-01,Unemployment,Employment,24156,188985,0.12782
2007-05-01,Unemployment,Unemployment,164829,188985,0.87218
2007-06-01,Employment,Employment,437737,469904,0.931546
2007-06-01,Employment,Unemployment,32167,469904,0.068454
2007-06-01,Unemployment,Employment,25215,203121,0.124138
2007-06-01,Unemployment,Unemployment,177906,203121,0.875862
2007-07-01,Employment,Employment,442940,471394,0.939639
2007-07-01,Employment,Unemployment,28454,471394,0.060361
2007-07-01,Unemployment,Employment,25110,210073,0.11953
2007-07-01,Unemployment,Unemployment,184963,210073,0.88047
2007-08-01,Employment,Employment,448388,476114,0.941766
2007-08-01,Employment,Unemployment,27726,476114,0.058234
2007-08-01,Unemployment,Employment,25648,213417,0.120178
2007-08-01,Unemployment,Unemployment,187769,213417,0.879822
2007-09-01,Employment,Employment,450145,482267,0.933394
2007-09-01,Employment,Unemployment,32122,482267,0.066606
2007-09-01,Unemployment,Employment,22399,215495,0.103942
2007-09-01,Unemployment,Unemployment,193096,215495,0.896058
2007-10-01,Employment,Employment,453333,479171,0.946078
2007-10-01,Employment,Unemployment,25838,479171,0.053922
2007-10-01,Unemployment,Employment,35188,225218,0.15624
2007-10-01,Unemployment,Unemployment,190030,225218,0.84376
2007-11-01,Employment,Employment,470875,497311,0.946842
2007-11-01,Employment,Unemployment,26436,497311,0.053158
2007-11-01,Unemployment,Employment,34884,215868,0.161599
2007-11-01,Unemployment,Unemployment,180984,215868,0.838401
