Wage_Date,State_From,Employment,Unemployment
2006-02-01,Employment,0.917664,0.082336
2006-03-01,Employment,0.916029,0.083971
2006-03-01,Unemployment,0.28745,0.71255
2006-04-01,Employment,0.908485,0.091515
2006-04-01,Unemployment,0.199938,0.800062
2006-05-01,Employment,0.911245,0.088755
2006-05-01,Unemployment,0.171467,0.828533
2006-06-01,Employment,0.924516,0.075484
2006-06-01,Unemployment,0.158453,0.841547
2006-07-01,Employment,0.935847,0.064153
2006-07-01,Unemployment,0.154531,0.845469
2006-08-01,Employment,0.936309,0.063691
2006-08-01,Unemployment,0.152717,0.847283
2006-09-01,Employment,0.929301,0.070699
2006-09-01,Unemployment,0.136758,0.863242
2006-10-01,Employment,0.942337,0.057663
2006-10-01,Unemployment,0.197055,0.802945
2006-11-01,Employment,0.941783,0.058217
2006-11-01,Unemployment,0.18982,0.81018
2006-12-01,Employment,0.93774,0.06226
2006-12-01,Unemployment,0.163742,0.836258
2007-01-01,Employment,0.906135,0.093865
2007-01-01,Unemployment,0.19424,0.80576
2007-02-01,Employment,0.922244,0.077756
2007-02-01,Unemployment,0.170523,0.829477
2007-03-01,Employment,0.921458,0.078542
2007-03-01,Unemployment,0.190145,0.809855
2007-04-01,Employment,0.913812,0.086188
2007-04-01,Unemployment,0.152086,0.847914
2007-05-01,Employment,0.919359,0.080641
2007-05-01,Unemployment,0.12782,0.87218
2007-06-01,Employment,0.931546,0.068454
2007-06-01,Unemployment,0.124138,0.875862
2007-07-01,Employment,0.939639,0.060361
2007-07-01,Unemployment,0.11953,0.88047
2007-08-01,Employment,0.941766,0.058234
2007-08-01,Unemployment,0.120178,0.879822
2007-09-01,Employment,0.933394,0.066606
2007-09-01,Unemployment,0.103942,0.896058
2007-10-01,Employment,0.946078,0.053922
2007-10-01,Unemployment,0.15624,0.84376
2007-11-01,Employment,0.946842,0.053158
2007-11-01,Unemployment,0.161599,0.838401
2007-12-01,Employment,0.944166,0.055834
2007-12-01,Unemployment,0.139504,0.860496
2008-01-01,Employment,0.913575,0.086425
2008-01-01,Unemployment,0.155933,0.844067
2008-02-01,Employment,0.926411,0.073589
2008-02-01,Unemployment,0.14116,0.85884
2008-03-01,Employment,0.925117,0.074883
2008-03-01,Unemployment,0.158627,0.841373
2008-04-01,Employment,0.922265,0.077735
2008-04-01,Unemployment,0.133094,0.866906
2008-05-01,Employment,0.919078,0.080922
2008-05-01,Unemployment,0.103468,0.896532
2008-06-01,Employment,0.938026,0.061974
2008-06-01,Unemployment,0.117071,0.882929
2008-07-01,Employment,0.942658,0.057342
2008-07-01,Unemployment,0.109854,0.890146
2008-08-01,Employment,0.941,0.059
2008-08-01,Unemployment,0.103665,0.896335
2008-09-01,Employment,0.94129,0.05871
2008-09-01,Unemployment,0.096727,0.903273
2008-10-01,Employment,0.946838,0.053162
2008-10-01,Unemployment,0.134665,0.865335
2008-11-01,Employment,0.943324,0.056676
2008-11-01,Unemployment,0.132348,0.867652
2008-12-01,Employment,0.940283,0.059717
2008-12-01,Unemployment,0.11592,0.88408
2009-01-01,Employment,0.91504,0.08496
2009-01-01,Unemployment,0.124994,0.875006
2009-02-01,Employment,0.928581,0.071419
2009-02-01,Unemployment,0.115069,0.884931
2009-03-01,Employment,0.924359,0.075641
2009-03-01,Unemployment,0.113782,0.886218
2009-04-01,Employment,0.916023,0.083977
2009-04-01,Unemployment,0.100934,0.899066
